"Timestamp","What is your current graduation year?","How would you describe your race and ethnicity? Check all that apply.","What is your intended concentration area(s)?","How would you describe your gender identity? Check all that apply.","Do you identify as LGBTQ+?","Overall, how would you describe your political views relative to those of your parents? ","Have you ever been evaluated by Brown EMS (Emergency Medical Services)? Select all that apply.","How old was your mother when she had you? Enter -1 if unsure.","Were you allowed to watch SpongeBob SquarePants as a kid?","How did you meet your most recent significant other? Pick the option that best applies.","What percentage of Brown students do you think come from a family in the top 1% of household incomes?","What is the minimum salary you would require to work in a role that directly conflicts with your morals? 

Enter -1 if you would not do this for any amount of money.","Which of the following substances have you used recreationally in the past six months?","Do you change with your blinds open?"
"2025/03/04 11:38:09 AM EST","2027","Asian","Physical Sciences","Man","No","My views are similar to those of my parents","No","34","Yes","I have not had a significant other","50","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 11:38:13 AM EST","2026","Hispanic or Latino","Physical Sciences;Social Sciences","Man","No","My views are somewhat more liberal","No","30","Yes","Social media","60","500000","Marijuana","No"
"2025/03/04 11:40:32 AM EST","2025","Asian","Humanities/ Arts;Physical Sciences","Man","No","My views are much more liberal","No","30","Yes","High school","30","250000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:42:24 AM EST","2027","Asian","Humanities/ Arts","Man","No","My views are somewhat more conservative","No","32","No","Extracurricular activities (athletics, clubs, other campus organizations)","30","1","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 11:43:06 AM EST","2025","White","Humanities/ Arts","Woman","No","My views are somewhat more liberal","No","34","Yes","Mutual friends/met as friends","60","150000","Alcohol;Inhalants (Poppers/Whip-its);Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:43:27 AM EST","2027","Asian;White","Humanities/ Arts;Social Sciences","Woman","Yes","My views are much more liberal","No","41","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","15","-1","Alcohol;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms)","No"
"2025/03/04 11:43:43 AM EST","2027","White","Humanities/ Arts;Social Sciences","Man","No","My views are somewhat more liberal","No","33","Yes","Dating app","10","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:44:02 AM EST","2027","White","Humanities/ Arts;Social Sciences","Man","No","My views are similar to those of my parents","No","36","Unsure","I have not had a significant other","30","1000000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 11:44:09 AM EST","2027","Asian","Physical Sciences","Man","No","My views are somewhat more liberal","Yes, for a different reason","34","Yes","High school","30","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 11:44:52 AM EST","2025","White","Social Sciences","Woman","No","My views are similar to those of my parents","No","42","Yes","I have not had a significant other","30","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:45:31 AM EST","2025","White","Physical Sciences","Woman","No","My views are similar to those of my parents","No","30","Yes","Dating app","20","-1","Alcohol","No"
"2025/03/04 11:46:54 AM EST","2028","White","Social Sciences","Man","No","My views are somewhat more liberal","No","36","Unsure","I have not had a significant other","15","-1","None of the above","No"
"2025/03/04 11:46:57 AM EST","2028","Asian","Humanities/ Arts;Life Sciences;Social Sciences","Woman","No","My views are somewhat more liberal","No","33","No","High school","33","200000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:48:22 AM EST","2028","Asian","Life Sciences","Woman","No","My views are much more liberal","No","34","No","Mutual friends/met as friends","30","-1","None of the above","No"
"2025/03/04 11:48:58 AM EST","2026","White","Physical Sciences;Social Sciences","Woman","No","My views are somewhat more liberal","No","20","Unsure","Class","20","2000000","Alcohol","No"
"2025/03/04 11:49:12 AM EST","2025","Hispanic or Latino","Life Sciences","Man","No","My views are much more liberal","No","34","Yes","Social media","50","-1","Alcohol","No"
"2025/03/04 11:49:51 AM EST","2026","Asian;White","Physical Sciences","Man","Unsure","My views are somewhat more liberal","No","30","No","High school","10","-1","Alcohol","No"
"2025/03/04 11:51:07 AM EST","2026","Black","Humanities/ Arts;Social Sciences","Man","Yes","My views are somewhat more liberal","Yes, for an incident involving drugs and/or alcohol","29","No","Library","30","500000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:51:17 AM EST","2028","Asian;White","Life Sciences","Woman","Unsure","My views are somewhat more liberal","No","35","No","I have not had a significant other","7","-1","None of the above","No"
"2025/03/04 11:51:29 AM EST","2026","Asian;White","Physical Sciences;Social Sciences","Woman","No","My views are similar to those of my parents","No","31","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","30","-1","Alcohol;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 11:51:32 AM EST","2028","Asian;Black","Life Sciences","Woman","Yes","My views are somewhat more liberal","No","40","Yes","I have not had a significant other","20","-1","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 11:51:55 AM EST","2028","Asian","Life Sciences","Woman","No","My views are somewhat more liberal","No","33","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","5","-1","Alcohol","No"
"2025/03/04 11:52:17 AM EST","2028","White","Physical Sciences","Man","No","My views are somewhat more liberal","No","38","Yes","Class","80","1","Alcohol","Yes, and I do think people can see me"
"2025/03/04 11:53:33 AM EST","2028","White","Life Sciences;Physical Sciences","Woman","Yes","My views are somewhat more liberal","No","34","Yes","High school","20","-1","Alcohol;Marijuana","No"
"2025/03/04 11:53:41 AM EST","2028","Asian","Social Sciences","Man","Yes","My views are much more liberal","No","36","Yes","Dorm","60","100000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:54:01 AM EST","2026","Asian","Social Sciences","Man","No","My views are much more liberal","No","31","No","I have not had a significant other","20","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 11:54:02 AM EST","2028","Black","Physical Sciences","Woman","No","My views are much more conservative","No","30","Yes","High school","1","1","None of the above","No"
"2025/03/04 11:55:21 AM EST","2027","White","Social Sciences","Woman","No","My views are somewhat more liberal","No","32","Yes","Dating app","19","-1","Alcohol;Marijuana","No"
"2025/03/04 11:55:24 AM EST","2026","White","Physical Sciences","Man","No","My views are somewhat more conservative","No","21","Yes","Party/social event",".375","500000","Alcohol","No"
"2025/03/04 11:55:49 AM EST","2027","White","Physical Sciences","Woman","No","My views are somewhat more liberal","No","43","Unsure","High school","8","1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 11:56:18 AM EST","2027","White","Social Sciences","Woman","Yes","Unsure","Yes, for an incident involving drugs and/or alcohol","30","Yes","I have not had a significant other","20","300000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 11:56:31 AM EST","2027","White","Humanities/ Arts;Life Sciences","Man","No","My views are similar to those of my parents","No","32","Yes","I have not had a significant other","28","250000","None of the above","No"
"2025/03/04 11:57:19 AM EST","2027","White","Physical Sciences","Man","No","My views are similar to those of my parents","No","34","No","I have not had a significant other","10","100000","Alcohol","No"
"2025/03/04 11:57:45 AM EST","2027","Hispanic or Latino;White","Physical Sciences","Man","No","My views are somewhat more liberal","No","34","Yes","I have not had a significant other","25","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 11:58:15 AM EST","2027","White","Physical Sciences","Woman","No","My views are similar to those of my parents","No","31","Yes","Social media","7","5000000000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 11:58:36 AM EST","2027","Middle Eastern or North African","Humanities/ Arts;Physical Sciences","Man","No","My views are similar to those of my parents","No","35","Yes","I have not had a significant other","10","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 11:59:18 AM EST","2028","White","Physical Sciences","Woman","No","My views are much more liberal","No","23","No","I have not had a significant other","25","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:00:27 PM EST","2025","White","Physical Sciences","Non-binary","Yes","My views are much more liberal","No","31","No","Mutual friends/met as friends","30","-1","Alcohol;Inhalants (Poppers/Whip-its);Marijuana;Nicotine","Yes, and I do think people can see me"
"2025/03/04 12:01:09 PM EST","2028","Asian","Humanities/ Arts;Life Sciences","Man","No","My views are somewhat more conservative","No","30","Prefer not to answer","High school","10","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:02:31 PM EST","2026","Middle Eastern or North African","Physical Sciences","Woman","Yes","My views are much more liberal","No","40","Yes","Party/social event","20","-1","Alcohol;Inhalants (Poppers/Whip-its);Marijuana","Yes, and I do think people can see me"
"2025/03/04 12:02:43 PM EST","2025","White","Humanities/ Arts","Non-binary;Questioning;Unsure","Yes","My views are somewhat more liberal","No","33","Yes","Dorm","20","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 12:05:20 PM EST","2026","Prefer not to answer","Physical Sciences","Woman","No","My views are much more liberal","No","25","Yes","I have not had a significant other","35","500.000","None of the above","No"
"2025/03/04 12:07:39 PM EST","2025","Black;White","Humanities/ Arts;Social Sciences","Non-binary","Yes","My views are much more liberal","No","36","Yes","I have not had a significant other","45","1","Alcohol","No"
"2025/03/04 12:09:15 PM EST","2025","Hispanic or Latino;White","Life Sciences;Social Sciences","Woman","Yes","My views are much more liberal","Yes, for an incident involving drugs and/or alcohol","28","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","30","100000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 12:11:45 PM EST","2027","Asian","Humanities/ Arts;Life Sciences","Woman","No","My views are somewhat more liberal","No","35","Yes","Party/social event","20","300000","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 12:12:40 PM EST","2028","Asian","Prefer not to answer","Woman","Unsure","Prefer not to answer","No","30","Yes","I have not had a significant other","20","-1","None of the above","No"
"2025/03/04 12:12:57 PM EST","2028","White","Life Sciences;Physical Sciences","Man","No","My views are similar to those of my parents","No","35","Yes","Mutual friends/met as friends","12","10000000","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 12:13:26 PM EST","2028","Black","Physical Sciences","Woman","Yes","My views are much more liberal","Yes, for a different reason","-1","Yes","High school","30","-1","None of the above","No"
"2025/03/04 12:15:45 PM EST","2027","Asian","Social Sciences","Man","No","My views are similar to those of my parents","No","29","Yes","I have not had a significant other","16","100000","Alcohol","No"
"2025/03/04 12:18:11 PM EST","2028","White","Physical Sciences","Man","Yes","My views are somewhat more liberal","No","32","Yes","I have not had a significant other","30","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:19:38 PM EST","2026","White","Physical Sciences","Man","No","My views are somewhat more liberal","Yes, for an incident involving drugs and/or alcohol","30","Yes","Party/social event","50","100000","None of the above","Yes, and I do think people can see me"
"2025/03/04 12:20:37 PM EST","2028","Asian","Humanities/ Arts;Physical Sciences","Man","No","My views are much more liberal","Yes, for a different reason","24","Yes","I have not had a significant other","10","-1","None of the above","No"
"2025/03/04 12:21:30 PM EST","2028","Hispanic or Latino;White","Humanities/ Arts;Social Sciences","Woman","No","My views are much more liberal","No","-1","No","High school","60","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 12:23:22 PM EST","2028","Hispanic or Latino","Physical Sciences","Man","No","My views are similar to those of my parents","No","26","Yes","High school","25","100000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 12:23:36 PM EST","2028","Hispanic or Latino","Physical Sciences","Man","No","My views are somewhat more liberal","No","35","No","High school","23","-1","Alcohol","No"
"2025/03/04 12:23:48 PM EST","2026","Asian","Physical Sciences","Man;Non-binary","Unsure","My views are somewhat more liberal","No","-1","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","10","-1","Alcohol","Yes, and I do think people can see me"
"2025/03/04 12:27:29 PM EST","2028","Asian","Humanities/ Arts;Life Sciences","Man","No","My views are somewhat more liberal","No","31","Yes","I have not had a significant other","40","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 12:27:41 PM EST","2026","White","Life Sciences;Physical Sciences","Woman","No","My views are somewhat more liberal","No","34","No","Mutual friends/met as friends","70","-1","Alcohol;Marijuana","No"
"2025/03/04 12:29:48 PM EST","2028","White","Social Sciences","Man","No","My views are somewhat more liberal","No","39","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","10","100000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 12:29:48 PM EST","2028","Asian;White","Social Sciences","Man","No","My views are somewhat more liberal","No","-1","Yes","Mutual friends/met as friends","40","150000","Alcohol;Marijuana","No"
"2025/03/04 12:30:35 PM EST","2028","White","Humanities/ Arts","Man","No","My views are somewhat more liberal","No","36","Yes","Class","20","500000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:34:29 PM EST","2026","Asian","Physical Sciences;Social Sciences","Man","No","My views are similar to those of my parents","No","37","Yes","I have not had a significant other","34","500000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 12:34:31 PM EST","2028","Black;Hispanic or Latino","Social Sciences","Woman","No","My views are somewhat more liberal","No","21","No","High school","34","250000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 12:34:36 PM EST","2028","White","Social Sciences","Woman","No","My parents have significantly different political views from each other","No","26","Yes","Social media","65","300000","Alcohol;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 12:34:51 PM EST","2025","Asian","Humanities/ Arts;Physical Sciences","Man","No","My views are much more liberal","No","29","Yes","High school","30","1000000","None of the above","No"
"2025/03/04 12:36:49 PM EST","2028","Asian;White","Humanities/ Arts;Social Sciences","Woman","Yes","My views are much more liberal","No","31","No","Social media","30","250000","Alcohol;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 12:37:31 PM EST","2027","Asian","Humanities/ Arts;Physical Sciences","Man","Prefer not to answer","My views are much more liberal","Prefer not to answer","-1","Yes","Class","20","-1","Prefer not to answer","No"
"2025/03/04 12:37:50 PM EST","2026","Asian;White","Physical Sciences","Woman","No","My views are similar to those of my parents","Yes, for a different reason","36","Yes","Class","40","200000","None of the above","Yes, but I don't think people can see me"
"2025/03/04 12:38:06 PM EST","2025","Asian","Life Sciences","Woman","No","My views are somewhat more liberal","No","29","Yes","I have not had a significant other","20","500000","Alcohol","No"
"2025/03/04 12:38:16 PM EST","2025","Asian;Native Hawaiian or Pacific Islander","Life Sciences","Woman","No","My views are similar to those of my parents","No","33","Yes","I have not had a significant other","21","-1","Alcohol","No"
"2025/03/04 12:40:01 PM EST","2027","Asian","Humanities/ Arts;Social Sciences","Woman","No","My views are much more liberal","No","-1","Yes","Mutual friends/met as friends","9","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:41:17 PM EST","2025","Asian;White","Life Sciences;Physical Sciences","Man","No","My views are similar to those of my parents","Yes, for an incident involving drugs and/or alcohol","39","No","Dating app","20","500000","Alcohol","No"
"2025/03/04 12:41:24 PM EST","2028","Asian","Physical Sciences","Woman","No","My views are somewhat more liberal","No","36","Yes","Party/social event","20","9999999999","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 12:42:45 PM EST","2028","Asian","Social Sciences","Woman","No","My views are somewhat more liberal","No","-1","Yes","Prefer not to answer","78","-1","None of the above","Prefer not to answer"
"2025/03/04 12:42:47 PM EST","2027","White;Prefer not to answer","Humanities/ Arts","Woman;Man","Yes","Prefer not to answer","Yes, for an incident involving drugs and/or alcohol;Yes, for a different reason","14","Yes","I saw fine shyte at the gym and slid as she was doing hip thrusters","20","5","Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Ketamine;LSD/Acid;Marijuana;Methamphetamine;MDMA (Ecstasy/Molly);Nicotine;Psilocybin (Psychedelic mushrooms);Unprescribed use of prescription stimulants (Adderall);None of the above;Unsure;Prefer not to answer;YOUR mom","Yes, and I do think people can see me"
"2025/03/04 12:42:57 PM EST","2028","Black","Physical Sciences","Woman","No","My views are somewhat more liberal","No","18","Yes","I have not had a significant other","55","-1","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 12:43:14 PM EST","2028","Hispanic or Latino;White","Humanities/ Arts;Physical Sciences","Woman","Yes","My views are somewhat more liberal","No","-1","No","Class","10","-1","None of the above","No"
"2025/03/04 12:45:13 PM EST","2026","White","Physical Sciences","Man","No","My views are somewhat more liberal","No","27","No","Mutual friends/met as friends","70","120000","Alcohol;Ketamine;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me"
"2025/03/04 12:45:28 PM EST","2025","Hispanic or Latino","Physical Sciences","Woman","No","My views are somewhat more liberal","No","21","Yes","I have not had a significant other","30","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 12:46:20 PM EST","2026","Asian","Physical Sciences","Man","No","My views are similar to those of my parents","No","30","Unsure","Dorm","70","-1","Alcohol;Marijuana","No"
"2025/03/04 12:47:30 PM EST","2027","Asian","Social Sciences","Woman","No","My views are somewhat more liberal","No","29","Yes","Class","30","700000","Alcohol","No"
"2025/03/04 12:47:42 PM EST","2028","White","Physical Sciences","Man","No","My parents have significantly different political views from each other","Yes, for a different reason","-1","Unsure","I have not had a significant other","20","-1","None of the above","Yes, and I do think people can see me"
"2025/03/04 12:48:01 PM EST","2027","White","Physical Sciences","Man","No","My views are similar to those of my parents","No","-1","No","High school","35","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:49:02 PM EST","2025","Middle Eastern or North African","Physical Sciences","Man","Yes","My views are somewhat more liberal","No","32","No","Class","25","750000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 12:50:30 PM EST","2025","Hispanic or Latino;White","Humanities/ Arts","Woman","Yes","My views are somewhat more liberal","No","26","Yes","Mutual friends/met as friends","20","100000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:51:04 PM EST","2028","White","Humanities/ Arts;Physical Sciences","Woman","Yes","My views are somewhat more liberal","No","30","Yes","High school","10","-1","None of the above","No"
"2025/03/04 12:51:08 PM EST","2027","Asian;Hispanic or Latino","Humanities/ Arts;Social Sciences","Woman","No","My views are similar to those of my parents","No","33","No","I have not had a significant other","20","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 12:51:11 PM EST","2027.5","Asian;Black","Physical Sciences","Man","No","My views are somewhat more liberal","No","30","No","I have not had a significant other","35","1000000","Alcohol","No"
"2025/03/04 12:51:18 PM EST","2027","Asian","Life Sciences;Physical Sciences","Man","No","My views are somewhat more liberal","No","-1","Yes","I have not had a significant other","15","1000000000","Alcohol","No"
"2025/03/04 12:53:12 PM EST","2025","White","Humanities/ Arts;Social Sciences","Man","No","My views are much more conservative","No","29","Yes","Mutual friends/met as friends","40","150000","Alcohol;Marijuana","No"
"2025/03/04 12:53:30 PM EST","2027","Native American or Alaska Native","Humanities/ Arts","Man","Yes","My views are somewhat more liberal","No","18","No","Extracurricular activities (athletics, clubs, other campus organizations)","80","100","Alcohol;Marijuana","No"
"2025/03/04 12:53:45 PM EST","2028","White","Humanities/ Arts","Man","Yes","My views are somewhat more liberal","No","30","Yes","High school","15","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 12:54:35 PM EST","2028","White","Social Sciences","Woman","No","My views are somewhat more liberal","Yes, for an incident involving drugs and/or alcohol","31","Yes","High school","30","-1","Alcohol","No"
"2025/03/04 12:55:20 PM EST","2025","White","Physical Sciences","Woman","Yes","My views are somewhat more liberal","Yes, for an incident involving drugs and/or alcohol","-1","No","Mutual friends/met as friends","50","200000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 12:55:23 PM EST","2025","White","Physical Sciences;Social Sciences","Man","No","My views are somewhat more liberal","No","38","No","Mutual friends/met as friends","20","250000","Alcohol","No"
"2025/03/04 12:55:48 PM EST","2026","White","Humanities/ Arts","Woman","Yes","My views are somewhat more liberal","Yes, for a different reason","36","Yes","Class","25","-1","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 12:56:26 PM EST","2028","White","Social Sciences","Woman","Yes","My parents have significantly different political views from each other","No","31","Yes","Dating app","10","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 12:56:26 PM EST","2027","White","Physical Sciences;Social Sciences","Woman","No","My views are similar to those of my parents","No","32","Yes","High school","25","500000","Alcohol;Marijuana","No"
"2025/03/04 12:56:50 PM EST","2027","White","Physical Sciences;Social Sciences","Man","Yes","My views are somewhat more liberal","No","42","Yes","Dating app","15","900000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 12:57:16 PM EST","2026","Asian","Life Sciences","Man","No","My views are similar to those of my parents","No","27","Unsure","na","60","1","Alcohol","No"
"2025/03/04 1:01:23 PM EST","2025","White","Social Sciences","Woman","No","My views are somewhat more liberal","Yes, for a different reason","34","No","Dating app","25","-1","Alcohol","No"
"2025/03/04 1:05:15 PM EST","2027","White","Humanities/ Arts;Life Sciences","Woman","No","My views are similar to those of my parents","No","36","Unsure","Mutual friends/met as friends","10","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 1:05:32 PM EST","2027","Black","Physical Sciences","Man","No","Unsure","No","31","Yes","I have not had a significant other","15","300000","Alcohol","No"
"2025/03/04 1:05:47 PM EST","2025","Black","Humanities/ Arts","Woman","No","My views are much more liberal","Yes, for a different reason","-1","Yes","I have not had a significant other","20","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 1:12:40 PM EST","2028","White","Social Sciences","Man","No","My views are somewhat more liberal","No","38","Yes","Class","20","250000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 1:13:48 PM EST","2025","Asian","Social Sciences","Woman","No","My views are somewhat more liberal","No","30","Yes","Mutual friends/met as friends","10","200000","Alcohol","No"
"2025/03/04 1:15:25 PM EST","2026","White","Physical Sciences","Woman","No","My parents have significantly different political views from each other","No","31","Yes","Mutual friends/met as friends","15","300000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 1:16:27 PM EST","2025","Asian;Hispanic or Latino","Humanities/ Arts;Physical Sciences","Woman","Yes","My views are somewhat more liberal","No","26","Yes","Mutual friends/met as friends","35","120000","Alcohol;Marijuana","No"
