"Timestamp","What gender do you identify with?","What race do you identify with?","What graduation class are you?","What is the maximum size of an indoor social gathering (without masking) that you would feel comfortable attending right now?","Which Covid-19 restrictions do you think should be in place right now? (check all that apply)","Which Covid-19 restrictions would you support if Brown were to see a rise in cases similar to the increase in early September of this year? (check all that apply)","How worried are you about getting seriously sick from Covid-19?","How would you describe your political views?","Do you think you are more liberal, more conservative, or about the same as the median Brown student?"," Do you approve or disapprove of the way Joe Biden is handling his job as President?","How happy are you that you go to Brown?","Which of the following do you check on a regular basis? (check all that apply)","How satisfied are you with the overall experience of Brown dining at the moment?"
"2021/10/13 10:13:04 AM AST","Female","White","2025","15 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages","Very satisfied"
"2021/10/13 10:13:52 AM AST","Male","White","2022","100 people","Required masking in class;Required masking in libraries","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Neither approve nor disapprove","Somewhat happy","Official Brown website and social media pages","Unsatisfied"
"2021/10/13 10:13:56 AM AST","Female","White","2023","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More conservative","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno;Brown meme pages","Neutral"
"2021/10/13 10:16:08 AM AST","Female","Black","2023","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat disapprove","Very happy","Dear Blueno;Brown meme pages;Class Facebook page","I am not on meal plan"
"2021/10/13 10:16:10 AM AST","Male","White","2023","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Strongly approve","Very happy","Dear Blueno;Brown meme pages;Class Facebook page","Satisfied"
"2021/10/13 10:17:21 AM AST","Male","White","2024","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly disapprove","Very happy","","Neutral"
"2021/10/13 10:20:04 AM AST","Female","White","2025","100 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Moderate","Unsure/prefer not to answer","Somewhat disapprove","Very happy","Dear Blueno;Brown meme pages","Very unsatisfied"
"2021/10/13 10:21:25 AM AST","Male","Asian","2025","No maximum","Mandatory Covid-19 testing","Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Very happy","The Brown Daily Herald website","Satisfied"
"2021/10/13 10:22:17 AM AST","Male","White","2025","No maximum","Required masking in class","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Strongly approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages","Neutral"
"2021/10/13 10:22:48 AM AST","Female","Asian","2023","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat approve","Very happy","Dear Blueno;Brown meme pages","Very unsatisfied"
"2021/10/13 10:24:01 AM AST","Male","White","2023.5","No maximum","","","I am not at all worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat disapprove","Somewhat happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno","Very unsatisfied"
"2021/10/13 10:25:04 AM AST","Male","Asian","2023","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","","Neutral"
"2021/10/13 10:28:17 AM AST","Male","White","2025","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Brown meme pages","Satisfied"
"2021/10/13 10:29:08 AM AST","Female","White","2022","No maximum","","","I am not at all worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat approve","Somewhat happy","","I am not on meal plan"
"2021/10/13 10:29:54 AM AST","Female","White","2025","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages","Unsatisfied"
"2021/10/13 10:30:53 AM AST","Male","White","2025","100 people","Mandatory Covid-19 testing","Prefer not to answer","I am not at all worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat disapprove","Very happy","","Satisfied"
"2021/10/13 10:32:26 AM AST","Male","","2021.5","10 people","Required masking in class;Gathering size limits","Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Prefer not to answer","Somewhat happy","Official Brown website and social media pages","No opinion/prefer not to answer"
"2021/10/13 10:34:20 AM AST","Male","White","2025","10 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Strongly approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages;Class Facebook page","Satisfied"
"2021/10/13 10:35:35 AM AST","Female","White","2023.5","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Somewhat happy","Official Brown website and social media pages;Brown meme pages","I am not on meal plan"
"2021/10/13 10:36:25 AM AST","Non-binary","Asian","2022","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat approve","Somewhat happy","Dear Blueno;Brown meme pages;Class Facebook page","I am not on meal plan"
"2021/10/13 10:38:25 AM AST","Female","Black","2022","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","More liberal","Neither approve nor disapprove","Somewhat unhappy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno","Neutral"
"2021/10/13 10:40:33 AM AST","Female","White","2022","No maximum","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Very happy","Dear Blueno;Brown meme pages;Class Facebook page","I am not on meal plan"
"2021/10/13 10:40:47 AM AST","Female","White","2022","No maximum","Required masking in class;Required masking in libraries","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","","I am not on meal plan"
"2021/10/13 10:42:05 AM AST","Male","Asian","2022","5 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Neither approve nor disapprove","Somewhat happy","","Unsatisfied"
"2021/10/13 10:42:44 AM AST","Female","White","2025","No maximum","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","About the same","Prefer not to answer","Very happy","Official Brown website and social media pages;Brown meme pages","Satisfied"
"2021/10/13 10:43:40 AM AST","Male","White","2024","25 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","About the same","Unsure/no opinion","Very happy","Brown meme pages","Satisfied"
"2021/10/13 10:44:20 AM AST","Female","White","2023","15 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat approve","Somewhat happy","Official Brown website and social media pages;Dear Blueno;Brown meme pages","I am not on meal plan"
"2021/10/13 10:44:45 AM AST","Female","White","2023","No maximum","Required masking in class","Required masking in class","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat disapprove","Neither happy nor unhappy","Dear Blueno;Brown meme pages","Satisfied"
"2021/10/13 10:46:43 AM AST","Female","Asian","2022","10 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;Dear Blueno;Brown meme pages;Class Facebook page","I am not on meal plan"
"2021/10/13 10:48:28 AM AST","Male","Black","2025","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Moderate","More conservative","Neither approve nor disapprove","Very happy","Brown meme pages","Neutral"
"2021/10/13 10:48:51 AM AST","Male","Asian","2023","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat approve","Very happy","The Brown Daily Herald website;Dear Blueno;Brown meme pages","I am not on meal plan"
"2021/10/13 10:49:45 AM AST","Female","White","2022","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;Dear Blueno","I am not on meal plan"
"2021/10/13 10:50:55 AM AST","Male","White","2023","No maximum","","","I am not at all worried about getting seriously sick from Covid-19","Moderate","About the same","Strongly disapprove","Very unhappy","Brown meme pages","Very unsatisfied"
"2021/10/13 10:51:51 AM AST","Female","White","2024","5 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Somewhat happy","The Brown Daily Herald website;Dear Blueno;Brown meme pages","Neutral"
"2021/10/13 10:51:52 AM AST","Female","Asian","2022","15 people","Required masking in class","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More liberal","Neither approve nor disapprove","Very happy","","Satisfied"
"2021/10/13 10:53:10 AM AST","Male","mixed","2024","No maximum","Prefer not to answer","Required masking in class;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Unsure/no opinion","Very happy","Official Brown website and social media pages;Brown meme pages","Neutral"
"2021/10/13 10:54:07 AM AST","Female","White","2021.5","15 people","Required masking in class","Required masking in class","I am extremely worried about getting seriously sick from Covid-19","Very conservative","Unsure/prefer not to answer","Strongly approve","","",""
"2021/10/13 10:55:51 AM AST","Female","Asian","2025","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","","Very satisfied"
"2021/10/13 10:55:57 AM AST","Male","White","2024","50 people","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website","Very unsatisfied"
"2021/10/13 10:59:04 AM AST","Female","Middle Eastern","2024","15 people","Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","About the same","Unsure/no opinion","Somewhat happy","Brown meme pages","Unsatisfied"
"2021/10/13 11:00:01 AM AST","Male","White","2024","15 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More conservative","Somewhat approve","Somewhat happy","","Unsatisfied"
"2021/10/13 11:01:19 AM AST","Male","Asian","2025","25 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","Official Brown website and social media pages;Brown meme pages","Neutral"
"2021/10/13 11:01:33 AM AST","Male","White","2023.5","50 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","The Brown Daily Herald website;Dear Blueno;Brown meme pages;Class Facebook page","Satisfied"
"2021/10/13 11:02:45 AM AST","Male","Asian","2025","No maximum","Mandatory Covid-19 testing","Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat approve","Somewhat happy","Official Brown website and social media pages;Brown meme pages","Very satisfied"
"2021/10/13 11:03:31 AM AST","Female","Black","2025","100 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","More liberal","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;The College Hill Independent website;Brown meme pages","Satisfied"
"2021/10/13 11:04:52 AM AST","Male","Black","2023","No maximum","Mandatory Covid-19 testing","Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Conservative","More conservative","Neither approve nor disapprove","Somewhat happy","Brown meme pages","Unsatisfied"
"2021/10/13 11:05:22 AM AST","Female","White","2022","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Liberal","More liberal","Strongly disapprove","Somewhat happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages;Class Facebook page","Very unsatisfied"
"2021/10/13 11:05:31 AM AST","Male","White","2024","100 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","Official Brown website and social media pages","Satisfied"
"2021/10/13 11:06:51 AM AST","Male","White","2024","Prefer not to answer","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in athletic facilities (Nelson, OMAC, etc.);Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","More conservative","Neither approve nor disapprove","Very happy","Dear Blueno;Brown meme pages","Neutral"
"2021/10/13 11:07:32 AM AST","Male","Black","2025","10 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More liberal","Somewhat disapprove","Somewhat happy","Brown meme pages","Neutral"
"2021/10/13 11:08:20 AM AST","Male","Asian","2025","25 people","Required masking in class","Prefer not to answer","I am not at all worried about getting seriously sick from Covid-19","Liberal","More liberal","Unsure/no opinion","Somewhat happy","The College Hill Independent website;Brown meme pages","Satisfied"
"2021/10/13 11:08:48 AM AST","Female","White","2024","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat approve","Very happy","","I am not on meal plan"
"2021/10/13 11:11:23 AM AST","Female","Black","2022","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.)","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Unsure/no opinion","Very happy","Official Brown website and social media pages","Satisfied"
"2021/10/13 11:12:37 AM AST","Female","White","2024","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Strongly approve","Very happy","Official Brown website and social media pages;Brown meme pages","Satisfied"
"2021/10/13 11:12:57 AM AST","Female","White","2024","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Strongly approve","Somewhat happy","Official Brown website and social media pages;Brown meme pages","Unsatisfied"
