"Timestamp","What is your current graduation year?","How would you describe your race and ethnicity? Check all that apply.","What is your intended concentration area(s)?","How would you describe your gender identity? Check all that apply.","Do you identify as LGBTQ+?","Have you ever taken piano lessons?","Do you have a driver's license?","Do you believe that President Donald Trump is a threat to democracy?","Do you take any prescription medications to treat depression or anxiety?","Should Brown require applicants to submit a standardized test score? (SAT/ACT)","Do you credit Brown career services, at least in part, with helping you secure an internship or full-time job?","Do any of your parent(s) or guardian(s) own a gun?","In a romantic context, would you rather be rejected because of your looks or personality?","Have you ever undergone a procedure for primarily cosmetic purposes?","What is the capital of Canada?"
"2025/04/15 11:34:28 AM AST","2028","Hispanic or Latino;White","Physical Sciences","Man","No","No","No","Yes","No, I never have","No","Yes","No","I would rather be rejected because of my personality","No","Ontario"
"2025/04/15 11:38:38 AM AST","2026","White","Physical Sciences","Man","No","No","No","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","I have no idea"
"2025/04/15 11:38:49 AM AST","2028","White","Life Sciences;Physical Sciences","Man","No","No","Yes","Unsure","No, I never have","No","Unsure","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 11:42:16 AM AST","2027","Asian","Physical Sciences","Man","Yes","Yes","Yes","Yes","No, I never have","Yes","Prefer not to answer","No","I would rather be rejected because of my looks","No","idk"
"2025/04/15 11:42:54 AM AST","2025","White","Physical Sciences","Man","Yes","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 11:43:09 AM AST","2025","White","Physical Sciences;Social Sciences","Man","No","No","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 11:46:51 AM AST","2025","Asian","Life Sciences","Woman","Yes","No","Yes","Yes","No, I never have","Yes","No","Yes","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 11:49:44 AM AST","2028","Asian","Physical Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 11:49:55 AM AST","2028","Asian","Humanities/ Arts","Woman","No","Yes","No","Unsure","No, I never have","Unsure","Yes","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 11:51:17 AM AST","2028","Hispanic or Latino","Physical Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","Yes, a non-surgical procedure (injectables, fillers, botox, etc.);No","Ottawa"
"2025/04/15 11:51:18 AM AST","2028","White","Physical Sciences","Man","No","Yes","No","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 11:53:39 AM AST","2027","White","Physical Sciences","Woman","No","Yes","Yes","Yes","No, I never have","No","Unsure","No","I would rather be rejected because of my looks","No","Toronto Ontario"
"2025/04/15 11:53:52 AM AST","2026","Asian;White","Physical Sciences;Social Sciences","Woman","Unsure","Yes","No","Yes","No, but I have in the past","No","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 11:55:09 AM AST","2028","White","Physical Sciences","Woman","Yes","Yes","Yes","Yes","Yes, I currently have a prescription","Yes","No","No","I would rather be rejected because of my looks","No","montero"
"2025/04/15 11:55:17 AM AST","2028","Asian","Life Sciences","Man","No","Yes","Yes","Unsure","No, but I have in the past","No","Unsure","No","I would rather be rejected because of my looks","No","not sure"
"2025/04/15 11:58:18 AM AST","2025","White","Physical Sciences","Man","No","Yes","Yes","Unsure","No, I never have","Yes","No","Yes","I would rather be rejected because of my personality","No","Ontario"
"2025/04/15 12:00:37 PM AST","2027.5","Black;Native Hawaiian or Pacific Islander","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","No","No","Yes","I would rather be rejected because of my looks","No","Quebec"
"2025/04/15 12:01:25 PM AST","2028","Asian","Life Sciences","Man","Yes","No","Yes","Prefer not to answer","No, I never have","No","Yes","No","I would rather be rejected because of my personality","No","Toronto"
"2025/04/15 12:05:47 PM AST","2025","White","Humanities/ Arts","Man","Yes","Yes","Yes","Yes","Yes, I currently have a prescription","No","Yes","Yes","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 12:06:01 PM AST","2026","White","Humanities/ Arts","Man","No","Yes","Yes","Yes","No, I never have","Unsure","Unsure","No","I would rather be rejected because of my personality","No","Quebec (i think)"
"2025/04/15 12:07:29 PM AST","2025","White","Humanities/ Arts","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:07:57 PM AST","2028","Asian","Physical Sciences","Man","No","No","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Washington DC #AMERICA"
"2025/04/15 12:08:37 PM AST","2025","Hispanic or Latino","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Unsure","No","Yes","I would rather be rejected because of my personality","No","Ontario"
"2025/04/15 12:09:59 PM AST","2026","Hispanic or Latino;White","Humanities/ Arts;Social Sciences","Woman","Yes","No","No","Yes","No, I never have","Yes","No","Unsure","I would rather be rejected because of my looks","Yes, a non-surgical procedure (injectables, fillers, botox, etc.)","Toronto"
"2025/04/15 12:10:00 PM AST","2028","White","Life Sciences;Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ontario"
"2025/04/15 12:11:31 PM AST","2025","White","Physical Sciences","Non-binary","Yes","No","Yes","Yes","No, I never have","No","Yes","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 12:14:03 PM AST","2027","Asian;White","Social Sciences","Man","No","Yes","Yes","Prefer not to answer","No, I never have","Yes","Yes","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:14:47 PM AST","2028","Asian","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","vancouver"
"2025/04/15 12:15:30 PM AST","2026","Hispanic or Latino;White","Social Sciences","Man","No","Yes","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:16:14 PM AST","2026","White","Physical Sciences","Woman","Yes","No","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","No","No idea"
"2025/04/15 12:16:16 PM AST","2028","Hispanic or Latino","Life Sciences","Man","No","No","No","Yes","No, I never have","Yes","Yes","No","I would rather be rejected because of my looks","Yes, a non-surgical procedure (injectables, fillers, botox, etc.)","Toronto?"
"2025/04/15 12:17:43 PM AST","2026","White","Humanities/ Arts","Non-binary","Yes","No","No","Yes","Yes, I currently have a prescription","No","Unsure","No","I would rather be rejected because of my personality","No","ottawa"
"2025/04/15 12:17:54 PM AST","2028","White","Humanities/ Arts","Man","No","Yes","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my personality","No","Not sure"
"2025/04/15 12:20:00 PM AST","2026","White","Life Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 12:20:06 PM AST","2026","Asian","Life Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Unsure","Yes","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 12:20:21 PM AST","2027","White","Life Sciences;Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","Yes","Unsure","Prefer not to answer","No","Toronto"
"2025/04/15 12:21:35 PM AST","2027","Asian","Physical Sciences","Prefer not to answer","Prefer not to answer","Yes","No","Prefer not to answer","Prefer not answer","Prefer not answer","Yes","Prefer not answer","Prefer not to answer","Prefer not to answer","N/A"
"2025/04/15 12:21:51 PM AST","2027","Asian","Humanities/ Arts;Life Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 12:23:08 PM AST","2025","Hispanic or Latino","Physical Sciences","Man","No","No","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my personality","No","Montreal"
"2025/04/15 12:23:38 PM AST","2027","White","Physical Sciences","Man","Yes","No","Yes","Yes","Yes, I currently have a prescription","No","Unsure","No","I would rather be rejected because of my personality","No","Alberta"
"2025/04/15 12:23:41 PM AST","2028","Asian","Prefer not to answer","Man","No","Yes","Yes","No","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Quebec"
"2025/04/15 12:25:06 PM AST","2025","Asian","Life Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:26:14 PM AST","2026","White","Life Sciences","Woman","No","No","Yes","Yes","No, I never have","No","No","Yes","Prefer not to answer","No","Ottawa"
"2025/04/15 12:26:30 PM AST","2027","Asian","Life Sciences","Woman","No","Yes","Yes","Unsure","No, I never have","Yes","Unsure","No","I would rather be rejected because of my looks","Yes, a non-surgical procedure (injectables, fillers, botox, etc.);No","Montreal"
"2025/04/15 12:26:54 PM AST","2026","Asian","Social Sciences","Man","No","Yes","Yes","Unsure","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ontario"
"2025/04/15 12:27:13 PM AST","2025","Asian","Social Sciences","Man","Yes","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 12:34:36 PM AST","2027","Black;Hispanic or Latino;White","Humanities/ Arts","Man","No","Yes","No","Yes","Yes, I currently have a prescription","No","Unsure","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:35:32 PM AST","2025","Asian","Physical Sciences","Man","No","Yes","Yes","Yes","No, but I have in the past","Unsure","Unsure","No","Prefer not to answer","No","Ottowa"
"2025/04/15 12:36:01 PM AST","2026","White","Physical Sciences","Woman","No","No","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","Yes, a surgical procedure (rhinoplasty, augmentations, reductions, etc.)","Toronto"
"2025/04/15 12:36:08 PM AST","2027","White","Humanities/ Arts;Social Sciences","Man","Yes","Yes","Yes","Yes","Yes, I currently have a prescription","Yes","No","Yes","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 12:38:30 PM AST","2026","Asian","Life Sciences","Woman","Unsure","Yes","No","Yes","No, I never have","Unsure","Yes","No","I would rather be rejected because of my personality","No","toronto"
"2025/04/15 12:38:50 PM AST","2026","Asian","Humanities/ Arts;Life Sciences","Woman","Prefer not to answer","Yes","Yes","Yes","No, but I have in the past","No","Yes","No","I would rather be rejected because of my personality","No","alberta"
"2025/04/15 12:39:03 PM AST","2027","White","Humanities/ Arts;Social Sciences","Man","No","No","No","Yes","No, I never have","No","No","Yes","I would rather be rejected because of my looks","No","No idea"
"2025/04/15 12:40:06 PM AST","2026","Asian","Physical Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 12:41:40 PM AST","2025","White","Humanities/ Arts;Physical Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:42:01 PM AST","2027","Asian","Physical Sciences","Woman","No","Yes","Yes","Yes","No, I never have","No","No","Yes","I would rather be rejected because of my personality","No","Ontario"
"2025/04/15 12:43:24 PM AST","2028","Asian;White","Physical Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my personality","No","Toronto"
"2025/04/15 12:43:24 PM AST","2028","White","Physical Sciences","Woman","No","Yes","Yes","Yes","No, I never have","No","No","Yes","I would rather be rejected because of my looks","No","Quebec"
"2025/04/15 12:45:11 PM AST","2028","Asian","Social Sciences","Man","No","No","Yes","Yes","No, I never have","Yes","Yes","No","I would rather be rejected because of my personality","Yes, a surgical procedure (rhinoplasty, augmentations, reductions, etc.)","Toronto"
"2025/04/15 12:45:32 PM AST","2027","Asian","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my looks","No","Ottawa "
"2025/04/15 12:46:57 PM AST","2025","Hispanic or Latino","Social Sciences","Woman","No","No","No","Yes","No, I never have","No","Unsure","No","I would rather be rejected because of my looks","No","Unsure "
"2025/04/15 12:49:23 PM AST","2025","White","Life Sciences","Man","No","No","Yes","Yes","Yes, I currently have a prescription","No","No","No","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 12:49:35 PM AST","2025","Asian","Humanities/ Arts;Life Sciences","Woman","No","Yes","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my personality","No","Ontario"
"2025/04/15 12:49:43 PM AST","2026.5","Asian","Life Sciences;Social Sciences","Man","Yes","Yes","Yes","Unsure","No, but I have in the past","Yes","Unsure","No","I would rather be rejected because of my looks","Unsure","Ottawa"
"2025/04/15 12:50:31 PM AST","2026","Black","Physical Sciences;Social Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","No","Quebec"
"2025/04/15 12:50:31 PM AST","2026","Asian","Social Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Yes","Unsure","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 12:50:51 PM AST","2028","Asian","Life Sciences;Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:51:42 PM AST","2025","Asian","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 12:52:14 PM AST","2027","White","Humanities/ Arts;Physical Sciences","Woman","No","No","Yes","Yes","Yes, I currently have a prescription","No","No","No","I would rather be rejected because of my looks","No","I don't know, so sorry"
"2025/04/15 12:52:36 PM AST","2026","White","Social Sciences","Woman","Yes","Yes","Yes","Yes","Unsure","No","Yes","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 12:55:32 PM AST","2027","Asian;White","Physical Sciences","Woman","No","Yes","No","Prefer not to answer","No, I never have","Unsure","Unsure","No","I would rather be rejected because of my looks","No","Toronto?"
"2025/04/15 12:56:24 PM AST","2026","White","Humanities/ Arts;Life Sciences","Man","No","No","Yes","Yes","Yes, I currently have a prescription","Yes","No","Yes","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 12:57:05 PM AST","2028","White","Life Sciences","Woman","No","No","No","Yes","No, I never have","Yes","Yes","Unsure","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 12:59:37 PM AST","2027","Hispanic or Latino","Social Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","No","No","Yes","I would rather be rejected because of my personality","No","Ottowa"
"2025/04/15 1:01:34 PM AST","2027","Asian","Humanities/ Arts;Social Sciences","Woman","Yes","No","Yes","Yes","No, but I have in the past","Unsure","No","No","I would rather be rejected because of my looks","No","Quebec"
"2025/04/15 1:02:02 PM AST","2027","Hispanic or Latino","Social Sciences","Woman","No","Yes","No","Yes","Yes, I currently have a prescription","Yes","No","No","I would rather be rejected because of my personality","No","paris"
"2025/04/15 1:04:21 PM AST","2027.5","White","Humanities/ Arts","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Toronto "
"2025/04/15 1:08:22 PM AST","2025","White","Social Sciences","Woman","No","Yes","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","No","ottawa"
"2025/04/15 1:11:14 PM AST","2027","Middle Eastern or North African;White","Physical Sciences","Man;Non-binary","Yes","Yes","No","Yes","No, but I have in the past","Unsure","No","Unsure","I would rather be rejected because of my looks","No","Whoville"
"2025/04/15 1:17:18 PM AST","2028","White","Life Sciences","Man","Yes","No","Yes","Yes","Yes, I currently have a prescription","Unsure","Prefer not to answer","No","I would rather be rejected because of my looks","No","Toronto"
"2025/04/15 1:19:53 PM AST","2028","Hispanic or Latino;Native American or Alaska Native;White","Humanities/ Arts;Social Sciences","Man","No","Yes","No","Yes","No, I never have","Unsure","Yes","No","I would rather be rejected because of my personality","No","Quebec"
"2025/04/15 1:24:17 PM AST","2025","White","Social Sciences","Man","Yes","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 1:26:48 PM AST","2027","White","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 1:33:28 PM AST","2026","Black","Humanities/ Arts","Other","Yes","Yes","Yes","Yes","No, I never have","No","Yes","Yes","I would rather be rejected because of my personality","No","idk"
"2025/04/15 1:35:46 PM AST","2025","Black","Life Sciences","Woman","Yes","No","Yes","Yes","Yes, I currently have a prescription","No","No","Yes","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 1:41:03 PM AST","2027","White","Humanities/ Arts","Man","No","No","Yes","Yes","Yes, I currently have a prescription","No","Yes","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 1:44:01 PM AST","2025","Hispanic or Latino","Humanities/ Arts","Man","No","No","No","Yes","No, I never have","Unsure","Unsure","No","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/15 2:05:29 PM AST","2025","Asian","Physical Sciences;Social Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 3:08:46 PM AST","2028","Middle Eastern or North African","Life Sciences;Social Sciences","Man","No","Yes","Yes","Yes","No, I never have","Unsure","No","Yes","I would rather be rejected because of my looks","No","Toronto"
"2025/04/15 3:10:59 PM AST","2028","White","Social Sciences","Woman","No","No","Yes","Unsure","Prefer not answer","Unsure","Unsure","No","I would rather be rejected because of my personality","No","Vancouver"
"2025/04/15 3:12:42 PM AST","2028","Prefer not to answer","Humanities/ Arts;Social Sciences","Man","Prefer not to answer","No","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 3:13:33 PM AST","2028","Hispanic or Latino;White","Social Sciences","Man","No","Yes","Yes","Yes","Yes, I currently have a prescription","Yes","No","Yes","Prefer not to answer","No","Ottawa"
"2025/04/15 3:17:17 PM AST","2028","White","Physical Sciences","Man","No","No","Yes","Yes","No, I never have","Yes","No","Yes","I would rather be rejected because of my looks","No","Calgary"
"2025/04/15 3:17:38 PM AST","2026","Asian","Physical Sciences","Woman","No","No","Yes","Yes","No, I never have","Unsure","Unsure","No","Prefer not to answer","No","Ottawa?"
"2025/04/15 3:20:34 PM AST","2027","Middle Eastern or North African;White","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","No","Unsure","Yes","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 3:23:18 PM AST","2027","Asian","Physical Sciences","Woman","No","Yes","Yes","Prefer not to answer","No, I never have","Yes","Yes","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 3:24:56 PM AST","2027","Asian","Life Sciences","Man","Yes","Yes","Yes","Unsure","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottowa"
"2025/04/15 3:27:45 PM AST","2027","Asian","Life Sciences","Man","No","Yes","No","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","No","Austin, TX"
"2025/04/15 3:29:09 PM AST","2028","White","Humanities/ Arts","Man","Yes","Yes","Yes","Yes","No, I never have","No","Unsure","No","I would rather be rejected because of my looks","No","Toronto"
"2025/04/15 3:29:27 PM AST","2026","Black","Humanities/ Arts","Man","No","No","No","Yes","No, I never have","No","Yes","No","I would rather be rejected because of my personality","No","ottawa"
"2025/04/15 3:32:52 PM AST","2028","Asian","Life Sciences;Physical Sciences","Man","Yes","Yes","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","No","Toronto"
"2025/04/15 3:33:14 PM AST","2027","Asian","Physical Sciences","Woman","Yes","Yes","No","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Quebec????"
"2025/04/15 3:34:14 PM AST","2027","Asian","Physical Sciences","Man","No","No","Yes","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/15 3:35:02 PM AST","2028","White","Life Sciences;Social Sciences","Questioning","No","Yes","Yes","Unsure","No, I never have","Yes","No","No","I would rather be rejected because of my personality","Yes, a surgical procedure (rhinoplasty, augmentations, reductions, etc.);Yes, a non-surgical procedure (injectables, fillers, botox, etc.)","Ottowa"
"2025/04/15 3:36:43 PM AST","2028","Hispanic or Latino;White","Life Sciences;Physical Sciences","Man","Yes","Yes","No","Yes","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Toronto"
"2025/04/15 3:39:26 PM AST","2028","White","Physical Sciences","Woman;Non-binary","Yes","No","No","Yes","Yes, I currently have a prescription","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 3:39:44 PM AST","2028","Middle Eastern or North African;White","Physical Sciences;Social Sciences","Man","Yes","No","No","Yes","No, I never have","Unsure","Unsure","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 3:39:51 PM AST","2028","Asian","Humanities/ Arts","Woman","Yes","Yes","No","Yes","No, but I have in the past","No","Unsure","No","I would rather be rejected because of my personality","No","Montreal "
"2025/04/15 3:43:26 PM AST","2025","Hispanic or Latino","Humanities/ Arts;Physical Sciences","Man","Yes","No","Yes","Yes","No, I never have","No","No","Unsure","I would rather be rejected because of my personality","No","Montreal"
"2025/04/15 3:43:48 PM AST","2026","Asian","Physical Sciences","Non-binary","Yes","Yes","Yes","Yes","No, I never have","Yes","Yes","No","I would rather be rejected because of my looks","No","Ott-owo"
"2025/04/15 3:45:57 PM AST","2026","Asian;White","Life Sciences;Physical Sciences","Man","No","No","Yes","Yes","Yes, I currently have a prescription","Yes","Yes","No","Prefer not to answer","No","Ontario"
"2025/04/15 3:46:14 PM AST","2026","Asian","Physical Sciences;Social Sciences","Man","Unsure","Yes","No","Yes","No, I never have","No","No","No","I would rather be rejected because of my personality","No","Trudeu"
"2025/04/15 3:49:01 PM AST","2028","Asian","Physical Sciences","Man","No","No","Yes","Yes","No, I never have","Unsure","Unsure","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 3:49:52 PM AST","2028","Native American or Alaska Native;White","Humanities/ Arts;Social Sciences","Woman","Yes","Yes","Yes","Yes","Yes, I currently have a prescription","Unsure","No","No","I would rather be rejected because of my looks","No","Ontario"
"2025/04/15 3:55:09 PM AST","2027","White","Humanities/ Arts;Physical Sciences","Non-binary","Yes","No","Yes","Yes","Yes, I currently have a prescription","No","Yes","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/15 4:01:24 PM AST","2027","Asian;White","Physical Sciences","Woman","No","Yes","Yes","Yes","Yes, I currently have a prescription","Yes","No","Yes","I would rather be rejected because of my looks","No","Ontario"
"2025/04/16 10:14:58 AM AST","2025","Black","Physical Sciences","Man","No","No","Yes","Yes","No, but I have in the past","No","Yes","No","I would rather be rejected because of my personality","No","Ottawa"
"2025/04/16 10:16:02 AM AST","2027","White","Life Sciences","Woman","No","No","Yes","Prefer not to answer","No, I never have","Yes","No","No","I would rather be rejected because of my looks","No","Alberta"
"2025/04/16 10:16:59 AM AST","2025","Hispanic or Latino;White","Humanities/ Arts;Physical Sciences","Man","No","No","Yes","Yes","No, I never have","Yes","Unsure","No","I would rather be rejected because of my personality","No","Otawa"
"2025/04/16 10:20:35 AM AST","2025","White","Social Sciences","Woman","Unsure","Yes","Yes","Yes","Yes, I currently have a prescription","No","No","No","I would rather be rejected because of my looks","No","Ontorio"
"2025/04/16 10:22:59 AM AST","2028","White","Physical Sciences","Man","No","Yes","Yes","Yes","No, I never have","Yes","Yes","No","I would rather be rejected because of my looks","No","Ottowa"
"2025/04/16 10:24:34 AM AST","2025","Asian","Physical Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","Unsure","No","No","I would rather be rejected because of my looks","No","Ottawa"
"2025/04/16 10:25:10 AM AST","2025","Black","Physical Sciences","Woman;Non-binary","Yes","No","Yes","Yes","No, I never have","No","No","No","I would rather be rejected because of my looks","No","ottowa"
"2025/04/16 10:28:47 AM AST","2025","White","Humanities/ Arts","Woman","No","No","Yes","Yes","Yes, I currently have a prescription","Unsure","No","No","I would rather be rejected because of my looks","No","ontario"
"2025/04/16 10:30:27 AM AST","2028","Asian","Life Sciences","Woman","Yes","Yes","Yes","Yes","No, I never have","Yes","Unsure","No","I would rather be rejected because of my looks","No","Toronto"
"2025/04/16 10:30:41 AM AST","2027","Asian","Physical Sciences","Man","No","No","No","Prefer not to answer","No, I never have","Yes","Unsure","No","I would rather be rejected because of my looks","No","Toronto or Ontario?"
"2025/04/16 10:30:58 AM AST","2028","Asian","Physical Sciences","Woman","No","Yes","Yes","Yes","No, I never have","Yes","No","Yes","I would rather be rejected because of my personality","No","montreal"
"2025/04/16 10:33:13 AM AST","2025","Hispanic or Latino;White","Physical Sciences","Woman","No","No","Yes","Yes","Yes, I currently have a prescription","Yes","No","No","I would rather be rejected because of my personality","No","idk"
"2025/04/16 10:35:43 AM AST","2028","White","Prefer not to answer","Woman","No","Yes","Yes","Yes","No, I never have","No","Yes","No","I would rather be rejected because of my personality","No","no idea"
"2025/04/16 10:37:48 AM AST","2025","Asian","Physical Sciences","Man","No","Yes","Yes","Yes","Yes, I currently have a prescription","Yes","No","No","I would rather be rejected because of my looks","No","Ottawa"
