"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my political opinions on Brown’s campus.","Have you attended a protest in your time at Brown?","To what extent do you agree with the following statement: It is possible for Israel and an independent Palestinian state to coexist peacefully.","Should the 20 members of BrownU Jews for Ceasefire Now who staged a sit-in at University Hall face disciplinary action from the University?","To what extent do you agree or disagree with recent calls for Brown University to divest its endowment from weapons manufacturers supplying the Israeli army?","Have you been to therapy (psychological or emotional counseling) before?","On average, how many class meetings (including lectures, seminars, labs, conference sections, etc.) do you skip per week?","Do you think your concentration/double-concentration is harder or easier than the majority of other concentrations at Brown?","Do you think humans are inherently monogamous (are inclined to commit to only one person at a time)?","When was the last time you masturbated?"
"2023/11/28 10:18:33 AM EST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Unsure","No","Strongly agree","I have never been to therapy","5+","My concentration is harder than the majority of other concentrations","No","Yesterday"
"2023/11/28 10:19:44 AM EST","2024","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","No","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 10:20:04 AM EST","2027","Man","Black","Physical Sciences (including math, computer science)","Strongly disagree","No","Strongly disagree","No","Unsure","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","No","In the last month"
"2023/11/28 10:21:25 AM EST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 10:22:25 AM EST","2027","Woman","White","Humanities/Arts;Life Sciences","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 10:22:56 AM EST","2027","Man","Asian;White","Physical Sciences (including math, computer science)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","I have never masturbated"
"2023/11/28 10:23:54 AM EST","2025","Woman","Middle Eastern or North African;White","Life Sciences","Somewhat agree","No","Somewhat agree","Unsure","Strongly disagree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","In the last year"
"2023/11/28 10:24:45 AM EST","2027","Woman","Asian","Life Sciences","Somewhat agree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","0","Unsure","Yes","I have never masturbated"
"2023/11/28 10:25:21 AM EST","2026","Woman","Asian","Life Sciences","Somewhat disagree","No","Unsure","No","Strongly agree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last year"
"2023/11/28 10:26:07 AM EST","2026","Woman","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Unsure","Somewhat agree","No","Unsure","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 10:27:01 AM EST","2027","Non-binary","Asian;White","Life Sciences","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","4","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/28 10:27:35 AM EST","2025","Non-binary","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 10:28:50 AM EST","2025","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Yes","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","No","Yesterday"
"2023/11/28 10:29:21 AM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 10:31:00 AM EST","2027","Man","Asian","Life Sciences","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Unsure"
"2023/11/28 10:31:08 AM EST","2024","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/28 10:35:56 AM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","Unsure","Yes","In the last week"
"2023/11/28 10:36:32 AM EST","2024","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Unsure","Strongly agree","Unsure","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Prefer not to answer","Unsure","I have never masturbated"
"2023/11/28 10:37:45 AM EST","2027","Man","Asian;Black","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 10:38:17 AM EST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat agree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 10:39:44 AM EST","2026","Woman","White","Life Sciences","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/28 10:40:17 AM EST","2026","Woman","White","Physical Sciences (including math, computer science)","Strongly agree","No","Unsure","Unsure","Unsure","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Unsure"
"2023/11/28 10:44:58 AM EST","2025","Man","Prefer not to answer","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 10:56:34 AM EST","2025","Man","Hispanic or Latino","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","I have never masturbated"
"2023/11/28 10:56:42 AM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","1","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 10:57:58 AM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/28 11:00:20 AM EST","2026","Woman","Asian;Black","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly disagree","Unsure","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","4","Unsure","Yes","In the last month"
"2023/11/28 11:02:02 AM EST","2025","Woman","Hispanic or Latino","Physical Sciences (including math, computer science)","Somewhat disagree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 11:02:29 AM EST","2024","Man","White","Humanities/Arts","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","Yesterday"
"2023/11/28 11:03:15 AM EST","2025","Woman","Hispanic or Latino;White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat disagree","No","Somewhat agree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 11:05:49 AM EST","2024","Man","Asian;White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","4","My concentration is easier than the majority of other concentrations","No","Today"
"2023/11/28 11:07:17 AM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","0","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/28 11:10:19 AM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","Unsure","Strongly disagree","I have never been to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","Unsure"
"2023/11/28 11:10:23 AM EST","2024","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly disagree","No","Strongly agree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last month"
"2023/11/28 11:15:30 AM EST","2025","Woman","Asian","Life Sciences","Somewhat agree","No","Somewhat disagree","Unsure","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last month"
"2023/11/28 11:17:28 AM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Unsure","In the last month"
"2023/11/28 11:17:38 AM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Strongly disagree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 11:20:01 AM EST","2026.5","Woman","Hispanic or Latino","Physical Sciences (including math, computer science)","Unsure","No","Strongly agree","No","Strongly disagree","I am currently going to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 11:21:16 AM EST","2025","Non-binary","Middle Eastern or North African","Humanities/Arts","Somewhat disagree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","0","My concentration is harder than the majority of other concentrations","No","Yesterday"
"2023/11/28 11:21:51 AM EST","2027","Woman","White","Humanities/Arts","Strongly agree","Yes","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Yes","I have never masturbated"
"2023/11/28 11:22:50 AM EST","2025","Woman","Asian","Humanities/Arts;Life Sciences","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Prefer not answer","I have never masturbated"
"2023/11/28 11:24:07 AM EST","2024","Man","White","Humanities/Arts","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","In the last week"
"2023/11/28 11:26:14 AM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Strongly agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 11:29:09 AM EST","2027","Woman","Asian","Humanities/Arts","Strongly agree","No","Strongly agree","No","Somewhat agree","I have never been to therapy","2","Unsure","Yes","In the last month"
"2023/11/28 11:32:01 AM EST","2026","Man","Black;White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Unsure","No","Somewhat agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","No","Unsure"
"2023/11/28 11:32:54 AM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/28 11:35:29 AM EST","2025","Non-binary","Asian","Humanities/Arts","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","No","In the last week"
"2023/11/28 11:35:51 AM EST","2025","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","No","Prefer not to answer","No","Somewhat agree","I have never been to therapy","3","Unsure","Unsure","Prefer not to answer"
"2023/11/28 11:37:58 AM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","No","Somewhat agree","Unsure","Somewhat disagree","Prefer not to answer","1","Unsure","Yes","In the last year"
"2023/11/28 11:39:46 AM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Somewhat agree","Prefer not to answer","2","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 11:40:17 AM EST","2024","Man","White","Humanities/Arts","Strongly disagree","Yes","Strongly agree","No","Somewhat agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/28 11:43:17 AM EST","2026","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Yes","Unsure","No","Strongly agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/28 11:43:19 AM EST","2024","Woman","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 11:45:04 AM EST","2026","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last month"
"2023/11/28 11:45:23 AM EST","2024","Woman","White","Humanities/Arts","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Yes","In the last month"
"2023/11/28 11:47:08 AM EST","2024.5","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I have never been to therapy","2","My concentration is easier than the majority of other concentrations","Unsure","Yesterday"
"2023/11/28 11:49:24 AM EST","2024","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","Unsure","Unsure","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 11:50:25 AM EST","2024","Non-binary","Asian;White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","Unsure","My concentration is easier than the majority of other concentrations","No","In the last month"
"2023/11/28 11:50:56 AM EST","2024","Man","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","2","Unsure","No","In the last year"
"2023/11/28 11:51:09 AM EST","2025","Man","White","Life Sciences","Strongly disagree","Yes","Strongly agree","Yes","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Unsure","In the last week"
"2023/11/28 11:51:59 AM EST","2026","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","In the last year"
"2023/11/28 11:52:58 AM EST","2024","Man","Prefer not to answer","Humanities/Arts","Strongly disagree","Yes","Strongly agree","Yes","Strongly disagree","I am currently going to therapy","1","Unsure","No","Yesterday"
"2023/11/28 11:53:40 AM EST","2027","Man","Asian;White","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","Yes","Somewhat disagree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 11:54:00 AM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","5+","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 11:54:01 AM EST","2025","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat disagree","No","Strongly agree","No","Somewhat disagree","I am currently going to therapy","2","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 11:54:25 AM EST","2027","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","No","Somewhat disagree","No","Somewhat agree","I have never been to therapy","2","Unsure","No","Unsure"
"2023/11/28 11:54:59 AM EST","2025","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Somewhat disagree","I am currently going to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","In the last year"
"2023/11/28 11:56:04 AM EST","2025","Man","White","Physical Sciences (including math, computer science)","Strongly disagree","No","Somewhat agree","Yes","Somewhat disagree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 11:56:26 AM EST","2027","Woman","Black","Physical Sciences (including math, computer science)","Strongly agree","Yes","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is harder than the majority of other concentrations","No","I have never masturbated"
"2023/11/28 11:57:31 AM EST","2026","Man","Native Hawaiian or Pacific Islander;White","Humanities/Arts","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last month"
"2023/11/28 11:59:16 AM EST","2027","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","Yesterday"
"2023/11/28 11:59:22 AM EST","2025","Woman","Prefer not to answer","Social Sciences (including economics, CLPS)","Somewhat disagree","Unsure","Unsure","Unsure","Somewhat disagree","I am currently going to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 11:59:53 AM EST","2025","Man;Non-binary","Asian;White","Humanities/Arts","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/28 12:00:06 PM EST","2023.5","Man","White","Humanities/Arts","Somewhat disagree","Yes","Strongly agree","No","Somewhat disagree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/28 12:01:02 PM EST","2024","Woman","White","Physical Sciences (including math, computer science)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","Unsure","In the last month"
"2023/11/28 12:01:14 PM EST","2027","Man","Asian;Native Hawaiian or Pacific Islander;White","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","Yes","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 12:02:10 PM EST","2027","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","Unsure","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Yes","Prefer not to answer"
"2023/11/28 12:04:24 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Strongly agree","No","Somewhat disagree","Yes","Somewhat disagree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 12:04:50 PM EST","2026","Woman","Asian","Humanities/Arts;Life Sciences","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Unsure","Prefer not to answer"
"2023/11/28 12:06:44 PM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat disagree","Unsure","Somewhat agree","I have never been to therapy","1","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/28 12:09:23 PM EST","2024","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","4","My concentration is harder than the majority of other concentrations","Yes","I have never masturbated"
"2023/11/28 12:10:43 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","No","Strongly agree","No","Strongly agree","I have never been to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 12:19:47 PM EST","2027","Woman","Asian","Life Sciences","Somewhat agree","No","Somewhat agree","No","Unsure","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 12:22:38 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Somewhat agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 12:32:05 PM EST","2025","Man","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Unsure","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 12:41:18 PM EST","2027","Woman","Hispanic or Latino","Life Sciences","Somewhat agree","Yes","Unsure","No","Strongly agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/28 12:48:36 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","1","Unsure","Unsure","I have never masturbated"
"2023/11/28 12:50:18 PM EST","2024","Woman","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","0","Unsure","No","In the last week"
"2023/11/28 1:15:17 PM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","Unsure","No","In the last week"
"2023/11/28 1:25:13 PM EST","2024","Woman","Asian","Humanities/Arts","Strongly agree","Yes","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 1:25:29 PM EST","2024","Woman","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Unsure","No","Strongly agree","I have never been to therapy","1","My concentration is easier than the majority of other concentrations","Unsure","I have never masturbated"
"2023/11/28 1:29:51 PM EST","2025","Man","Middle Eastern or North African","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Yes","Strongly agree","No","Strongly agree","I have never been to therapy","1","Unsure","Unsure","Prefer not to answer"
"2023/11/28 1:30:15 PM EST","2024","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","No","Prefer not to answer","No","Strongly agree","I have never been to therapy","1","Unsure","Unsure","I have never masturbated"
"2023/11/28 1:31:21 PM EST","2026","Man","Middle Eastern or North African","Humanities/Arts","Somewhat disagree","Yes","Strongly agree","No","Strongly agree","I have never been to therapy","5+","Unsure","Unsure","In the last month"
"2023/11/28 1:42:30 PM EST","2024","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 1:44:29 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly disagree","No","Somewhat agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 1:49:45 PM EST","2024","Man","White","Humanities/Arts","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I am currently going to therapy","0","Unsure","No","Yesterday"
"2023/11/28 1:51:11 PM EST","2024","Woman","Asian","Humanities/Arts;Life Sciences","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","3","My concentration is easier than the majority of other concentrations","Yes","In the last month"
"2023/11/28 1:52:07 PM EST","2024","Woman","White","Life Sciences","Somewhat agree","No","Somewhat agree","No","Somewhat agree","I am currently going to therapy","1","My concentration is harder than the majority of other concentrations","Unsure","I have never masturbated"
"2023/11/28 1:54:37 PM EST","2026","Man","Hispanic or Latino;Middle Eastern or North African;White","Life Sciences","Somewhat agree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 1:54:52 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Unsure","Prefer not to answer"
"2023/11/28 1:57:19 PM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","No","Yesterday"
