"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree with the following statement: Joe Biden is too old to be an effective president.","To what extent do you agree with the following statement: Donald Trump is too old to be an effective president.","Should Brown have institutional neutrality? [""Institutional neutrality is the idea that colleges and universities should not, as institutions, take positions on social and political issues""]

(Definition from the Foundation for Individual Rights and Expression)","Do you identify more closely with capitalist or communist values?","How would you rate the effectiveness of using social media for political activism?","Do you think you are more lonely than the average Brown student?","Would you rather receive a final grade of a B or an S in a course?","Have you ever shoplifted before?","What is your love language?"
"2024/03/05 10:39:26 AM EST","2025","Man","Asian;White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 10:40:30 AM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 10:44:02 AM EST","2026","Man","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","Unsure","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 10:50:54 AM EST","2027","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 10:52:50 AM EST","2025","Woman","White","Humanities/Arts","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/05 10:53:33 AM EST","2027","Man","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of a B","Yes","Words of affirmation"
"2024/03/05 10:57:10 AM EST","2024.5","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 10:59:45 AM EST","2027","Woman","Asian;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Prefer not to answer","I would rather receive a final grade of a B","No","Acts of service"
"2024/03/05 11:00:03 AM EST","2026","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly disagree","Strongly disagree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 11:05:45 AM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 11:08:41 AM EST","2027","Woman","White","Humanities/Arts","Unsure","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 11:09:10 AM EST","2027","Woman","Black;White","Humanities/Arts","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 11:12:13 AM EST","2027","Woman","Black;White","Life Sciences","Somewhat agree","Strongly agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 11:12:36 AM EST","2027","Woman","Asian;Native Hawaiian or Pacific Islander","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","Prefer not to answer","Quality time"
"2024/03/05 11:13:43 AM EST","2027","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 11:14:56 AM EST","2025","Woman","White","Life Sciences","Unsure","Unsure","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Physical touch"
"2024/03/05 11:17:21 AM EST","2026","Man","Hispanic or Latino;Middle Eastern or North African;White","Life Sciences","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 11:18:35 AM EST","2025","Woman","Asian;White","Humanities/Arts;Life Sciences","Somewhat agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 11:19:43 AM EST","2024","Woman","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Strongly agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 11:20:46 AM EST","2027","Man","Black","Life Sciences","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 11:25:08 AM EST","2025","Man","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","No","Gift giving"
"2024/03/05 11:26:58 AM EST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 11:30:50 AM EST","2025","Man","Black;Hispanic or Latino","Life Sciences","Somewhat agree","Somewhat agree","Unsure","Unsure","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 11:32:17 AM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/05 11:34:31 AM EST","2024","Woman","White","Life Sciences","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 11:35:26 AM EST","2024","Man","White","Humanities/Arts;Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 11:37:53 AM EST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 11:37:54 AM EST","2027","Woman","Black","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 11:40:53 AM EST","2026","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 11:41:56 AM EST","2026","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 11:43:20 AM EST","2027","Man","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Acts of service"
"2024/03/05 11:45:49 AM EST","2025","Man","Black","Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Unsure","Quality time"
"2024/03/05 11:47:12 AM EST","2024","Man","Black;Hispanic or Latino","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/05 11:49:33 AM EST","2026","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","No","I do not believe in love languages"
"2024/03/05 11:50:59 AM EST","2027","Woman","Black;Hispanic or Latino;White","Humanities/Arts","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 11:51:59 AM EST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 11:52:45 AM EST","2024","Woman","Asian;White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 11:54:01 AM EST","2024","Man","White","Humanities/Arts","Somewhat disagree","Somewhat disagree","Unsure","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 11:54:30 AM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Unsure","Unsure","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","No","Words of affirmation"
"2024/03/05 11:56:06 AM EST","2026","Woman","Asian;White","Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","Unsure","Unsure","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 11:58:14 AM EST","2027","Man","White","Prefer not to answer","Strongly agree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 12:03:53 PM EST","2025","Non-binary","Middle Eastern or North African","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 12:05:46 PM EST","2027","Woman","Middle Eastern or North African","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 12:08:14 PM EST","2027","Man","Middle Eastern or North African","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","Unsure","Unsure","Unsure","Prefer not to answer","Unsure","Physical touch"
"2024/03/05 12:13:31 PM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Unsure","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 12:15:44 PM EST","2024.5","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Unsure","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 12:21:28 PM EST","2027","Woman;Non-binary","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 12:22:58 PM EST","2027","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 12:24:48 PM EST","2024","Woman","White","Humanities/Arts","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 12:26:04 PM EST","2024","Woman","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/05 12:29:12 PM EST","2025","Woman","Black","Life Sciences","Prefer not to answer","Prefer not to answer","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","Prefer not to answer","Words of affirmation"
"2024/03/05 12:32:28 PM EST","2024","Man","Asian;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 12:34:23 PM EST","2027","Man","Asian","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 12:42:59 PM EST","2026","Woman","Asian;White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/05 12:50:34 PM EST","2027","Man","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","Unsure","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 12:51:48 PM EST","2024","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 12:57:28 PM EST","2024","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Prefer not to answer","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 12:58:40 PM EST","2026","Woman","Black","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 12:59:52 PM EST","2027","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:02:37 PM EST","2027","Woman","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:03:21 PM EST","2024","Man","Asian;White","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","Strongly disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 1:05:33 PM EST","2025","Woman;Non-binary","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:13:15 PM EST","2027","Woman","Asian","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Unsure","Unsure","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/05 1:15:50 PM EST","2026","Prefer not to answer","Prefer not to answer","Prefer not to answer","Unsure","Prefer not to answer","Prefer not to answer","Prefer not to answer","Unsure","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:19:03 PM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/05 1:22:53 PM EST","2027","Man","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Acts of service"
