"Timestamp","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","How would you describe your sexual orientation? Check all that apply.","What is your current graduation year?","What is your (intended) concentration area(s)?","Do you have a parent, grandparent, or sibling who attended Brown? (Check all that apply)","How concerned are you about the spread of COVID-19 on campus?","Have you ever had a fake ID?","Do you approve or disapprove of the way President Christina Paxson is handling her job?","Are you generally happy?","Are you planning to vote in the November elections?","Agree or disagree: Brown should reduce grade inflation. ","Have you attended a protest in your time at Brown?","Which of the following best describes your current relationship status?","Have you ever cheated on/been cheated on by your significant other? (check all that apply)","Have you had an appointment at Counseling and Psychological Services (CAPS) this semester?","Have you benefited from a program or service provided by the Undergraduate Council of Students (UCS) in your time at Brown?"
"2022/10/11 9:51:36 AM AST","Female","White","Straight","2024","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, in Providence","In a long-term relationship","I have been cheated on by my significant other","No, and I did not try to make an appointment","No"
"2022/10/11 9:53:50 AM AST","Male","2 or more should b an option!","Straight;Questioning or unsure","2023","Humanities/Arts","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Unsure","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Unsure"
"2022/10/11 9:57:32 AM AST","Male","Black","Gay","2025","Life Sciences","No","Somewhat concerned","No","Strongly approve","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Somewhat disagree","Yes, on campus","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:03:07 AM AST","Female","White","Prefer not to answer","2026","Life Sciences","Yes, grandparent","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","No","Single and not looking for anything","I have never had a significant other","Yes, more than one week after requesting it","No"
"2022/10/11 10:04:47 AM AST","Male","White","Straight","2026","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Strongly approve","Yes, very happy","I am not eligible to vote","Neutral","No","In a long-term relationship","I have been cheated on by my significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:06:13 AM AST","Male","Hispanic;White","Straight","2025","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:06:46 AM AST","Male","Asian","Straight","2026","Life Sciences;Physical Sciences (including math, computer science);Unsure","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Unsure","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:09:29 AM AST","Female","Asian","Straight","2024","Physical Sciences (including math, computer science)","No","Slightly concerned","Yes","Strongly disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","Yes, on campus","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Yes"
"2022/10/11 10:09:33 AM AST","Female","Asian;Hispanic;White","Straight","2023","Social Sciences","No","Not concerned","Yes","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, in Providence","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 10:11:39 AM AST","Male","White","Straight","2024","Physical Sciences (including math, computer science);Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:13:28 AM AST","Female","Asian","Straight","2025","apma cs","No","Not concerned","No","Somewhat disapprove","Neither happy nor unhappy","No","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:14:18 AM AST","Male","White","Bisexual","2026","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat agree","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:16:08 AM AST","Female","White","Straight","2026","Unsure","No","Slightly concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:17:33 AM AST","Male","White","Straight","2024","Life Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:17:43 AM AST","Female","Black","Straight","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Neutral","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:18:32 AM AST","Female","White","Straight","2024","Life Sciences","No","Slightly concerned","No","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus and in Providence","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:19:49 AM AST","Female","Black","Straight","2023.5","Life Sciences","No","Not concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Neutral","Yes, on campus","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:20:40 AM AST","Male","White","Straight","2025","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Neutral","No","Prefer not to answer","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:21:29 AM AST","Female","Asian","Straight","2024","Life Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Somewhat disagree","No","In a casual relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Unsure"
"2022/10/11 10:23:17 AM AST","Female","Black","Straight","2024","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, parent;Yes, sibling","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","Yes, on campus and in Providence","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:23:33 AM AST","Female","Asian;White","Questioning or unsure","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Strongly disagree","No","In a casual relationship","Unsure","No, and I did not try to make an appointment","No"
"2022/10/11 10:24:26 AM AST","Male","White","Asexual;Straight","2025","Humanities/Arts;Social Sciences","Yes, sibling","Slightly concerned","No","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, on campus","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:24:59 AM AST","Nonbinary","Middle Eastern or North African;White","Queer","2024","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus and in Providence","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:25:03 AM AST","Female","Asian","Straight","2024","Social Sciences","No","Slightly concerned","No","Somewhat disapprove","Yes, somewhat happy","I am not eligible to vote","Neutral","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:26:58 AM AST","Female","Asian","Asexual","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:27:05 AM AST","Female","Native American/Alaska Native;White","Lesbian","2023","Life Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","In a long-term relationship","I have cheated on my significant other;I have been cheated on by my significant other","Yes, within one week of requesting it","Yes"
"2022/10/11 10:28:29 AM AST","Female","White","Straight","2024","Life Sciences;Social Sciences","Yes, parent","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:29:10 AM AST","Female","White","Bisexual","2023","Life Sciences;Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Neutral","Yes, on campus and in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:30:22 AM AST","Male","Black","Straight","2024","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Somewhat disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Neutral","Yes, on campus and in Providence","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:31:26 AM AST","Male","Asian","Queer;Questioning or unsure","2026","Life Sciences;Social Sciences","No","Somewhat concerned","No","Somewhat disapprove","No, very unhappy","I am not eligible to vote","Somewhat disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/11 10:31:50 AM AST","Male","White","Straight","2023","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:32:50 AM AST","Female","White","Straight","2024","Life Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","No","In a long-term relationship","I have been cheated on by my significant other","Yes, more than one week after requesting it","Unsure"
"2022/10/11 10:33:05 AM AST","Female","Hispanic;White","Bisexual;Straight;Questioning or unsure","2026","Life Sciences;Unsure","No","Slightly concerned","No","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 10:36:57 AM AST","Male","White","Straight","2025","Unsure","No","Slightly concerned","No","Neither approve nor disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Unsure","No","Single and looking for a relationship","I have never had a significant other","Yes, within one week of requesting it","Unsure"
"2022/10/11 10:37:41 AM AST","Female","White","Straight","2026","Life Sciences","No","Very concerned","No","Neither approve nor disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for something casual","I have never had a significant other","No, I wanted to but was unable to make an appointment","No"
"2022/10/11 10:37:41 AM AST","Male","White","Straight","2026","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for a relationship","I have been cheated on by my significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:39:27 AM AST","Male","Asian","Straight","2025","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","No, somewhat unhappy","No","Strongly disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:40:49 AM AST","Nonbinary","Black","Asexual","2025","Humanities/Arts;Social Sciences","No","Somewhat concerned","No","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly agree","Yes, on campus and in Providence","Single and not looking for anything","I have never had a significant other","No, I wanted to but was unable to make an appointment","Yes"
"2022/10/11 10:41:13 AM AST","Nonbinary","Asian","Lesbian;Queer","2024","Physical Sciences (including math, computer science)","Yes, parent","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:42:46 AM AST","Male","Middle Eastern or North African;White","Straight","2023","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","No","Strongly approve","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:42:56 AM AST","Female","Black","Bisexual","2026","Physical Sciences (including math, computer science);Social Sciences","No","Somewhat concerned","No","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 10:44:51 AM AST","Male","White","Straight","2026","Social Sciences","Yes, parent","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:45:51 AM AST","Male","White","Straight","2025","Humanities/Arts;Life Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Neutral","No","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 10:46:40 AM AST","Female","White","Straight","2024","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences","No","Not concerned","Yes","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 10:48:15 AM AST","Female","Black","Straight","2026","Life Sciences;Social Sciences","No","Very concerned","Yes","Somewhat approve","Yes, very happy","No","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:49:16 AM AST","Female","Black","Straight","2026","Life Sciences","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","No","Strongly disagree","No","Single and looking for a relationship","I have been cheated on by my significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:50:03 AM AST","Male","White","Bisexual","2023","Physical Sciences (including math, computer science)","Yes, parent;Yes, sibling","Slightly concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 10:50:24 AM AST","Female","White","Bisexual","2023","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, on campus","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, I wanted to but was unable to make an appointment","Yes"
"2022/10/11 10:52:28 AM AST","Male","Black;White","Gay","2023","Life Sciences","No","Not concerned","No","Neither approve nor disapprove","No, somewhat unhappy","No","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:53:52 AM AST","Female","White","Bisexual;Straight","2026","Life Sciences;Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:53:55 AM AST","Female","White","Straight","2026","Life Sciences","No","Somewhat concerned","Yes","Somewhat approve","Yes, very happy","Yes, in Rhode Island (which is my home state)","Somewhat disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 10:58:15 AM AST","Female","Asian;White","Straight","2024","Life Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, in Providence","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:17:43 AM AST","Male","White","Straight","2024","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Unsure","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:24:11 AM AST","Male","White","Straight","2023","Physical Sciences (including math, computer science)","No","Not concerned","No","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 11:24:22 AM AST","Female","White","Bisexual","2026","Physical Sciences (including math, computer science)","No","Very concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 11:26:28 AM AST","Female","Asian","Questioning or unsure","2024","Social Sciences","No","Somewhat concerned","Yes","Somewhat approve","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","Yes, in Providence","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","No"
"2022/10/11 11:27:14 AM AST","Male","Asian","Questioning or unsure","2025","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Neutral","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:27:55 AM AST","Female","White","Pansexual;Questioning or unsure","2026","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Somewhat approve","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:33:24 AM AST","Male","White","Straight","2025","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and not looking for anything","I have been cheated on by my significant other;I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 11:35:15 AM AST","Female","White","Straight","2024","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Strongly disagree","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:40:27 AM AST","Male","Arab","Queer","2025","Humanities/Arts","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Somewhat disagree","Yes, on campus","Single and not looking for anything","I have never had a significant other","Yes, more than one week after requesting it","No"
"2022/10/11 11:41:56 AM AST","Male;Nonbinary","Asian","Bisexual;Pansexual","2024","Humanities/Arts;Social Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in Rhode Island (which is not my home state)","Neutral","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:42:14 AM AST","Male","White","Straight","2025","Humanities/Arts","No","Slightly concerned","Yes","Strongly approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 11:42:53 AM AST","Female","Hispanic","Bisexual","2025","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Strongly disagree","No","Single and not looking for anything","I have never had a significant other","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/11 11:44:24 AM AST","Male","Hispanic","Straight","2024","Social Sciences","Yes, parent","Not concerned","Yes","Strongly approve","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","No","Hooking up with multiple people","Prefer not to answer","No, and I did not try to make an appointment","Yes"
"2022/10/11 11:45:18 AM AST","Male","White","Straight","2023","Physical Sciences (including math, computer science)","Yes, sibling","Not concerned","Yes","Neither approve nor disapprove","No, somewhat unhappy","Yes, in Rhode Island (which is my home state)","Neutral","Yes, in Providence","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:48:12 AM AST","Male","Native American/Alaska Native;White","Straight","2025","Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","Unsure","No, and I did not try to make an appointment","No"
"2022/10/11 11:52:16 AM AST","Male","White","Straight","2026","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in Rhode Island (which is not my home state)","Strongly disagree","No","Hooking up with multiple people","I have cheated on my significant other","No, and I did not try to make an appointment","No"
"2022/10/11 11:54:26 AM AST","Male","White","Gay","2025","Humanities/Arts;Life Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Neutral","Yes, on campus and in Providence","Single and looking for something casual","Prefer not to answer","No, I wanted to but was unable to make an appointment","Yes"
"2022/10/11 11:54:28 AM AST","Prefer not to answer","White","Lesbian","2025","Social Sciences","No","Slightly concerned","Prefer not to answer","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, in Providence","Single and not looking for anything","I have never had a significant other","Yes, within one week of requesting it","Yes"
"2022/10/11 11:55:02 AM AST","Female;Nonbinary","White","Queer","2025","Humanities/Arts;Social Sciences","No","Not concerned","Yes","Somewhat approve","Neither happy nor unhappy","Yes, in Rhode Island (which is not my home state)","Somewhat disagree","Yes, on campus and in Providence","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 11:55:46 AM AST","Male","White","Straight","2024","Humanities/Arts","Yes, grandparent","Not concerned","Yes","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","Prefer not to answer","No, and I did not try to make an appointment","Unsure"
"2022/10/11 11:57:24 AM AST","Male","Black;White","Straight","2026","Physical Sciences (including math, computer science);Social Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, very happy","No","Strongly agree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 11:58:45 AM AST","Female","Asian","Straight","2026","Humanities/Arts","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for something casual","Unsure","Yes, more than one week after requesting it","No"
"2022/10/11 11:59:05 AM AST","Questioning or unsure","Black","Gay","2024","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Prefer not to answer","Yes, very happy","Yes, in a state other than Rhode Island","Unsure","No","Prefer not to answer","I have been cheated on by my significant other","No, and I did not try to make an appointment","No"
