Timestamp,What gender do you identify with?,What race do you identify with?,Did you apply to Brown a domestic or international applicant?,What graduation class are you?,What type of financial aid do you receive from Brown?,What is your intended concentration? ,"If you've declared a second concentration, what is it?",Should Brown require applicants to submit a standardized test score (ACT/SAT)?,Do you believe that Brown should maintain preferential admissions for children of alumni?,Have you ever checked out a physical book from a Brown library?,What do you call the dorms located on Vartan Gregorian Quad?,Which Covid-19 restrictions do you think should be in place right now?, [CW: The following question refers to sexual activity] When was the last time you had sex?,[CW: The following question refers to drug use] Which of the following drugs have you used recreationally in the past six months?,"If economic sanctions do not stop Russian military actions in Ukraine, would you favor or oppose the US taking military action to stop them?"
2022/03/02 11:54:02 AM AST,Non-binary,White,Domestic,2022,None,SAR ,Religious Studies ,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Cocaine;LSD (Acid);Marijuana,Unsure
2022/03/02 11:55:53 AM AST,Male,Asian,Unsure,2025,None,Mathematics,,Yes,Yes,Yes,Unsure,"Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,Alcohol;Marijuana,Favor
2022/03/02 11:58:47 AM AST,Female,White,Domestic,2022,Grants covering some costs,Education Studies,History,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one month ago,Alcohol;Marijuana,Oppose
2022/03/02 12:01:15 PM AST,Female,White,Domestic,2023,None,Medical Anthropology,Health and Human Biology,No,No,Yes,New Dorm,None of the above,Less than one week ago,Alcohol,Unsure
2022/03/02 12:13:15 PM AST,Female,Non-white Hispanic,Domestic,2025,Grants covering some costs,IAPA ,,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,None of the above,Oppose
2022/03/02 12:25:03 PM AST,Male,Asian;South Asian,Domestic,2024,Grants covering some costs,Neuroscience,,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,None of the above,Oppose
2022/03/02 12:28:47 PM AST,Male,White,Domestic,2025,Grants covering some costs,International and Public Affairs,,No,No,No,Greg,Required masking in class,Less than one month ago,Alcohol;Marijuana,Oppose
2022/03/02 12:36:45 PM AST,Female,Asian,Domestic,2025,Grants covering some costs,cognitive science,,No,No,Yes,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol,Oppose
2022/03/02 12:38:50 PM AST,Female,White,Domestic,2024,None,Econ,IAPA,Yes,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/02 12:44:11 PM AST,Male,White,Domestic,2024,None,Mathematics,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Prefer not to answer,Alcohol,Unsure
2022/03/02 12:44:18 PM AST,Female,White,Domestic,2024,Grants covering some costs,biology,slavic studies,No,No,No,Greg,Required masking in class,Less than one month ago,Alcohol,Unsure
2022/03/02 12:46:46 PM AST,Male,White,Domestic,2023,None,Data Science,,No,No,No,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana;Psilocybin (Psychedelic mushrooms),Favor
2022/03/02 12:47:22 PM AST,Male,mixed,Domestic,2023,None,data science ,,No,No,No,Prefer not to answer,Required masking in class,Unsure,Unsure,Oppose
2022/03/02 12:49:55 PM AST,Female,White,Domestic,2025,Grants covering some costs,history,,No,No,No,Greg,Required masking in class,Less than one month ago,Prefer not to answer,Oppose
2022/03/02 12:50:51 PM AST,Female,Asian,International,2024,None,psychology,east asian studies,Unsure,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,None of the above,Favor
2022/03/02 12:52:28 PM AST,Female,Prefer not to answer,Domestic,2022,Grants covering some costs,"HIAA, IAPA",,Unsure,No,Yes,New Dorm,Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/02 12:54:26 PM AST,Male,White,Domestic,2025,Grants covering some costs,Computer Science,Cognitive Science,Unsure,Unsure,No,Vartan Gregorian Quad (A/B),Required masking in class,I’ve never had sex,Alcohol;Marijuana,Oppose
2022/03/02 12:55:53 PM AST,Male,White,Domestic,2024,None,CS and Geoscience,,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,Less than one month ago,Alcohol;Marijuana,Oppose
2022/03/02 12:56:11 PM AST,Male,White,Domestic,2025,Grants covering some costs,computer science,"maybe physics, apma",Unsure,No,No,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,None of the above,Oppose
2022/03/02 12:57:47 PM AST,Female,White,Domestic,2024,None,Computer Science,,Yes,Yes,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol,Unsure
2022/03/02 12:58:02 PM AST,Female,White,Domestic,2023,None,Computer Science,,Unsure,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",More than six months ago,Alcohol,Favor
2022/03/02 1:01:32 PM AST,Male,White,Domestic,2023,Grants covering some costs,Public Policy,,Unsure,Yes,No,"Varty, Greg, NewDy, and New Dorm",None of the above,I’ve never had sex,Alcohol,Unsure
2022/03/02 1:02:40 PM AST,Female,Arab and Middle Eastern,Unsure,2025,None,Biochemsitry and Comparative Literature,The one above,No,Unsure,No,Unsure,None of the above,I’ve never had sex,Alcohol,Prefer not to answer
2022/03/02 1:03:53 PM AST,Male,White,Domestic,2022,None,Behjavioral Decision Sciences,,No,Unsure,No,Greg,"Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,N/A,Unsure
2022/03/02 1:10:38 PM AST,Male,White,Domestic,2025,Grants covering all costs,archaeology,classics,No,No,No,Unsure,Unsure,Less than one week ago,Alcohol,Unsure
2022/03/02 1:10:47 PM AST,Male,Non-white Hispanic,Domestic,2023,Grants covering all costs,IAPA (Development),,Unsure,No,Yes,New Dorm,None of the above,More than six months ago,None of the above,Favor
2022/03/02 1:13:51 PM AST,Male,Asian,International,2024,None,CS and IAPA,IAPA,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,Alcohol,Favor
2022/03/02 1:16:15 PM AST,Non-binary,White,Domestic,2025,Grants covering all costs,Mechanical Engineering,,No,No,No,Unsure,Required masking in class,Less than one week ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);LSD (Acid);Marijuana;MDMA (Ecstasy/Molly);Nicotine;Psilocybin (Psychedelic mushrooms),Favor
2022/03/02 1:19:53 PM AST,Female,Asian,International,2023,None,physcology,,Yes,Unsure,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,Alcohol,Favor
2022/03/02 1:21:39 PM AST,Female,Asian;Native Hawaiian/Pacific Islander,Domestic,2024,Grants covering some costs,architecture,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol;Marijuana;Nicotine,Favor
2022/03/02 1:28:22 PM AST,Female,Black,International,2022,Grants covering all costs,Computer science,French,No,Unsure,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one month ago,Alcohol,Oppose
2022/03/02 1:30:40 PM AST,Male,Prefer not to answer,International,2023,Grants covering some costs,engineering,,Yes,Unsure,No,Unsure,None of the above,Less than one week ago,None of the above,Oppose
2022/03/02 1:39:03 PM AST,Male,Black,International,2023,Grants covering some costs,IAPA,,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one month ago,Alcohol;Cocaine;Marijuana;Psilocybin (Psychedelic mushrooms),Oppose
2022/03/02 1:41:38 PM AST,Female,Asian,Domestic,2025,Grants covering some costs,Biomedical Engineering,,No,No,No,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol;Marijuana,Unsure
2022/03/02 1:43:23 PM AST,Male,Black,Domestic,2023,Grants covering all costs,Biology ,Africana,No,Yes,No,New Dorm,Required masking in class,Less than one month ago,Alcohol;Marijuana,Unsure
2022/03/02 1:43:27 PM AST,Male,Asian,Domestic,2023,None,Computer Science,,Yes,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol;Marijuana,Oppose
2022/03/02 1:45:46 PM AST,Female,White,Domestic,2023,None,applied math biology,,No,No,No,New Dorm,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,Alcohol;Marijuana,Oppose
2022/03/02 1:47:08 PM AST,Female,Asian,Domestic,2025,Grants covering all costs,Geology Biology,,No,No,No,Greg,Required masking in class,Prefer not to answer,Alcohol,Favor
2022/03/02 1:48:57 PM AST,Male,White,Domestic,2023,None,Applied Math-Econ,N/A,Unsure,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",More than six months ago,Alcohol,Favor
2022/03/02 1:49:18 PM AST,Female,Asian,Domestic,2025,Grants covering all costs,public health,psychololgy,No,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one month ago,Alcohol,Favor
2022/03/02 1:52:40 PM AST,Female,White,Domestic,2023,None,Neuroscience,,Unsure,No,Yes,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/02 1:53:29 PM AST,Male,White,Domestic,2024,None,computer science,music,No,No,Yes,New Dorm,Required masking in class;Mandatory Covid-19 testing,More than six months ago,Alcohol;Marijuana;Psilocybin (Psychedelic mushrooms),Favor
2022/03/02 1:54:39 PM AST,Male,Asian,International,2024,Grants covering some costs,Computational Biology,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol,Oppose
2022/03/02 1:56:04 PM AST,Female,Black;Non-white Hispanic,Domestic,2025,Grants covering some costs,IAPA,,No,Unsure,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol;Marijuana,Favor
2022/03/02 1:56:30 PM AST,Male,Asian,Domestic,2024,None,Applied Math,,Unsure,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol,Oppose
2022/03/02 1:57:36 PM AST,Male,White,Domestic,2024,Grants covering some costs,HIAA ,VISA,No,No,Yes,Greg,Required masking in class,Less than one month ago,Alcohol;Marijuana,Favor
2022/03/02 1:59:08 PM AST,Female,Asian;White,Domestic,2024,None,IAPA,,No,No,Yes,Greg,Required masking in class;Mandatory Covid-19 testing,Less than six months ago,Alcohol;Marijuana,Oppose
2022/03/02 1:59:38 PM AST,Female,Asian,Domestic,2024,None,Sociology,Economics,No,No,Yes,Greg,"Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Marijuana,Unsure
2022/03/02 2:00:46 PM AST,Non-binary,Black,Domestic,2025,Grants covering some costs,metaphysics,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Inhalants (Poppers/Whip-its);Marijuana;Nicotine,Oppose
2022/03/02 2:04:39 PM AST,Male,White,Domestic,2023,None,Mechanical Engineering,,Unsure,Unsure,No,New Dorm,None of the above,Less than one month ago,Alcohol,Oppose
2022/03/02 2:04:56 PM AST,Female,White,Domestic,2023,None,Biomedical engineering,,No,No,No,New Dorm,Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana;Nicotine,Unsure
2022/03/02 2:07:20 PM AST,Male,Non-white Hispanic,Domestic,2022,Grants covering all costs,TAPS,,No,No,Yes,Unsure,Mandatory Covid-19 testing,Less than one month ago,Alcohol;Marijuana;Psilocybin (Psychedelic mushrooms),Favor
2022/03/02 2:07:33 PM AST,Male,Asian,International,2024,None,CS,Astronomy,No,No,Yes,Unsure,"Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,None of the above,Favor
2022/03/02 2:08:59 PM AST,Male,White,Domestic,2023,None,Biochemistry & Molecular Biology,,Yes,Unsure,No,New Dorm,None of the above,I’ve never had sex,Alcohol,Unsure
2022/03/02 2:10:19 PM AST,Male,White,International,2025,None,IAPA,Undeided,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol;Inhalants (Poppers/Whip-its);Marijuana;Nicotine,Oppose
2022/03/02 2:11:26 PM AST,Female,White,Domestic,2023,None,Health and Human Biology,,Yes,No,Yes,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/02 2:11:42 PM AST,Male,White,Domestic,2023,None,Computer Science,,Yes,Yes,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol,Favor
2022/03/02 2:13:31 PM AST,Male,White,Domestic,2024,Grants covering some costs,IAPA Development,,No,No,Yes,Greg,Required masking in class,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/02 2:14:07 PM AST,Male,White,Domestic,2023,Grants covering some costs,Business Econ,,Yes,Yes,No,Greg,None of the above,Less than one month ago,Alcohol,Unsure
2022/03/02 2:16:31 PM AST,Male,Prefer not to answer,Domestic,2023,None,Biomedical engineering,N/A,No,No,No,New Dorm,Required masking in class,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/02 2:17:48 PM AST,Female,Asian,International,2022,Grants covering some costs,Biostatistics,,Prefer not to answer,Yes,No,Prefer not to answer,Required masking in class,Prefer not to answer,None of the above,Prefer not to answer
2022/03/02 2:18:16 PM AST,Male,White,Domestic,2023.5,None,cs,math,No,No,Yes,New Dorm,Required masking in class,Less than one week ago,Alcohol;Marijuana;Psilocybin (Psychedelic mushrooms),Oppose
2022/03/02 2:21:28 PM AST,Male,Black,Unsure,2024,Unsure,econ,,Unsure,No,No,Greg,None of the above,Less than one month ago,Marijuana,Oppose
2022/03/02 2:21:47 PM AST,Female,White,Domestic,2025,None,International and Public Affairs ,Portuguese ,No,Yes,No,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Nicotine,Unsure
2022/03/02 2:25:17 PM AST,Male,White,Domestic,2025,None,Economics,,Unsure,Yes,No,Greg,None of the above,Less than one week ago,None of the above,Unsure
2022/03/02 2:29:09 PM AST,Male,Asian,International,2024,None,APMA,,Yes,Yes,Yes,Unsure,Required masking in class,I’ve never had sex,None of the above,Oppose
2022/03/02 2:30:35 PM AST,Male,White,International,2023,None,physics,,Unsure,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,None of the above,Unsure
2022/03/02 2:30:38 PM AST,Male,White,Unsure,2024,None,Business Economics,,Yes,Yes,Yes,New Dorm,None of the above,Less than six months ago,Alcohol;Marijuana,Favor
2022/03/02 2:35:10 PM AST,Male,Asian,International,2025,Grants covering all costs,CS-Econ,,Yes,No,No,Vartan Gregorian Quad (A/B),"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one month ago,None of the above,Unsure
2022/03/02 2:35:28 PM AST,Female,Asian,International,2025,Grants covering all costs,Cs-Econ,,No,No,Yes,Greg A?? Someone said that idk,Required masking in class,I’ve never had sex,None of the above,Unsure
2022/03/02 2:37:36 PM AST,Female,Asian,International,2023,Prefer not to answer,Econ + BDS,,No,Yes,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,Alcohol,Prefer not to answer
2022/03/02 2:38:16 PM AST,Female,White,International,2024,None,Linguistics,Anthropology,No,Unsure,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Marijuana,Favor
2022/03/02 2:39:35 PM AST,Male,White,Domestic,2024,Grants covering some costs,Chemistry,,Unsure,No,No,Greg,None of the above,Less than one week ago,Alcohol;Nintendo Switch,Favor
2022/03/02 2:41:22 PM AST,Female,Asian,International,2023,None,Bio,,Yes,Unsure,Unsure,Prefer not to answer,Required masking in class,Less than six months ago,Cocaine,Unsure
2022/03/02 2:46:23 PM AST,Male,Asian,Domestic,2025,Grants covering some costs,neuroscience,,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,Alcohol,Favor
2022/03/02 2:46:27 PM AST,Female,White,Domestic,2024,None,English,Political Science,Yes,Unsure,No,Greg,None of the above,Prefer not to answer,Alcohol,Unsure
2022/03/02 2:47:34 PM AST,Male,Asian,Domestic,2025,None,IAPA,,No,No,No,Greg,None of the above,Less than one month ago,Alcohol;Marijuana,Favor
2022/03/02 2:50:12 PM AST,Male,White,Domestic,2022,Grants covering some costs,econ,,Yes,Yes,No,Greg,None of the above,Less than one week ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/02 2:50:15 PM AST,Female,Asian,Domestic,2024,None,Computational Biology,Religion,Yes,Unsure,No,Greg,Mandatory Covid-19 testing,I’ve never had sex,None of the above,Favor
2022/03/02 2:51:34 PM AST,Female,White,Domestic,2024,None,public health,,No,Unsure,Yes,Greg,Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/02 2:52:59 PM AST,Female,Asian;Native Hawaiian/Pacific Islander;White,Domestic,2023,None,health and human biology,,No,No,No,New Dorm,Required masking in class,Prefer not to answer,Alcohol;Marijuana,Unsure
2022/03/02 2:56:14 PM AST,Male,White,Domestic,2025,None,econ,I havent,No,Yes,No,Unsure,None of the above,Less than six months ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Marijuana;Nicotine,Oppose
2022/03/02 2:56:46 PM AST,Male,American Indian/Alaska Native,Domestic,2025,Grants covering all costs,Native American Studies,N/A,No,No,No,Unsure,Unsure,I’ve never had sex,Alcohol;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/02 2:57:36 PM AST,Male,White,Domestic,2024,Grants covering some costs,History,,Yes,Unsure,Yes,New Dorm,None of the above,Less than one week ago,Alcohol,Unsure
2022/03/02 2:58:43 PM AST,Female,White,Domestic,2024,None,Public Health ,,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/02 2:58:48 PM AST,Male,White,Domestic,2023,None,Lit Arts,,Yes,Yes,No,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/02 3:00:24 PM AST,Female,White,Domestic,2024,Grants covering some costs,Political Science,History,No,No,Yes,Greg,None of the above,Less than six months ago,Prefer not to answer,Unsure
2022/03/02 3:00:54 PM AST,Female,White,Domestic,2024,Grants covering some costs,neuroscience,gender studies,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,Less than one month ago,Alcohol;Marijuana,Oppose
2022/03/02 3:02:52 PM AST,Male,Asian,Domestic,2022,None,Biology,Computer Science,Yes,Yes,No,New Dorm,None of the above,Less than one week ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);LSD (Acid);Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms);Ketamine,Favor
2022/03/02 3:04:14 PM AST,Female,mestizo,International,2022,None,IR,,No,No,Yes,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Favor
2022/03/02 3:04:20 PM AST,Male,Asian;White,International,2022,None,IAPA,,Unsure,Yes,No,New Dorm,None of the above,Less than six months ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Oppose
2022/03/02 3:06:00 PM AST,Female,White,International,2022,None,History ,IAPA,No,No,Yes,New Dorm,Required masking in class,Less than one week ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/02 3:06:23 PM AST,Female,White,Domestic,2022,None,sts,,No,No,Yes,New Dorm,Required masking in class,More than six months ago,Alcohol;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/02 3:08:37 PM AST,Non-binary,White,Domestic,2023,Grants covering some costs,biotechnology,,Unsure,No,No,Unsure,"Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol;Marijuana,Favor
2022/03/02 3:08:39 PM AST,Female,White,Domestic,2023,None,Biotechnology Masters,,Unsure,No,No,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol,Favor
2022/03/02 3:09:47 PM AST,Female,Black;White,Domestic,2025,None,Econ,poli sci,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,Alcohol;Marijuana,Unsure
2022/03/02 3:11:36 PM AST,Female,Asian,Domestic,2022,Grants covering some costs,economics ,,Unsure,Unsure,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Unsure",Less than six months ago,Alcohol,Unsure
2022/03/02 3:11:39 PM AST,Male,White,Domestic,2024,Grants covering some costs,Political Science and Econonmics,,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol;Inhalants (Poppers/Whip-its);Marijuana;Psilocybin (Psychedelic mushrooms),Unsure
