"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Did you vote in the November general election?","Do you think you’re more attractive than the average Brown University student?","If you could go to any undergraduate institution of your choosing (excluding Brown) which would it be?","Would you consider yourself more of a cat person or a dog person?","Do you believe President Joe Biden should run for a second term in 2024?","Do you believe colleges should consider race/ethnicity when making decisions about student admissions?","What is your height in feet/inches?","Opinion: Professors, administrators, and community leaders at Brown should regularly make land acknowledgments."
"2022/11/28 1:30:15 PM AST","2026","Female","White","Humanities/Arts","Prefer not to answer","Prefer not to answer","Northwestern University","Dog person","No","Prefer not to answer","5'4","Somewhat agree"
"2022/11/28 1:30:22 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","Harvard","Dog person","No","Yes","5'5","Somewhat disagree"
"2022/11/28 1:34:51 PM AST","2025","Male","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","No, slightly less attractive","Stanford","Dog person","No","No","5'8","Somewhat agree"
"2022/11/28 1:35:41 PM AST","2025","Female","White","Physical Sciences (including math, computer science)","No","Prefer not to answer","Yale","Dog person","No","Yes","5'3","Somewhat agree"
"2022/11/28 1:36:08 PM AST","2025","Female","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","n/a","Dog person","No","Yes","5'6","Somewhat agree"
"2022/11/28 1:36:45 PM AST","2023","Male","Black;White","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","idk","Dog person","No","Yes","5'9","Unsure"
"2022/11/28 1:37:17 PM AST","2025","Male","Asian","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","No","No","5'9","Somewhat disagree"
"2022/11/28 1:39:03 PM AST","2023","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Dog person","No","Yes","5'7","Somewhat agree"
"2022/11/28 1:39:40 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Williams College","Dog person","No","Prefer not to answer","5'5","Somewhat agree"
"2022/11/28 1:41:35 PM AST","2025","Female","White","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","tufts","Dog person","Prefer not to answer","Prefer not to answer","5'3","Somewhat agree"
"2022/11/28 1:43:01 PM AST","2025","Male","mix","Humanities/Arts","I am not eligible to vote","Yes, significantly more attractive","harvard","Dog person","No","Yes","6'1","Somewhat disagree"
"2022/11/28 1:43:53 PM AST","2025","Female","Asian","Humanities/Arts","I am not eligible to vote","Yes, slightly more attractive","Yale or Princeton","Dog person","Yes","Yes","5'4","Somewhat agree"
"2022/11/28 1:44:05 PM AST","2025.5","Female","White","Prefer not to answer","I am not eligible to vote","Prefer not to answer","n/a","Dog person","Prefer not to answer","Prefer not to answer","5'5","Somewhat agree"
"2022/11/28 1:45:01 PM AST","2026","Male","Asian","Life Sciences;Physical Sciences (including math, computer science)","No","Prefer not to answer","umich","Dog person","Prefer not to answer","No","6'0","Unsure"
"2022/11/28 1:45:28 PM AST","2026","Male","White","Humanities/Arts;Life Sciences","No","No, slightly less attractive","Stanford","Cat person","Yes","Yes","5'10","Somewhat agree"
"2022/11/28 1:46:53 PM AST","2024","Female","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","boulder","Dog person","Yes","Yes","5'4","Somewhat agree"
"2022/11/28 1:47:19 PM AST","2023","Female","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Yale University","Dog person","No","No","5'3","Somewhat agree"
"2022/11/28 1:47:21 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Harvard","Dog person","Yes","No","5'6","Unsure"
"2022/11/28 1:48:38 PM AST","2023","Male","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Yale","Dog person","No","No","5'10","Strongly disagree"
"2022/11/28 1:49:26 PM AST","2023","Female","Middle Eastern or North African;White","Life Sciences","No","Yes, significantly more attractive","Columbia","Prefer not to answer","Yes","No","5'4","Unsure"
"2022/11/28 1:49:34 PM AST","2025","Male","Hispanic","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","Florida State University","Prefer not to answer","No","Prefer not to answer","5'11","Somewhat agree"
"2022/11/28 1:49:35 PM AST","2024","Female","Hispanic;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Tufts","Dog person","Yes","Yes","5'8","Strongly agree"
"2022/11/28 1:50:25 PM AST","2023","Male","Asian","Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Uchicago","Dog person","No","Yes","5'11","Strongly disagree"
"2022/11/28 1:50:41 PM AST","2024","Female","White","Humanities/Arts","No","Yes, slightly more attractive","Columbia","Dog person","No","Prefer not to answer","5'6","Somewhat disagree"
"2022/11/28 1:50:42 PM AST","2025","Female","Hispanic;White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, significantly more attractive","Yale University","Cat person","No","Yes","5'7","Strongly agree"
"2022/11/28 1:52:40 PM AST","2025","Female","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Boise State","Dog person","No","No","5'8","Somewhat disagree"
"2022/11/28 1:52:53 PM AST","2025","Female","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","Stanford","Dog person","Prefer not to answer","Yes","5'4","Somewhat agree"
"2022/11/28 1:52:59 PM AST","2025","Female","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","Havard, Yale, Stanford","Cat person","Prefer not to answer","Prefer not to answer","5'4","Strongly agree"
"2022/11/28 1:54:24 PM AST","2024","Male","White","Humanities/Arts","No","Yes, slightly more attractive","haha","Dog person","No","Yes","5'8","Somewhat agree"
"2022/11/28 1:54:30 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Pomona College","Dog person","No","No","6'3","Somewhat disagree"
"2022/11/28 1:55:18 PM AST","2025","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","George Washington University","Dog person","No","Prefer not to answer","5'5","Somewhat agree"
"2022/11/28 1:56:04 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Pitzer","Dog person","Yes","Yes","5'7","Somewhat agree"
"2022/11/28 1:56:07 PM AST","2024","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Stanford","Dog person","No","Yes","5'5","Somewhat agree"
"2022/11/28 1:56:27 PM AST","2026","Bigender","White","Humanities/Arts;Physical Sciences (including math, computer science)","No","No, significantly less attractive","Pomona?","Dog person","No","Yes","6'1","Strongly agree"
"2022/11/28 1:57:30 PM AST","2024","Female","Asian;White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Amherst College","Dog person","No","Yes","5'7","Strongly agree"
"2022/11/28 1:58:22 PM AST","2025","Male","White","Life Sciences","No","Yes, slightly more attractive","USC or Tufts","Dog person","No","Yes","5'9","Somewhat disagree"
"2022/11/28 2:05:46 PM AST","2024","Male","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Pomona","Dog person","Yes","Yes","6'1","Somewhat disagree"
"2022/11/28 2:08:05 PM AST","2023","Male","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Harvard","Dog person","No","Prefer not to answer","6'1","Somewhat agree"
"2022/11/28 2:10:00 PM AST","2026","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Georgetown university","Cat person","Prefer not to answer","Prefer not to answer","5'10","Somewhat agree"
"2022/11/28 2:10:20 PM AST","2026","Female","White","Humanities/Arts","No","Prefer not to answer","yale","Prefer not to answer","Yes","No","5'9","Strongly agree"
"2022/11/28 2:14:14 PM AST","2023.5","Non-binary","White","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is my home state","Prefer not to answer","Trade School","Dog person","Yes","Yes","5'10","Strongly agree"
"2022/11/28 2:15:51 PM AST","2024","Male","White","Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","MIT","Dog person","No","Yes","6'4","Somewhat disagree"
"2022/11/28 2:15:52 PM AST","2024","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Middlebury","Dog person","Prefer not to answer","Yes","5'10","Somewhat agree"
"2022/11/28 2:18:28 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Stanford","Cat person","No","No","5'5","Strongly agree"
"2022/11/28 2:18:37 PM AST","2024","Female","White","Life Sciences","I am not eligible to vote","Yes, slightly more attractive","Reed College","Dog person","No","Yes","5'4","Somewhat agree"
"2022/11/28 2:20:17 PM AST","2023","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Princeton","Dog person","No","Yes","5'10","Strongly disagree"
"2022/11/28 2:22:33 PM AST","2024","Female","White","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Oxford","Dog person","Yes","Yes","5'7","Unsure"
"2022/11/28 2:26:25 PM AST","2024","Female","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Middlebury College","Cat person","No","Yes","5'5","Somewhat disagree"
"2022/11/28 2:30:59 PM AST","2024","Female","White","Life Sciences","No","Yes, slightly more attractive","Harvard","Cat person","Prefer not to answer","Prefer not to answer","5'8","Unsure"
"2022/11/28 2:31:46 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","No","No, slightly less attractive","Harvard","Dog person","No","No","5'8","Unsure"
"2022/11/28 2:32:40 PM AST","2026","Female","Black","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Harvard","Dog person","Yes","Yes","5'4","Somewhat agree"
"2022/11/28 2:34:34 PM AST","2026","Non-binary","Black","Humanities/Arts;Life Sciences","I am not eligible to vote","Prefer not to answer","Johns Hopkins","Cat person","No","No","5'6","Strongly agree"
"2022/11/28 2:36:42 PM AST","2023.5","Prefer not to answer","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","art school","Dog person","Yes","Yes","5'8","Strongly agree"
"2022/11/28 2:38:27 PM AST","2025","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Dartmouth","Dog person","No","Yes","5'11","Somewhat agree"
"2022/11/28 2:40:48 PM AST","2024","Male","Asian;White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Stanford","Dog person","No","Prefer not to answer","6'0","Unsure"
"2022/11/28 2:42:17 PM AST","2024","Female","Black","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","University of St. Andrews","Cat person","Yes","Yes","5'5","Somewhat disagree"
"2022/11/28 2:43:14 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, slightly more attractive","Duke","Dog person","No","Yes","5'5","Strongly agree"
"2022/11/28 2:46:07 PM AST","2023","Male","White","Social Sciences (including economics, CLPS)","No","Yes, significantly more attractive","stanford","Dog person","Yes","Yes","6'5","Somewhat agree"
"2022/11/28 2:49:20 PM AST","2026","Female","White","Prefer not to answer","I am not eligible to vote","No, slightly less attractive","brown","Dog person","No","No","5'8","Strongly agree"
"2022/11/28 2:50:59 PM AST","2023","Female","White","Humanities/Arts;Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Amherst","Dog person","No","Yes","5'2","Somewhat agree"
"2022/11/28 2:50:59 PM AST","2023.5","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","No","Yes","5'3","Strongly agree"
"2022/11/28 2:53:07 PM AST","2024","Female","Black;Hispanic","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","hm I don't know good question. Maybe somewhere in Ireland that's my current obsession of the week","Dog person","No","Yes","5'4","Strongly agree"
"2022/11/28 2:53:22 PM AST","2023","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, slightly more attractive","I would rather stay here","Dog person","No","Yes","5'3","Somewhat agree"
"2022/11/28 2:55:08 PM AST","2023","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Harvard","Cat person","Yes","Yes","6'3","Strongly agree"
"2022/11/28 2:56:13 PM AST","2024","Female","Hispanic;Native American/Alaska Native","Humanities/Arts","Yes, in a state other than Rhode Island","Prefer not to answer","stanford","Dog person","No","No","5'1","Strongly agree"
"2022/11/28 2:57:00 PM AST","2023","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Vanderbilt","Dog person","No","Yes","6'4","Unsure"
"2022/11/28 2:57:36 PM AST","2026","Female","Black","Humanities/Arts","No","Prefer not to answer","USC","Dog person","Prefer not to answer","Yes","5'3","Unsure"
"2022/11/28 2:58:59 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","No, slightly less attractive","MIT","Dog person","No","No","5'7","Somewhat agree"
"2022/11/28 2:59:57 PM AST","2025","Female","Hispanic;White","Humanities/Arts;Life Sciences","No","Prefer not to answer","Yale University","Cat person","Yes","Yes","5'6","Somewhat agree"
