"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","How old are you?","How has your political ideology changed since coming to Brown?","What do you think is the median household income in the U.S.?","To what extent do you agree with the following statement: 
Shared religious beliefs are important for a successful romantic relationship.","Do you want to get married?","Do you want to be a stay-at-home parent?","How many siblings do you have?","Check all that apply:","What is the maximum age of a person you would be in a romantic relationship with?","Have you ever been physically intimate with someone in a non-dorm Brown building?","Consider the following hypothetical scenario:
A runaway trolley is headed down a railway track. On its current path, it will run over and kill 5 people. If you pull a lever, you can divert its path to run over and kill 1 person instead.
What do you do?"
"2024/04/09 10:24:27 AM AST","2024","Non-binary","Black;White","Humanities/Arts;Social Sciences (including economics, CLPS)","21","I have become more liberal","80000","Somewhat disagree","Unsure","No","1","I have (a) younger sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:24:51 AM AST","2027","Man","Asian","Humanities/Arts;Life Sciences","20","My political ideology has not changed","55000","Somewhat disagree","No","I don't plan to be a parent","1","I have (a) younger sibling(s)","28","No","Unsure"
"2024/04/09 10:26:24 AM AST","2027","Woman","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","70000","Somewhat agree","Yes","Unsure","3","I am a twin or triplet;I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:27:30 AM AST","2027","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","19","My political ideology has not changed","70000","Somewhat agree","No","No","1","I have (an) older sibling(s)","21","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:29:06 AM AST","2027","Woman","Hispanic or Latino;White","Life Sciences","19","My political ideology has not changed","25000","Strongly disagree","Yes","No","2","I have (an) older sibling(s)","22","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:31:03 AM AST","2025","Woman","Black","Humanities/Arts","20","My political ideology has not changed","40000","Strongly agree","Yes","No","2","I have (an) older sibling(s)","24","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 10:32:01 AM AST","2027","Woman","Asian;White","Physical Sciences (including math, computer science)","18","My political ideology has not changed","","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","19","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:32:02 AM AST","2027","Man","Asian;White","Physical Sciences (including math, computer science)","18","I have become more conservative","50000","Strongly disagree","Yes","No","1","I have (an) older sibling(s)","19","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:35:31 AM AST","2027","Man","Black","Social Sciences (including economics, CLPS)","19","I have become more conservative","70000","Strongly disagree","Yes","Unsure","1","I have (a) younger sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:44:44 AM AST","2026","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","Unsure","60000","Somewhat agree","No","No","1","I have (a) younger sibling(s)","","No","Unsure"
"2024/04/09 10:45:48 AM AST","2025","Woman","Asian;White","Humanities/Arts","20","I have become more liberal","80000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","22","No","Unsure"
"2024/04/09 10:48:33 AM AST","2024","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","22","I have become more liberal","40000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:53:28 AM AST","2025","Man","White","Social Sciences (including economics, CLPS)","21","I have become more conservative","70000","Somewhat disagree","Unsure","Unsure","1","I have (a) younger sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:55:40 AM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","20","I have become more conservative","50000","Unsure","Yes","No","2","I have (a) younger sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:55:43 AM AST","2025","Woman;Non-binary","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","22","I have become more liberal","","Somewhat agree","Yes","No","0","I have no siblings","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:58:36 AM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","19","I have become more conservative","80000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","21","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 11:01:29 AM AST","2026","Prefer not to answer","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","19","I have become more liberal","60000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","23","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 11:01:52 AM AST","2025","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","21","My political ideology has not changed","45000","Somewhat agree","Yes","Unsure","1","I have (a) younger sibling(s)","24","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 11:04:48 AM AST","2025","Man","White","Physical Sciences (including math, computer science)","21","I have become more liberal","40000","Somewhat agree","Yes","Yes","1","I have (a) younger sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:06:21 AM AST","2027","Woman","White","Physical Sciences (including math, computer science)","18","I have become more conservative","","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 11:07:02 AM AST","2027","Woman","Hispanic or Latino","Physical Sciences (including math, computer science)","18","My political ideology has not changed","600000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:10:53 AM AST","2026.5","Man","Asian","Physical Sciences (including math, computer science)","19","Unsure","60000","Unsure","Yes","No","1","I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:10:55 AM AST","2026","Man","Middle Eastern or North African","Humanities/Arts;Physical Sciences (including math, computer science)","20","Unsure","60000","Unsure","Yes","No","1","I have (an) older sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:12:23 AM AST","2025","Woman","Hispanic or Latino","Humanities/Arts","21","I have become more liberal","50000","Somewhat disagree","Unsure","Yes","1","I have (a) younger sibling(s)","30","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:13:47 AM AST","2026","Woman","White","Humanities/Arts","22","I have become more liberal","40000","Somewhat agree","Unsure","No","1","I have (an) older sibling(s)","27","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:16:27 AM AST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","20","My political ideology has not changed","70000","Somewhat agree","Yes","No","3","I have (a) younger sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:21:29 AM AST","2024","Woman","Black","Humanities/Arts;Physical Sciences (including math, computer science)","22","I have become more liberal","85000","Strongly agree","Yes","Unsure","2","I have (an) older sibling(s);I have (a) younger sibling(s)","28","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:22:16 AM AST","2027","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","18","My political ideology has not changed","73000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","20","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:23:43 AM AST","2027","Woman","Black","Life Sciences","19","My political ideology has not changed","50000","Strongly agree","Yes","No","3","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:26:13 AM AST","2027","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","18","My political ideology has not changed","57000","Somewhat agree","Yes","No","3","I have (a) younger sibling(s)","21","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 11:29:30 AM AST","2027","Woman","White","Humanities/Arts","20","I have become more liberal","80000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:34:00 AM AST","2027","Man","White","Humanities/Arts","19","My political ideology has not changed","30000","Somewhat agree","Unsure","I don't plan to be a parent","2","I am a twin or triplet;I have (an) older sibling(s)","50","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 11:36:06 AM AST","2027","Man","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","19","My political ideology has not changed","40000","Strongly agree","Yes","Yes","2","I have (a) younger sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:38:07 AM AST","2027","Man","White","Social Sciences (including economics, CLPS)","18","I have become more conservative","47000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:39:59 AM AST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","I have become more conservative","35000","Somewhat disagree","Unsure","No","1","I have (a) younger sibling(s)","19","Yes","Unsure"
"2024/04/09 11:43:27 AM AST","2027","Man","White","Physical Sciences (including math, computer science)","19","I have become more liberal","80000","Strongly agree","Yes","I don't plan to be a parent","1","I have (an) older sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:44:13 AM AST","2025","Man","Black","Social Sciences (including economics, CLPS)","21","I have become more liberal","70000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:45:07 AM AST","2025","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","21","I have become more liberal","40000","Somewhat agree","Yes","Unsure","2","I have (a) younger sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:47:13 AM AST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","22","My political ideology has not changed","35000","Somewhat agree","Yes","Yes","1","I have (an) older sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:50:41 AM AST","2027","Woman","Asian","Social Sciences (including economics, CLPS)","18","My political ideology has not changed","73000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","20","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:51:03 AM AST","2024","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","22","I have become more liberal","110000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:51:20 AM AST","2027","Woman","Asian","Social Sciences (including economics, CLPS)","19","Unsure","80000","Somewhat agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:52:52 AM AST","2027","Non-binary","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","I have become more liberal","60000","Somewhat disagree","Unsure","I don't plan to be a parent","2","I have (an) older sibling(s);I have (a) younger sibling(s)","21","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:53:08 AM AST","2026","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","18","I have become more liberal","65000","Somewhat agree","Unsure","No","1","I have (a) younger sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:54:19 AM AST","2026","Woman","White","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","19","My political ideology has not changed","","Somewhat agree","Unsure","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 11:55:42 AM AST","2027","Woman","Black;Hispanic or Latino;White","Humanities/Arts","18","I have become more liberal","200000","Somewhat disagree","Unsure","No","2","I am a twin or triplet;I have (an) older sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:56:12 AM AST","2026","Woman","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","100","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:56:14 AM AST","2027","Woman","Hispanic or Latino;White","Physical Sciences (including math, computer science)","18","My political ideology has not changed","120000","Somewhat agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","20","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:57:53 AM AST","2027","Man","White","Humanities/Arts","19","My political ideology has not changed","37000","Somewhat disagree","Yes","Unsure","1","I have (an) older sibling(s)","26","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 11:58:32 AM AST","2027","Woman","White","Life Sciences","20","I have become more conservative","50000","Strongly agree","Yes","No","1","I have (a) younger sibling(s)","","No","Prefer not to answer"
"2024/04/09 12:02:24 PM AST","2025","Man","Asian","Life Sciences","21","I have become more liberal","200000","Somewhat disagree","Yes","No","1","I have (an) older sibling(s)","26","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:04:11 PM AST","2026","Man","Hispanic or Latino;Native American or Alaska Native","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","20","I have become more liberal","45000","Strongly agree","Yes","No","0","I have no siblings","22","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 12:08:40 PM AST","2026","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","20","My political ideology has not changed","60000","Somewhat agree","Yes","Unsure","1","I have (a) younger sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:10:01 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","20","My political ideology has not changed","60000","Somewhat agree","Unsure","Unsure","1","I have (an) older sibling(s)","27","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:12:30 PM AST","2027","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","19","My political ideology has not changed","65000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","22","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:13:22 PM AST","2027","Man","White","Life Sciences","18","I have become more liberal","54000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:13:45 PM AST","2027","Woman","Black","Social Sciences (including economics, CLPS)","18","I have become more liberal","50000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:17:11 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","20","I have become more conservative","68000","Somewhat agree","Yes","No","2","I have (a) younger sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:17:52 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","40000","Somewhat disagree","Unsure","No","2","I have (an) older sibling(s)","23","No","Prefer not to answer"
"2024/04/09 12:19:13 PM AST","2024","Man","White","Humanities/Arts","22","I have become more liberal","70000","Strongly disagree","Yes","Unsure","1","I have (an) older sibling(s)","28","Yes","Unsure"
"2024/04/09 12:20:28 PM AST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","22","I have become more liberal","60000","Somewhat disagree","Unsure","Unsure","4","I have (an) older sibling(s);I have (a) younger sibling(s)","27","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 12:22:34 PM AST","2024","Man","Asian","Physical Sciences (including math, computer science)","23","My political ideology has not changed","65000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","26","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:22:46 PM AST","2027","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","18","Prefer not to answer","50","Strongly agree","Yes","No","1","I have (a) younger sibling(s)","21","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 12:22:50 PM AST","2027","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","18","I have become more liberal","70000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","20","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:24:21 PM AST","2027","Man","Black","Life Sciences;Physical Sciences (including math, computer science)","17","My political ideology has not changed","80000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","18","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 12:25:32 PM AST","2024","Man","Black;White","Physical Sciences (including math, computer science)","22","I have become more liberal","130000","Unsure","Unsure","No","2","I am a twin or triplet","27","No","Prefer not to answer"
"2024/04/09 12:26:57 PM AST","2025","Non-binary","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","23","My political ideology has not changed","80000","Somewhat disagree","No","I don't plan to be a parent","0","I have no siblings","28","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:27:06 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","21","My political ideology has not changed","70000","Somewhat agree","Unsure","Yes","2","I have (a) younger sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:28:37 PM AST","2026","Non-binary","White","Humanities/Arts;Social Sciences (including economics, CLPS)","20","My political ideology has not changed","53000","Somewhat disagree","Unsure","No","3","I have (a) younger sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:32:52 PM AST","2027","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","19","I have become more liberal","55000","Strongly disagree","Unsure","No","1","I have (an) older sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:33:02 PM AST","2026","Woman","Asian;White","Humanities/Arts;Life Sciences","19","My political ideology has not changed","80000","Somewhat agree","No","No","1","I have (a) younger sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:35:09 PM AST","2026","Man","Asian","Life Sciences","19","I have become more liberal","90000","Somewhat disagree","Unsure","No","3","I have (an) older sibling(s);I have (a) younger sibling(s)","22","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:36:48 PM AST","2026","Woman","Hispanic or Latino;White","Humanities/Arts","19","I have become more liberal","54000","Somewhat agree","No","No","1","I have (an) older sibling(s)","27","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:37:36 PM AST","2026","Man","White","Social Sciences (including economics, CLPS)","19","I have become more liberal","54000","Somewhat disagree","Unsure","No","1","I have (a) younger sibling(s)","26","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 12:37:40 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","19","Unsure","50000","Strongly disagree","Yes","No","3","I have (an) older sibling(s);I have (a) younger sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:38:18 PM AST","2024","Woman","White","Humanities/Arts","21","I have become more liberal","38750","Strongly disagree","Yes","No","3","I have (a) younger sibling(s)","28","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:39:24 PM AST","2026","Man","White","Social Sciences (including economics, CLPS)","20","I have become more conservative","80000","Strongly agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","22","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:40:17 PM AST","2027","Man","White","Humanities/Arts","19","My political ideology has not changed","79000","Strongly disagree","Yes","Unsure","1","I have (an) older sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:41:19 PM AST","2027","Woman","White","Life Sciences","18","I have become more conservative","75000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","20","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:41:47 PM AST","2027","Woman","Black","Life Sciences","19","My political ideology has not changed","500000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:42:03 PM AST","2027","Man","Asian","Physical Sciences (including math, computer science)","18","My political ideology has not changed","80000","Somewhat agree","Unsure","I don't plan to be a parent","1","I have (a) younger sibling(s)","20","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:43:12 PM AST","2027","Man","White","Physical Sciences (including math, computer science)","19","My political ideology has not changed","38000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","22","Yes","Unsure"
"2024/04/09 12:44:30 PM AST","2024","Woman","Asian;White","Humanities/Arts","21","I have become more liberal","70000","Strongly disagree","Yes","Unsure","0","I have no siblings","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:45:26 PM AST","2024","Woman","Asian","Humanities/Arts","21","I have become more conservative","400000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:46:52 PM AST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","19","I have become more liberal","500000","Unsure","Unsure","Unsure","1","I have (a) younger sibling(s)","21","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:48:03 PM AST","2024","Man","White","Humanities/Arts","21","My political ideology has not changed","60000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:49:00 PM AST","2024","Woman","Asian;White","Social Sciences (including economics, CLPS)","22","I have become more liberal","66000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","25","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 12:51:09 PM AST","2027","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","18","My political ideology has not changed","80000","Somewhat disagree","Yes","No","1","I have (an) older sibling(s)","21","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 12:54:56 PM AST","2026","Woman","White","Life Sciences","19","I have become more liberal","60000","Somewhat disagree","Unsure","Unsure","2","I have (a) younger sibling(s)","22","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 12:56:49 PM AST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","20","Unsure","75000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 1:19:30 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","20","I have become more conservative","50000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 1:22:38 PM AST","2026","Woman","Middle Eastern or North African","Life Sciences;Physical Sciences (including math, computer science)","20","I have become more liberal","70000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s)","23","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 1:28:26 PM AST","2026","Woman","Asian;White","Physical Sciences (including math, computer science)","19","Unsure","80000","Somewhat disagree","Yes","No","1","I have (an) older sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 1:28:52 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","20","I have become more liberal","65000","Somewhat disagree","Yes","No","1","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 1:30:07 PM AST","2024","Woman","Middle Eastern or North African","Social Sciences (including economics, CLPS)","21","My political ideology has not changed","41000","Somewhat agree","Yes","Yes","1","I have (an) older sibling(s)","26","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 1:31:21 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","22","My political ideology has not changed","35000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","25","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 1:53:13 PM AST","2025","Man","White","Social Sciences (including economics, CLPS)","20","I have become more conservative","75000","Somewhat disagree","Yes","Unsure","0","I have no siblings","23","No","I would pull the lever, diverting the trolley’s path"
