"Timestamp","What is your current graduation year?","What is your (intended) concentration area(s)?","How would you describe your gender identity? Check all that apply.","Which of the following do you consider yourself to be?","How would you describe your race and ethnicity? Check all that apply.","Do you participate in athletics at Brown? Select all that apply.","How would you describe your political views?","Would you drop out of Brown for a million dollars? (You cannot enroll elsewhere)","To what extent do you agree with the following statement: Our country needs to reduce political correctness and cancel culture.","Which would you rather have guaranteed upon graduation?","Have you ever ended a friendship over a difference in political opinion?","Do you consider yourself neurodivergent?","How serious a problem do you think illegal immigration is for the United States right now?","To what extent do you agree with the following statement: I feel satisfied with my social experience at Brown.","Would you rather die now or live forever?"
"2024/11/19 10:30:28 AM EST","2025","Physical Sciences (including math, computer science)","Man","Bisexual","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Strongly disagree","Ideal romantic partner","Yes","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 10:30:29 AM EST","2026","Physical Sciences (including math, computer science)","Woman","Lesbian","White","No, I do not participate in varsity or club athletics","Liberal","No","Prefer not to answer","Dream job","Yes","No","Unsure","Strongly agree","Live forever"
"2024/11/19 10:32:17 AM EST","2028","Social Sciences (including economics, CLPS)","Woman","Straight","White","Yes, varsity athletics","Conservative","No","Somewhat agree","Dream job","No","Prefer not to answer","Very serious","Somewhat agree","Live forever"
"2024/11/19 10:32:18 AM EST","2028","Social Sciences (including economics, CLPS)","Woman","Straight","White","Yes, varsity athletics","Conservative","No","Prefer not to answer","Dream job","No","Prefer not to answer","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 10:34:18 AM EST","2026","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 10:36:40 AM EST","2025","Social Sciences (including economics, CLPS)","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","Yes","Not at all serious","Somewhat agree","Die now"
"2024/11/19 10:37:13 AM EST","2027","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Gay","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Prefer not to answer","Dream job","No","Unsure","Unsure","Somewhat agree","Live forever"
"2024/11/19 10:38:09 AM EST","2027","Humanities/Arts","Woman","Bisexual","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/19 10:39:20 AM EST","2026","Life Sciences","Woman","Straight","White","Yes, club athletics","Conservative","No","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 10:41:23 AM EST","2025","Humanities/Arts","Woman","Straight","Asian","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 10:43:30 AM EST","2025","Humanities/Arts","Man","Straight","Middle Eastern or North African;White","No, I do not participate in varsity or club athletics","Conservative","No","Strongly agree","Dream job","No","No","Very serious","Strongly agree","Live forever"
"2024/11/19 10:47:12 AM EST","2027","Life Sciences","Man","Straight","Prefer not to answer","Prefer not to answer","Prefer not to answer","No","Prefer not to answer","Dream job","No","Prefer not to answer","Prefer not to answer","Strongly agree","Prefer not to answer"
"2024/11/19 10:47:29 AM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 10:48:58 AM EST","2026","Physical Sciences (including math, computer science)","Woman","Straight","Black;White","Yes, club athletics","Very liberal","No","Strongly disagree","Dream job","Yes","No","Not too serious","Strongly agree","Die now"
"2024/11/19 10:49:27 AM EST","2027","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Unsure","Somewhat agree","Live forever"
"2024/11/19 10:51:43 AM EST","2026","Social Sciences (including economics, CLPS)","Woman","Bisexual","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Unsure","Somewhat agree","Live forever"
"2024/11/19 10:54:21 AM EST","2027","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 10:56:57 AM EST","2028","Life Sciences","Man","Bisexual","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 10:58:43 AM EST","2025","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat disagree","Dream job","Unsure","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 10:59:03 AM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","Asian;White","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 11:04:21 AM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 11:09:48 AM EST","2025","Life Sciences","Woman","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Ideal romantic partner","No","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/19 11:11:52 AM EST","2026","Physical Sciences (including math, computer science)","Woman","Bisexual","Native Hawaiian or Pacific Islander","Yes, varsity athletics","Liberal","Yes","Somewhat agree","Dream job","Yes","Yes","Not at all serious","Somewhat disagree","Live forever"
"2024/11/19 11:16:04 AM EST","2027.5","Humanities/Arts","Woman","Lesbian","Black","Yes, club athletics","Moderate","No","Somewhat agree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 11:18:18 AM EST","2026","Physical Sciences (including math, computer science)","Man","Questioning","Asian;White","Yes, club athletics","Liberal","No","Strongly agree","Ideal romantic partner","Unsure","Yes","Not too serious","Strongly agree","Live forever"
"2024/11/19 11:20:51 AM EST","2028","Social Sciences (including economics, CLPS)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","Yes","Somewhat serious","Somewhat disagree","Die now"
"2024/11/19 11:26:18 AM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","White","Yes, varsity athletics","Moderate","No","Somewhat agree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 11:29:41 AM EST","2026.5","Life Sciences;Physical Sciences (including math, computer science)","Man","Bisexual","Asian","Yes, club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","No","Yes","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 11:32:27 AM EST","2027","Physical Sciences (including math, computer science)","Man","Gay","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat disagree","Dream job","Unsure","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/19 11:35:22 AM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","Asian;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 11:40:39 AM EST","2028","Social Sciences (including economics, CLPS)","Woman","Straight","Asian","Yes, varsity athletics","Moderate","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat disagree","Live forever"
"2024/11/19 11:43:57 AM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","Hispanic or Latino","No, I do not participate in varsity or club athletics","Moderate","No","Strongly agree","Dream job","No","Unsure","Very serious","Somewhat agree","Die now"
"2024/11/19 11:45:49 AM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight;Questioning","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Unsure","Strongly agree","Live forever"
"2024/11/19 11:47:56 AM EST","2027","Physical Sciences (including math, computer science)","Woman","Bisexual","Asian","Yes, varsity athletics","Moderate","Yes","Somewhat agree","Dream job","Yes","No","Unsure","Somewhat agree","Live forever"
"2024/11/19 11:49:58 AM EST","2028","Life Sciences","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 11:51:08 AM EST","2028","Humanities/Arts;Life Sciences","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 11:52:48 AM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","White","Yes, club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","Unsure","Not too serious","Strongly agree","Prefer not to answer"
"2024/11/19 11:54:50 AM EST","2025","Life Sciences","Woman","Straight","Asian","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 11:56:38 AM EST","2025","Social Sciences (including economics, CLPS)","Woman","Bisexual","Asian;Hispanic or Latino","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Prefer not to answer","Yes","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 11:57:58 AM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Moderate","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 11:58:07 AM EST","2025","Physical Sciences (including math, computer science)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Moderate","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 11:58:09 AM EST","2025","Life Sciences","Man","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Yes","No","Not at all serious","Strongly agree","Die now"
"2024/11/19 12:03:51 PM EST","2027","Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 12:04:22 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Prefer not to answer","No","No","Not too serious","Somewhat agree",""
"2024/11/19 12:05:37 PM EST","2028","Humanities/Arts","Man","Gay","Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 12:05:41 PM EST","2026","Social Sciences (including economics, CLPS)","Woman","Bisexual;Asexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","Yes","Not too serious","Somewhat agree","Die now"
"2024/11/19 12:05:49 PM EST","2028","Humanities/Arts;Social Sciences (including economics, CLPS)","Woman","Bisexual","Asian","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Not too serious","Strongly agree","Die now"
"2024/11/19 12:07:14 PM EST","2028","Humanities/Arts","Man","Gay","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Yes","No","Not too serious","Strongly agree","Die now"
"2024/11/19 12:08:16 PM EST","2028","Humanities/Arts;Physical Sciences (including math, computer science)","Woman","Lesbian","Hispanic or Latino","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Die now"
"2024/11/19 12:08:37 PM EST","2028","Life Sciences","Woman","Queer","White","Yes, club athletics","Very liberal","No","Strongly agree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 12:09:33 PM EST","2025","Life Sciences","Woman","Bisexual","White;Prefer not to answer","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat disagree","Dream job","No","No","Not too serious","Strongly agree","Die now"
"2024/11/19 12:10:13 PM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 12:10:48 PM EST","2027","Physical Sciences (including math, computer science)","Man","Gay;Bisexual;Queer","Black","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly disagree","Dream job","Yes","Unsure","Not at all serious","Somewhat disagree","Live forever"
"2024/11/19 12:11:09 PM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Bisexual","Asian","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","Yes","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 12:12:14 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Somewhat serious","Somewhat agree","Prefer not to answer"
"2024/11/19 12:12:19 PM EST","2025","Physical Sciences (including math, computer science)","Non-binary","Bisexual;Queer","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Dream job","No","Unsure","Not at all serious","Strongly agree","Live forever"
"2024/11/19 12:12:40 PM EST","2028","Social Sciences (including economics, CLPS)","Man","Straight","Middle Eastern or North African;White","Yes, club athletics","Moderate","No","Somewhat disagree","Dream job","Yes","Unsure","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 12:14:21 PM EST","2028","Humanities/Arts","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 12:15:42 PM EST","2026","Physical Sciences (including math, computer science)","Woman","Lesbian","White","Yes, club athletics","Liberal","No","Prefer not to answer","Dream job","Unsure","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 12:15:48 PM EST","2026","Social Sciences (including economics, CLPS)","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","No","No","Not at all serious","Somewhat agree","Die now"
"2024/11/19 12:17:29 PM EST","2026","Humanities/Arts;Physical Sciences (including math, computer science)","Woman","Questioning","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","Unsure","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 12:19:28 PM EST","2025.5","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 12:19:36 PM EST","2025.5","Social Sciences (including economics, CLPS)","Man","Gay","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Strongly agree","Die now"
"2024/11/19 12:21:26 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Queer","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly agree","Dream job","No","Yes","Not too serious","Somewhat agree","Live forever"
"2024/11/19 12:21:29 PM EST","2027","Humanities/Arts;Life Sciences","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Ideal romantic partner","Yes","No","Not too serious","Somewhat disagree","Live forever"
"2024/11/19 12:22:41 PM EST","2027","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Gay","Hispanic or Latino","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly disagree","Ideal romantic partner","Yes","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 12:22:47 PM EST","2028","Life Sciences","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Yes","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 12:24:19 PM EST","2027","Life Sciences","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","Yes","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 12:28:14 PM EST","2024.5","Humanities/Arts","Man","Gay;Bisexual;Queer","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","Unsure","No","Not too serious","Somewhat disagree","Live forever"
"2024/11/19 12:28:25 PM EST","2028","Humanities/Arts","Woman","Straight","White","Prefer not to answer","Liberal","Yes","Somewhat agree","Dream job","Yes","No","Unsure","Unsure","Prefer not to answer"
"2024/11/19 12:30:35 PM EST","2027","Life Sciences","Woman","Straight","White","No, I do not participate in varsity or club athletics","Moderate","No","Strongly agree","Ideal romantic partner","Yes","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 12:31:41 PM EST","2026","Humanities/Arts;Social Sciences (including economics, CLPS)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Prefer not to answer","No","Strongly agree","Dream job","Unsure","No","Unsure","Somewhat agree","Live forever"
"2024/11/19 12:34:09 PM EST","2028","Humanities/Arts;Social Sciences (including economics, CLPS)","Man","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Yes","No","Very serious","Somewhat agree","Die now"
"2024/11/19 12:34:22 PM EST","2028","Life Sciences","Man","Gay","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","Unsure","Unsure","Somewhat serious","Somewhat agree","Die now"
"2024/11/19 12:35:16 PM EST","2028","Life Sciences","Woman","Straight","White","Yes, club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 12:36:29 PM EST","2028","Life Sciences;Physical Sciences (including math, computer science)","Woman","Straight","Asian","Yes, club athletics","Liberal","Yes","Somewhat agree","Dream job","Unsure","Unsure","Not too serious","Somewhat agree","Live forever"
"2024/11/19 12:38:43 PM EST","2027","Social Sciences (including economics, CLPS)","Man","Straight","White","Yes, club athletics","Very liberal","Yes","Somewhat disagree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/19 12:39:23 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","Hispanic or Latino;Middle Eastern or North African;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 12:43:22 PM EST","2028","Social Sciences (including economics, CLPS)","Man","Straight","Black","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 12:45:07 PM EST","2027","Humanities/Arts","Woman","Queer","White","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly agree","Dream job","No","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/19 12:46:52 PM EST","2028","Humanities/Arts;Life Sciences","Woman","Questioning","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Somewhat serious","Somewhat disagree","Die now"
"2024/11/19 12:48:05 PM EST","2028","Life Sciences","Man","Straight","Asian","Yes, club athletics","Very liberal","No","Strongly disagree","Ideal romantic partner","Unsure","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/19 12:48:13 PM EST","2025","Humanities/Arts;Social Sciences (including economics, CLPS)","Non-binary","Bisexual;Queer","Asian","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Dream job","No","Yes","Not at all serious","Strongly agree","Live forever"
"2024/11/19 12:50:29 PM EST","2028","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Straight","White","Yes, varsity athletics","Conservative","Yes","Strongly agree","Ideal romantic partner","No","No","Very serious","Somewhat agree","Die now"
"2024/11/19 12:51:50 PM EST","2028","Physical Sciences (including math, computer science)","Non-binary","Gay;Queer;Questioning","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","Unsure","Not at all serious","Somewhat disagree","Live forever"
"2024/11/19 12:52:15 PM EST","2026","Humanities/Arts","Woman","Prefer not to answer","Black","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly disagree","Ideal romantic partner","No","Yes","Not too serious","Somewhat agree","Die now"
"2024/11/19 12:54:44 PM EST","2028","Humanities/Arts;Life Sciences","Man","Gay","Asian","Yes, club athletics","Very liberal","No","Somewhat disagree","Dream job","Yes","Yes","Not at all serious","Somewhat agree","Die now"
"2024/11/19 12:55:06 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Straight","Black","Yes, club athletics","Moderate","Yes","Somewhat disagree","Dream job","Unsure","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 12:55:41 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","Yes","Unsure","Somewhat agree","Live forever"
"2024/11/19 12:56:55 PM EST","2025","Humanities/Arts;Life Sciences","Woman","Questioning","Asian;White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Strongly disagree","Ideal romantic partner","Yes","Unsure","Very serious","Strongly agree","Live forever"
"2024/11/19 12:59:00 PM EST","2025","Life Sciences","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 12:59:25 PM EST","2027","Physical Sciences (including math, computer science)","Man","Straight","Black","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly disagree","Dream job","Yes","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 1:01:41 PM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","White","Yes, club athletics","Very liberal","Prefer not to answer","Somewhat disagree","Ideal romantic partner","Unsure","No","Unsure","Strongly agree","Prefer not to answer"
"2024/11/19 1:05:00 PM EST","2028","Life Sciences","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 1:07:13 PM EST","2025","Physical Sciences (including math, computer science)","Non-binary","Lesbian;Queer","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","Unsure","Unsure","Not too serious","Strongly agree","Live forever"
"2024/11/19 1:07:48 PM EST","2028","Social Sciences (including economics, CLPS)","Woman","Bisexual","Black","No, I do not participate in varsity or club athletics","Very liberal","Yes","Strongly disagree","Ideal romantic partner","Yes","No","Not at all serious","Strongly agree","Die now"
"2024/11/19 1:08:11 PM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","Unsure","Unsure","Strongly agree","Die now"
"2024/11/19 1:11:15 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Questioning","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not at all serious","Somewhat disagree","Die now"
