"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Did you attend a public or private high school?","How has your political ideology changed since coming to Brown?","During the semester, how many hours of sleep do you get per night on average?","Do you think ""cancel culture"" is an effective way to hold people accountable for their actions?","Have you ever used ChatGPT to assist with a class assignment?","Do you support the right to own guns in the United States?","Do you feel like you fit in at Brown?","Have you ever been rejected from a club or student organization at Brown?","Do you think you have better social skills than the average Brown student?","In your experience, were classes at your high school or at Brown more challenging?","Have you ever used a dating app while at Brown?"
"2023/03/01 11:14:48 AM AST","2026","Female","White","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","8","No","No, but I know what ChatGPT is","No","Yes","No","Yes, significantly better","Classes at Brown are more challenging","Yes"
"2023/03/01 11:16:39 AM AST","2025","Male","Asian","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","8","Yes","Yes","No","Yes","Yes","Yes, significantly better","Classes at Brown are more challenging","No"
"2023/03/01 11:17:35 AM AST","2023","Female","Black","Social Sciences (including economics, CLPS)","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","No","Yes","No","Yes, significantly better","Classes at Brown are more challenging","Yes"
"2023/03/01 11:19:16 AM AST","2024","Male","Black","Humanities/Arts;Life Sciences","Private","I have become more liberal","6","No","No, but I know what ChatGPT is","No","Unsure","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 11:19:33 AM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","Yes","No","No","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 11:20:08 AM AST","2025","Male","Asian","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","7","No","Yes","No","Yes","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 11:20:25 AM AST","2025","Male","Asian","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","4 or less","No","Yes","No","No","Yes","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 11:29:27 AM AST","2026","Male","White","Humanities/Arts;Physical Sciences (including math, computer science)","Private","My political ideology has not changed","7","Unsure","Yes","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 11:31:24 AM AST","2026","Male","White","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","7","Unsure","No, but I know what ChatGPT is","Yes","Unsure","No","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 11:35:01 AM AST","2023","Male","Asian","Life Sciences","Public","I have become more liberal","7","No","Yes","No","Unsure","Yes","No, slightly worse","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 11:38:20 AM AST","2024","Female","White","Social Sciences (including economics, CLPS)","Private","I have become more liberal","6","Unsure","No, but I know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","Prefer not to answer"
"2023/03/01 11:40:14 AM AST","2024","Female","White","Social Sciences (including economics, CLPS)","Public","I have become more liberal","6","No","No, but I know what ChatGPT is","Unsure","Yes","No","Yes, significantly better","Classes at Brown are more challenging","No"
"2023/03/01 11:40:14 AM AST","2023.5","Male","White","Life Sciences","Public","I have become more liberal","6","No","No, but I know what ChatGPT is","Yes","No","Yes","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 11:41:58 AM AST","2026","Female","White","Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","7","Unsure","No, but I know what ChatGPT is","No","Yes","Yes","Yes, slightly better","Classes at my high school were more challenging","No"
"2023/03/01 11:43:57 AM AST","2026","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","7","Unsure","No, but I know what ChatGPT is","Yes","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 11:47:07 AM AST","2025","Male","White","Social Sciences (including economics, CLPS)","Public","I have become more conservative","8","No","No, but I know what ChatGPT is","No","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 11:48:48 AM AST","2024","Male","White","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","I have become more conservative","8","No","Yes","Unsure","Yes","Yes","Yes, slightly better","Classes at my high school were more challenging","Yes"
"2023/03/01 11:49:15 AM AST","2023","Female","Asian","Social Sciences (including economics, CLPS)","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","No","Yes","Yes","No, slightly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 11:50:37 AM AST","2026","Female","White","Humanities/Arts","Private","My political ideology has not changed","7","Unsure","Yes","No","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 11:53:01 AM AST","2025","Male","Prefer not to answer","Life Sciences","Private","My political ideology has not changed","7","Unsure","Yes","Unsure","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 11:54:01 AM AST","2025","Female","Black","Humanities/Arts;Physical Sciences (including math, computer science)","Private","I have become more liberal","6","Unsure","Yes","No","Yes","Yes","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 11:54:05 AM AST","2026","Non-binary","White","Humanities/Arts","Public","My political ideology has not changed","5","No","No, but I know what ChatGPT is","No","Yes","Yes","Yes, slightly better","Classes at my high school were more challenging","Yes"
"2023/03/01 11:55:33 AM AST","2024","Non-binary","Middle Eastern or North African;White","Humanities/Arts;Physical Sciences (including math, computer science)","Private","My political ideology has not changed","7","No","No, but I know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at my high school were more challenging","No"
"2023/03/01 11:55:41 AM AST","2023","Male","White","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","7","Unsure","No, but I know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 11:56:54 AM AST","2026","Male","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","7","No","Yes","No","Yes","Yes","Yes, slightly better","Classes at my high school were more challenging","No"
"2023/03/01 11:58:40 AM AST","2026","Female","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","9","No","No, but I know what ChatGPT is","Unsure","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 11:59:10 AM AST","2026","Male","Hispanic","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","8","No","No, but I know what ChatGPT is","Yes","No","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 12:28:49 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","8","No","Yes","No","Yes","No","Yes, significantly better","Classes at my high school were more challenging","Yes"
"2023/03/01 12:34:29 PM AST","2024","Female","Asian","Life Sciences","Public","My political ideology has not changed","7","No","No, but I know what ChatGPT is","No","Unsure","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 12:37:53 PM AST","2024","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","7","No","No, and I don't know what ChatGPT is","No","Yes","Yes","Yes, significantly better","Classes at Brown are more challenging","Yes"
"2023/03/01 12:44:23 PM AST","2024","Female","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","6","No","Yes","No","Unsure","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 12:47:27 PM AST","2026","Male","Asian","Life Sciences;Physical Sciences (including math, computer science)","Public","My political ideology has not changed","6","No","No, but I know what ChatGPT is","Unsure","Yes","Yes","Yes, slightly better","Classes at my high school were more challenging","No"
"2023/03/01 1:00:55 PM AST","2026","Female","Asian;Hispanic;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","I have become more conservative","5","No","Yes","No","No","No","Yes, significantly better","Classes at Brown are more challenging","Yes"
"2023/03/01 1:02:43 PM AST","2026","Female","Asian","Physical Sciences (including math, computer science)","Private","I have become more liberal","8","No","No, but I know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 1:06:07 PM AST","2024","Female","Asian","Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","7","No","No, but I know what ChatGPT is","Yes","Yes","No","Yes, slightly better","Classes at my high school were more challenging","Yes"
"2023/03/01 1:11:11 PM AST","2023","Female","White","Humanities/Arts","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","No","Yes","Prefer not to answer","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 1:13:55 PM AST","2024","Female","Native American or Alaska Native;White","Humanities/Arts","Public","I have become more liberal","7","Prefer not to answer","No, but I know what ChatGPT is","Yes","Yes","Prefer not to answer","Yes, significantly better","Classes at Brown are more challenging","Yes"
"2023/03/01 1:16:13 PM AST","2026","Female","Black","Social Sciences (including economics, CLPS)","Private","I have become more liberal","8","Unsure","No, but I know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 1:18:27 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","9","Yes","No, but I know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 1:20:24 PM AST","2024","Female","Asian","Humanities/Arts;Life Sciences","Private","My political ideology has not changed","8","Yes","Yes","No","Yes","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 1:23:55 PM AST","2025","Male","Asian;White","Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","7","No","Yes","Unsure","Yes","No","Prefer not to answer","Classes at Brown are more challenging","No"
"2023/03/01 1:25:40 PM AST","2025","Female","White","Life Sciences","Public","My political ideology has not changed","7","No","No, but I know what ChatGPT is","Unsure","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 1:28:47 PM AST","2024","Female","White","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","No","No, but I know what ChatGPT is","No","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 1:29:38 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","7","No","Yes","No","Unsure","Yes","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 1:31:20 PM AST","2025","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","Unsure","Yes","No","Unsure","Yes","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 1:32:11 PM AST","2023","Male","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","No","Yes","No","Unsure","Yes","No, significantly worse","Classes at Brown are more challenging","No"
"2023/03/01 1:33:58 PM AST","2026","Female","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","5","No","No, but I know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 1:35:24 PM AST","2024","Male","White","Life Sciences;Physical Sciences (including math, computer science)","Private","My political ideology has not changed","8","No","Yes","Unsure","Yes","Yes","No, significantly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 1:37:32 PM AST","2023","Male","White","Humanities/Arts","Public","My political ideology has not changed","8","No","Yes","No","Yes","Yes","Yes, significantly better","Classes at my high school were more challenging","Yes"
"2023/03/01 1:38:36 PM AST","2023","Female","White","Physical Sciences (including math, computer science)","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","No","Yes","Yes","No, slightly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 1:43:35 PM AST","2024","Prefer not to answer","Asian","Humanities/Arts","Public","I have become more liberal","9","No","No, but I know what ChatGPT is","Unsure","Yes","Yes","Prefer not to answer","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 1:45:29 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Public","I have become more liberal","6","Yes","No, but I know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at my high school were more challenging","Yes"
"2023/03/01 1:46:40 PM AST","2024","Male","Asian","Life Sciences;Physical Sciences (including math, computer science)","Private","I have become more liberal","7","No","Yes","No","Yes","Yes","Yes, slightly better","Classes at my high school were more challenging","No"
"2023/03/01 1:48:37 PM AST","2026","Female","Asian","Life Sciences;Physical Sciences (including math, computer science)","Public","My political ideology has not changed","6","Unsure","Yes","No","Yes","No","No, slightly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 1:50:07 PM AST","2024","Male","Asian;White","Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","7","No","No, and I don't know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 1:51:32 PM AST","2026","Male","Hispanic","Life Sciences","Public","I have become more conservative","11","No","No, but I know what ChatGPT is","Unsure","Unsure","No","Yes, slightly better","Classes at my high school were more challenging","Yes"
"2023/03/01 1:52:56 PM AST","2026","Male","Hispanic","Life Sciences;Physical Sciences (including math, computer science)","Public","My political ideology has not changed","8","Unsure","Yes","Yes","Yes","No","Yes, slightly better","Classes at my high school were more challenging","No"
"2023/03/01 1:54:42 PM AST","2026","Female","Asian","Life Sciences","Public","My political ideology has not changed","7","No","No, but I know what ChatGPT is","Unsure","Yes","No","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 1:55:59 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","8","No","No, but I know what ChatGPT is","Prefer not to answer","Unsure","Yes","Yes, slightly better","Classes at my high school were more challenging","No"
"2023/03/01 1:57:38 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","5","No","Yes","Yes","Yes","Yes","No, slightly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 1:59:28 PM AST","2026","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","8","No","No, but I know what ChatGPT is","No","Unsure","No","No, slightly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 2:00:34 PM AST","2024","Female","Hispanic;White","Life Sciences","Public","I have become more liberal","6","No","No, but I know what ChatGPT is","Yes","Yes","No","Prefer not to answer","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:01:44 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Private","I have become more conservative","7","No","No, but I know what ChatGPT is","Yes","Yes","Yes","No, slightly worse","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 2:04:49 PM AST","2025","Female","Asian","Social Sciences (including economics, CLPS)","Private","I have become more liberal","6","Unsure","Prefer not to answer","No","Yes","Yes","Yes, significantly better","Classes at my high school were more challenging","Prefer not to answer"
"2023/03/01 2:06:04 PM AST","2025","Male","Asian;White","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","5","No","Yes","Yes","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 2:06:09 PM AST","2025","Female","Hispanic","Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","6","Yes","No, and I don't know what ChatGPT is","Yes","Yes","No","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 2:07:23 PM AST","2025","Male","Asian;White","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","No","Yes","Unsure","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 2:08:53 PM AST","2025","Non-binary","White","Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","6","No","Yes","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 2:08:56 PM AST","2025","Non-binary","Black","Life Sciences","Private","My political ideology has not changed","7","No","No, but I know what ChatGPT is","Yes","Yes","No","Yes, significantly better","Classes at Brown are more challenging","Yes"
"2023/03/01 2:09:45 PM AST","2025","Female","Asian","Humanities/Arts","Private","I have become more liberal","7","Unsure","No, but I know what ChatGPT is","No","Yes","No","Prefer not to answer","Classes at my high school were more challenging","Yes"
"2023/03/01 2:10:11 PM AST","2025","Female","Hispanic","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","8","No","No, and I don't know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at my high school were more challenging","Yes"
"2023/03/01 2:10:50 PM AST","2025","Female","White","Physical Sciences (including math, computer science)","Private","I have become more liberal","7","No","No, but I know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 2:11:16 PM AST","2025","Female","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Private","My political ideology has not changed","7","No","No, but I know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:11:23 PM AST","2026","Female","Asian;White","Humanities/Arts;Life Sciences","Public","My political ideology has not changed","6","No","No, but I know what ChatGPT is","No","Yes","Yes","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:11:48 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","7","Yes","No, but I know what ChatGPT is","No","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 2:13:45 PM AST","2023","Male","Black;White","Life Sciences","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","Unsure","No","No","No, slightly worse","Classes at my high school were more challenging","No"
"2023/03/01 2:13:55 PM AST","2025","Male","Middle Eastern or North African;White","Life Sciences;Social Sciences (including economics, CLPS)","Private","I have become more conservative","7","No","No, but I know what ChatGPT is","No","Unsure","Yes","Yes, significantly better","Classes at my high school were more challenging","Yes"
"2023/03/01 2:15:39 PM AST","2026","Female","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Private","I have become more conservative","8","Unsure","No, but I know what ChatGPT is","No","Unsure","No","Yes, slightly better","Classes at my high school were more challenging","Yes"
"2023/03/01 2:16:08 PM AST","2025","Female","Asian","Life Sciences","Public","My political ideology has not changed","8","No","No, but I know what ChatGPT is","Yes","Unsure","Yes","Yes, significantly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:17:23 PM AST","2023","Male","Hispanic;White","Physical Sciences (including math, computer science)","Private","I have become more liberal","7","No","Yes","No","Yes","Yes","No, slightly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 2:17:28 PM AST","2024","Female","Hispanic;White","Life Sciences","Private","I have become more liberal","6","No","No, but I know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 2:18:37 PM AST","2023","Female","Middle Eastern or North African","Life Sciences;Social Sciences (including economics, CLPS)","Private","I have become more liberal","7","No","No, but I know what ChatGPT is","No","Yes","Yes","Yes, significantly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:20:57 PM AST","2024","Non-binary","Asian","Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","8","Unsure","No, but I know what ChatGPT is","Yes","Yes","No","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 2:23:30 PM AST","2026","Female","Prefer not to answer","Life Sciences","Public","My political ideology has not changed","6","Unsure","Yes","Unsure","Unsure","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:23:38 PM AST","2026","Female","Asian","Life Sciences;Physical Sciences (including math, computer science)","Public","I have become more liberal","8","Unsure","No, but I know what ChatGPT is","No","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 2:23:53 PM AST","2026","Female","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","Unsure","Yes","No","Yes","Yes","Yes, significantly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:27:06 PM AST","2025","Male","Asian","Life Sciences","Private","I have become more liberal","8","No","No, but I know what ChatGPT is","No","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 2:27:16 PM AST","2025","Male","Asian;Black","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","8","No","No, but I know what ChatGPT is","No","Yes","Yes","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 2:27:29 PM AST","2025","Male","Asian","Life Sciences;Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","No","Yes","Yes","Unsure","No","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 2:30:56 PM AST","2026","Female","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","7","Unsure","Yes","Yes","Yes","Yes","No, slightly worse","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 2:31:06 PM AST","2025","Male","Black","Life Sciences","Public","My political ideology has not changed","8","Unsure","No, but I know what ChatGPT is","No","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 2:32:30 PM AST","2026","Male","Black","Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","6","No","No, and I don't know what ChatGPT is","Unsure","Yes","No","Prefer not to answer","Classes at Brown are more challenging","No"
"2023/03/01 2:34:33 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","Unsure","No, but I know what ChatGPT is","Yes","Unsure","No","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:34:51 PM AST","2024","Female","White","Humanities/Arts;Life Sciences","Private","I have become more liberal","7","Yes","No, but I know what ChatGPT is","No","Yes","No","Yes, significantly better","Classes at my high school and at Brown have been equally challenging","Yes"
"2023/03/01 2:37:33 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Public","I have become more conservative","5","No","No, but I know what ChatGPT is","Yes","Unsure","No","No, significantly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:40:52 PM AST","2023","Female","Asian","Social Sciences (including economics, CLPS)","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","No","Yes","No","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 2:41:07 PM AST","2024","Female","Asian","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","7","No","No, but I know what ChatGPT is","Unsure","Yes","No","Yes, slightly better","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:42:16 PM AST","2024","Female","Black","Humanities/Arts","Private","My political ideology has not changed","6","Unsure","No, but I know what ChatGPT is","No","Yes","Yes","Yes, significantly better","Classes at my high school were more challenging","Yes"
"2023/03/01 2:42:47 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Public","My political ideology has not changed","5","Yes","Yes","No","Yes","Yes","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 2:44:30 PM AST","2025","Female","Black","Humanities/Arts","Public","My political ideology has not changed","6","Unsure","No, but I know what ChatGPT is","Yes","Yes","Yes","No, slightly worse","Classes at Brown are more challenging","Yes"
"2023/03/01 2:45:31 PM AST","2026","Female","Black;White","Physical Sciences (including math, computer science)","Public","I have become more liberal","7","No","Yes","No","No","No","Yes, slightly better","Classes at Brown are more challenging","Yes"
"2023/03/01 2:46:59 PM AST","2023","Male","Asian","Physical Sciences (including math, computer science)","Private","My political ideology has not changed","8","Yes","Yes","No","Yes","Yes","Yes, significantly better","Classes at my high school were more challenging","Yes"
"2023/03/01 2:47:04 PM AST","2026","Male","Hispanic;White","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Private","I have become more liberal","5","Unsure","Yes","No","Yes","No","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 2:48:16 PM AST","2025","Male","Asian","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","Unsure","Yes","Yes","Yes","Yes","No, slightly worse","Classes at my high school and at Brown have been equally challenging","No"
"2023/03/01 2:48:23 PM AST","2023","Male","White","Humanities/Arts","Public","I have become more liberal","7","No","No, but I know what ChatGPT is","Unsure","Yes","Yes","Yes, significantly better","Classes at my high school were more challenging","Yes"
"2023/03/01 2:49:10 PM AST","2026","Male","White","Humanities/Arts;Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","Unsure","No, but I know what ChatGPT is","Unsure","Yes","No","Yes, slightly better","Classes at Brown are more challenging","No"
"2023/03/01 2:49:16 PM AST","2026","Female","White","Physical Sciences (including math, computer science)","Public","My political ideology has not changed","7","Unsure","Yes","No","Unsure","No","No, slightly worse","Classes at Brown are more challenging","No"
"2023/03/01 2:51:16 PM AST","2023","Female","Asian","Humanities/Arts","Private","I have become more liberal","8","No","Yes","No","Yes","Yes","Yes, slightly better","Classes at Brown are more challenging","Yes"
