"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Do you participate in athletics at Brown? Select all that apply.","To what extent are you informed about the Israel-Hamas War?","To what extent do you think the average Brown student is informed about the Israel-Hamas War?","Which of the following statements do you most agree with?","Have you ever considered transferring from Brown to another undergraduate institution? ","Do you have access to a credit or debit card that is paid for by a parent/guardian?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my religion on Brown’s campus.","Which of the following statements comes closest to your view?","How likely are you to donate money to Brown University or an affiliated organization in the future?","Would you date a first-year student at Brown?"
"2023/10/17 10:45:26 AM AST","2025","Male","Asian;White","Physical Sciences (including math, computer science)","Yes, club athletics;Yes, intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 10:48:28 AM AST","2024","Male","Asian;Black","Physical Sciences (including math, computer science)","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","Unsure","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 10:51:59 AM AST","2025","Male","Hispanic","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat informed","The United States of America is not in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Unsure"
"2023/10/17 10:55:58 AM AST","2025","Female","Middle Eastern or North African","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","Unsure","No","No","Somewhat disagree","Unsure","Very unlikely","No"
"2023/10/17 11:00:18 AM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Very informed","Somewhat uninformed","Unsure","No","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","No"
"2023/10/17 11:00:40 AM AST","2025","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","No","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 11:01:22 AM AST","2024","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","No"
"2023/10/17 11:04:10 AM AST","2024","Female","Prefer not to answer","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Very informed","Somewhat uninformed","The United States of America is not in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:05:43 AM AST","2027","Female","Black","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"2023/10/17 11:06:07 AM AST","2026","Female","Middle Eastern or North African","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:06:47 AM AST","2027","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Unsure","Somewhat unlikely","Yes"
"2023/10/17 11:07:30 AM AST","2025","Female","Asian","Humanities/Arts;Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Unsure"
"2023/10/17 11:08:27 AM AST","2025","Female","White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Very uninformed","The United States of America is not in decline","Yes","Prefer not to answer","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","No"
"2023/10/17 11:08:45 AM AST","2027","Male","Black;Hispanic","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Very informed","Very informed","The United States of America is in decline","Yes","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 11:10:06 AM AST","2025","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:11:51 AM AST","2027","Male","Hispanic;White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 11:14:54 AM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","Strongly agree","Prefer not to answer","Somewhat likely","Yes"
"2023/10/17 11:15:54 AM AST","2026","Female","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","No","Yes","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/17 11:19:15 AM AST","2027","Female","White","Social Sciences (including economics, CLPS)","Yes, varsity athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 11:19:30 AM AST","2027","Male","Hispanic;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
"2023/10/17 11:22:11 AM AST","2026","Male","Hispanic","Life Sciences;Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:23:02 AM AST","2026","Female","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 11:23:25 AM AST","2027","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 11:25:34 AM AST","2026","Male","White","Life Sciences","Yes, club athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","Somewhat disagree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Unsure"
"2023/10/17 11:27:13 AM AST","2024","Male","Asian","Physical Sciences (including math, computer science)","Yes, intramural athletics","Very informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 11:29:20 AM AST","2027","Female","Black","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very informed","Very uninformed","Prefer not to answer","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 11:31:49 AM AST","2027","Female","Middle Eastern or North African","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very informed","Very uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 11:32:18 AM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","Yes","Yes","I do not actively practice a religion","Unsure","Somewhat unlikely","Unsure"
"2023/10/17 11:32:36 AM AST","2024","Female","Hispanic","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 11:32:41 AM AST","2026","Male","Asian","Life Sciences;Physical Sciences (including math, computer science)","Yes, club athletics","Very uninformed","Somewhat uninformed","Unsure","No","Prefer not to answer","I do not actively practice a religion","Unsure","Unsure","Unsure"
"2023/10/17 11:34:32 AM AST","2024","Male","Black;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:35:04 AM AST","2024","Female","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 11:35:51 AM AST","2027","Male","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","Unsure","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
"2023/10/17 11:35:55 AM AST","2027","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:37:48 AM AST","2024","Male","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","Unsure","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 11:39:21 AM AST","2027","Male","White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Unsure"
"2023/10/17 11:39:30 AM AST","2025","Female","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 11:39:40 AM AST","2025","Female","Black","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 11:40:39 AM AST","2025","Female","Hispanic;White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","Yes","Somewhat agree","Unsure","Somewhat likely","No"
"2023/10/17 11:42:44 AM AST","2025","Non-binary","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat uninformed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:44:26 AM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Unsure","Somewhat unlikely","No"
"2023/10/17 11:44:36 AM AST","2025","Male","Black;White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","No","I do not actively practice a religion","Unsure","Somewhat unlikely","Unsure"
"2023/10/17 11:45:06 AM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Unsure"
"2023/10/17 11:45:32 AM AST","2026","Female","Asian","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat uninformed","Unsure","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 11:46:46 AM AST","2024","Female","White","Humanities/Arts;Life Sciences","Yes, club athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 11:48:22 AM AST","2026","Female","Hispanic;White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is not in decline","No","Yes","Somewhat agree","Unsure","Very likely","Unsure"
"2023/10/17 11:50:44 AM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 11:51:13 AM AST","2025","Female","Hispanic","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","Yes","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 11:51:16 AM AST","2026","Female","Middle Eastern or North African","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very informed","Very uninformed","The United States of America is not in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 11:52:30 AM AST","2027","Male","White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Very informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 11:52:34 AM AST","2027","Male","White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Very uninformed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 11:53:41 AM AST","2027","Female","White","Life Sciences","Yes, varsity athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 11:54:30 AM AST","2027","Male","Hispanic;White","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 11:55:07 AM AST","2025","Male","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 11:55:52 AM AST","2025","Female","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Very uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Unsure"
"2023/10/17 11:56:01 AM AST","2025","Male","White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is not in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 11:56:08 AM AST","2025","Male","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 11:56:34 AM AST","2025","Female","Asian;Native Hawaiian or Pacific Islander;White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 11:57:04 AM AST","2026","Male","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","Strongly agree","Unsure","Somewhat likely","No"
"2023/10/17 11:58:07 AM AST","2026","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is not in decline","No","No","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 11:58:19 AM AST","2024","Male","White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Unsure"
"2023/10/17 11:59:08 AM AST","2026","Female","Asian","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Unsure"
"2023/10/17 11:59:57 AM AST","2024","Female","Asian;White","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 12:00:04 PM AST","2024","Female","White","Life Sciences","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 12:01:55 PM AST","2025","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","Yes","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 12:02:03 PM AST","2025","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","No","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 12:02:24 PM AST","2024","Female","Middle Eastern or North African;White","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 12:03:24 PM AST","2024","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","Unsure","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 12:05:15 PM AST","2023.5","Non-binary","Prefer not to answer","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","No","No","Somewhat disagree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 12:06:26 PM AST","2026","Questioning","Black","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 12:06:30 PM AST","2027","Female","Asian","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Unsure"
"2023/10/17 12:06:40 PM AST","2027","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Unsure","Somewhat likely","Yes"
"2023/10/17 12:07:24 PM AST","2027","Male","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Very uninformed","The United States of America is in decline","No","No","Somewhat agree","Unsure","Very unlikely","Yes"
"2023/10/17 12:09:34 PM AST","2026","Male","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 12:10:03 PM AST","2027","Male","White","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Very uninformed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
