"Timestamp","What gender do you identify with?","What race do you identify with?","What graduation class are you?","What is your (intended) field of study?","How responsive do you think the Brown administration is to student movements in general?","Which of the following statements best describes your experience with online and in-person classes at Brown?","When you watch a recorded lecture, what speed do you watch it on?","What aspects of online learning do you want in your own classes as we transition back to fully in-person learning?","Overall, how would you rate your mental health?","This semester, do you feel that your professors have taken your mental health into account?","What is the capital of Canada?","Have you purposely stolen from Brown dining halls/cafes?","Should Brown mandate Covid-19 booster shots for undergraduates?"
"2021/12/02 1:24:07 PM AST","Male","White","2024","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Yes","Ottowa","Yes, many times","Yes"
"2021/12/02 1:24:26 PM AST","Female","White","2022","STEM","Very unresponsive","Online classes are much less difficult than in-person classes","1.75x","Recorded lectures;Online office hours","Good","Yes","alberta","Yes, many times","Yes"
"2021/12/02 1:24:43 PM AST","Female","Asian;White","2025","Humanities","Somewhat responsive","Online classes are about as difficult as in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Couldn't tell you ngl","Unsure","No"
"2021/12/02 1:25:52 PM AST","Female","White","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","","Yes, many times","Yes"
"2021/12/02 1:29:55 PM AST","Male","White","2023","STEM","Very responsive","Online classes are much more difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Zoom sections","Very good","Yes","Montreal","Never","Yes"
"2021/12/02 1:30:49 PM AST","Female","Black;White","2025","STEM","Neither responsive nor unresponsive","Unsure","1.75x","Recorded lectures;Online office hours;Zoom sections","Good","Yes","Quebec","Yes, many times","Yes"
"2021/12/02 1:33:19 PM AST","Female","Asian","2024","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.75x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Okay","Yes","","Never","Yes"
"2021/12/02 1:35:10 PM AST","Male","White","2024","Humanities","Somewhat responsive","Online classes are much more difficult than in-person classes","1.50x","Take-home exams","Good","Unsure","","Yes, a few times","Yes"
"2021/12/02 1:35:35 PM AST","Male","White","2022","Humanities","Very unresponsive","Online classes are somewhat more difficult than in-person classes","2x","Take-home exams;Online office hours;Zoom sections","Prefer not to answer","Unsure","Ottowa","Never","Yes"
"2021/12/02 1:36:31 PM AST","Male","Black;Non-white Hispanic","2022","STEM","Unsure","Online classes are much more difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very good","Yes","Toronto","Never","Yes"
"2021/12/02 1:37:33 PM AST","Female","White","2022","Humanities","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures","Okay","Yes","Ottowa","Yes, a few times","Yes"
"2021/12/02 1:38:19 PM AST","Female","White","2022","STEM","Very unresponsive","Online classes are much more difficult than in-person classes","2x","Recorded lectures;Zoom sections","Poor","Yes","Ontario","Yes, a few times","Unsure"
"2021/12/02 1:39:04 PM AST","Female","Black","2022","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Poor","Yes","Quebec?","Yes, a few times","Yes"
"2021/12/02 1:39:49 PM AST","Male","White","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Zoom sections","Okay","Yes","no idea","Yes, a few times","Yes"
"2021/12/02 1:41:40 PM AST","Male","Asian;White","2025","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","2x","Zoom sections","Poor","Yes","","Yes, a few times","Yes"
"2021/12/02 1:42:21 PM AST","Male","Asian","2025","STEM","Neither responsive nor unresponsive","Unsure","1x","Recorded lectures","Very good","Yes","Ottawa","Yes, once","Yes"
"2021/12/02 1:42:47 PM AST","Male","Asian;Native Hawaiian/Pacific Islander","2025","STEM","Very unresponsive","Online classes are about as difficult as in-person classes","2x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Yes","Ontrario","Yes, many times","Yes"
"2021/12/02 1:43:39 PM AST","Female","Black","2025","STEM","Somewhat responsive","Unsure","2x","Asynchronous classes;Recorded lectures","Very poor","Unsure","dk","Never","No"
"2021/12/02 1:44:37 PM AST","Male","Asian","2024","STEM","Unsure","Online classes are much more difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Unsure","Ottowa","Never","Yes"
"2021/12/02 1:46:30 PM AST","Female","Asian","2023","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams","Poor","Yes","Ottawa","Never","Yes"
"2021/12/02 1:47:38 PM AST","Male","White","2025","STEM","Unsure","Online classes are much less difficult than in-person classes","2x","Recorded lectures;Take-home exams","Okay","Yes","Toronto","Never","No"
"2021/12/02 1:47:47 PM AST","Male","Asian","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures","Good","Unsure","Montreal","Yes, a few times","Yes"
"2021/12/02 1:51:46 PM AST","Male","Prefer not to answer","2022","Social Sciences","Neither responsive nor unresponsive","Online classes are much less difficult than in-person classes","1.50x","Take-home exams","Good","Yes","Onterio","Yes, many times","No"
"2021/12/02 1:55:44 PM AST","Male","Non-white Hispanic;White","2024","Humanities","Somewhat unresponsive","Online classes are about as difficult as in-person classes","2x","Recorded lectures","Poor","Yes","Ottawa","Never","Yes"
"2021/12/02 1:56:47 PM AST","Male","White","2025","STEM","Neither responsive nor unresponsive","Online classes are much less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Okay","Yes","NO CLue","Never","Yes"
"2021/12/02 1:57:53 PM AST","Female","Asian","2023","STEM","Somewhat unresponsive","Online classes are much less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","","Yes, a few times","Yes"
"2021/12/02 1:57:59 PM AST","Female","Asian","2023","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","","Yes, a few times","Yes"
"2021/12/02 1:58:13 PM AST","Male","White","2024","STEM","Somewhat unresponsive","Online classes are much more difficult than in-person classes","1x","Take-home exams","Poor","Yes","","Never","Unsure"
"2021/12/02 2:00:01 PM AST","Female","White","2023","Social Sciences","Neither responsive nor unresponsive","Online classes are much less difficult than in-person classes","2x","Recorded lectures;Take-home exams;Online office hours","Good","No","","Never","Yes"
"2021/12/02 2:00:41 PM AST","Female","White","2023","Humanities","Neither responsive nor unresponsive","Online classes are about as difficult as in-person classes","1x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","Alberta","Yes, once","Yes"
"2021/12/02 2:03:13 PM AST","Male","White","2023","STEM","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","No","Ottawa","Prefer not to answer","Yes"
"2021/12/02 2:03:51 PM AST","Male","Asian;White","2025","Social Sciences","Unsure","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures","Okay","No","","Yes, a few times","Yes"
"2021/12/02 2:04:20 PM AST","Male","White","2025","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Okay","Yes","","Unsure","Yes"
"2021/12/02 2:05:34 PM AST","Female","Asian;White","2025","Prefer not to answer","Neither responsive nor unresponsive","Unsure","2x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Poor","No","","Prefer not to answer","Yes"
"2021/12/02 2:05:37 PM AST","Female","White","2025","STEM","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Good","Unsure","vancouver","Never","Yes"
"2021/12/02 2:05:44 PM AST","Female","Asian","2025","STEM","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams;Online office hours","Okay","Unsure","not sure","Unsure","Yes"
"2021/12/02 2:07:53 PM AST","Male","Asian;White","2024","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Good","Yes","Ottawa","Yes, a few times","Yes"
"2021/12/02 2:08:05 PM AST","Female","White","2024","Social Sciences","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures","Very good","Yes","Ottawa","Never","Yes"
"2021/12/02 2:08:52 PM AST","Female","White","2023","STEM","Very unresponsive","Online classes are about as difficult as in-person classes","1.25x","Recorded lectures;Take-home exams","Poor","No","","Never","Yes"
"2021/12/02 2:10:32 PM AST","Male","Black","2024","Humanities","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Toronto","Yes, once","Yes"
"2021/12/02 2:11:23 PM AST","Female","Non-white Hispanic;White","2024","Social Sciences","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Very poor","Unsure","","Prefer not to answer","Unsure"
"2021/12/02 2:14:38 PM AST","Female","White","2025","Social Sciences","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","","Prefer not to answer","Unsure"
"2021/12/02 2:17:27 PM AST","Male","White","2024","STEM","Very unresponsive","Online classes are much less difficult than in-person classes","2x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very good","Yes","Oslow","Yes, many times","Yes"
"2021/12/02 2:17:35 PM AST","Female","White","2023","STEM","Very unresponsive","Online classes are about as difficult as in-person classes","1.25x","Recorded lectures;Take-home exams","Okay","Yes","Ontario","Never","Unsure"
"2021/12/02 2:18:43 PM AST","Female","Asian","2024","STEM","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very poor","No","","Never","Yes"
"2021/12/02 2:19:46 PM AST","Female","Asian","2024","STEM","Somewhat responsive","Online classes are about as difficult as in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","","Never","Yes"
"2021/12/02 2:21:31 PM AST","Male","Asian","2022","STEM","Very responsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Ottawa","Never","Unsure"
"2021/12/02 2:25:01 PM AST","Male","Asian","2022","STEM","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","1.75x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","Quebec?","Yes, a few times","Unsure"
"2021/12/02 2:28:53 PM AST","Female","White","2025","Prefer not to answer","Somewhat responsive","Online classes are much less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Good","Unsure","No idea","Yes, a few times","No"
"2021/12/02 2:32:28 PM AST","Male","Asian","2023","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Toronto","Yes, a few times","Yes"
"2021/12/02 2:34:35 PM AST","Female","White","2024","STEM","Somewhat responsive","Online classes are much less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Poor","Yes","ontario","Yes, many times","Yes"
"2021/12/02 2:36:17 PM AST","Male","Black","2023","STEM","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","Ontario","Yes, many times","Yes"
"2021/12/02 2:39:36 PM AST","Male","Black","2023","STEM","Unsure","Online classes are somewhat more difficult than in-person classes","1.25x","Recorded lectures","Okay","Yes","¯\_(ツ)_/¯","Unsure","No"
"2021/12/02 2:41:36 PM AST","Male","Asian","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Zoom sections","Poor","Yes","","Unsure","Unsure"
"2021/12/02 2:44:19 PM AST","Male","White","2024","Humanities","Very unresponsive","Online classes are much less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","No","Quebec","Yes, many times","Yes"
"2021/12/02 2:48:02 PM AST","Female","White","2025","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Take-home exams;Online office hours","Good","Unsure","","Unsure","Yes"
"2021/12/02 2:48:24 PM AST","Male","Asian;White","2025","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Unsure","","Yes, once","Unsure"
"2021/12/02 2:49:11 PM AST","Female","Black","2025","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","No","","Never","Yes"
"2021/12/02 2:51:52 PM AST","Male","White","2022","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Take-home exams;Online office hours;Zoom sections","Good","Unsure","Quebec City","Yes, a few times","Yes"
"2021/12/02 2:53:29 PM AST","Female","White","2022","STEM","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Poor","Yes","Montreal","Yes, many times","Yes"
"2021/12/02 2:58:47 PM AST","Female","Asian","2023","STEM","Unsure","Online classes are somewhat less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams","Okay","Yes","Ottawa","Yes, a few times","Yes"
"2021/12/02 3:02:31 PM AST","Female","White","2024","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Unsure","Vancouver","Yes, a few times","Yes"
"2021/12/02 3:02:45 PM AST","Female","Black","2024","Humanities","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Okay","Yes","","Never","Yes"
"2021/12/02 3:03:28 PM AST","Male","Non-white Hispanic","2023","Humanities","Somewhat unresponsive","Online classes are about as difficult as in-person classes","2x","Recorded lectures","Okay","Yes","","Never","Yes"
"2021/12/02 3:05:52 PM AST","Female","Asian;White","2025","Social Sciences","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures","Poor","Unsure","Montreal","Never","Yes"
"2021/12/02 3:35:23 PM AST","Male","White","2024","STEM","Very unresponsive","Online classes are about as difficult as in-person classes","1x","Recorded lectures;Take-home exams","Okay","Yes","Ottawa","Yes, many times","No"
"2021/12/02 3:41:11 PM AST","Male","White","2025","Humanities","Unsure","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","No","Ottawa","Unsure","Yes"
"2021/12/02 3:43:14 PM AST","Female","White","Prefer not to answer","Humanities","Somewhat responsive","Online classes are much more difficult than in-person classes","Unsure","Online office hours","Okay","No","Ontario","Never","Yes"
"2021/12/02 3:53:45 PM AST","Female","Asian","2024","Social Sciences","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","montreal","Never","No"
"2021/12/02 3:56:23 PM AST","Female","White","2023","STEM","Somewhat unresponsive","Online classes are about as difficult as in-person classes","1x","Recorded lectures;Take-home exams","Okay","No","","Never","Yes"
"2021/12/02 4:00:02 PM AST","Non-binary","Asian","2025","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams","Okay","Yes","Ontario","Yes, once","Yes"
"2021/12/02 4:03:57 PM AST","Male","White","2024","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures;Online office hours","Good","Unsure","","Never","No"
"2021/12/02 4:09:19 PM AST","Male","Asian","2024","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Zoom sections","Okay","No","Vancover","Never","Unsure"
"2021/12/02 4:09:50 PM AST","Female","White","2025","STEM","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","2x","Recorded lectures;Take-home exams","Okay","No","Ottowa","Yes, once","Yes"
"2021/12/02 4:10:14 PM AST","Female","Asian","2024","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","","Never","No"
"2021/12/02 4:13:01 PM AST","Male","Asian","2023","STEM","Somewhat responsive","Online classes are about as difficult as in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","No","Ontario","Yes, a few times","Unsure"
"2021/12/02 4:17:40 PM AST","Female","White","2023.5","Social Sciences","Very unresponsive","Online classes are somewhat more difficult than in-person classes","1x","Recorded lectures","Okay","Yes","IDK","Yes, many times","Yes"
"2021/12/02 4:18:51 PM AST","Female","Asian","Prefer not to answer","STEM","Unsure","Online classes are somewhat more difficult than in-person classes","1.25x","Take-home exams","Good","Yes","","Never","Yes"
"2021/12/02 4:21:29 PM AST","Male","White","2025","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Quebec city?","Yes, many times","Yes"
"2021/12/02 4:25:25 PM AST","Female","Black","2023","STEM","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Very poor","No","ontario","Yes, a few times","Yes"
"2021/12/02 4:28:58 PM AST","Female","Asian","2023","STEM","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams","Okay","Yes","Toronto?","Yes, many times","Yes"
"2021/12/02 4:29:15 PM AST","Male","White","2025","STEM","Somewhat responsive","Online classes are much less difficult than in-person classes","1x","Recorded lectures;Online office hours","Very good","Yes","Canada","Never","Unsure"
"2021/12/02 4:31:38 PM AST","Male","Asian","2025","STEM","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.75x","Asynchronous classes;Take-home exams","Very good","Yes","Ottawa","Yes, a few times","No"
"2021/12/02 4:34:57 PM AST","Female","Asian","2023","Humanities","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1.50x","Unsure","Very poor","No","","Never","Unsure"
"2021/12/02 4:39:17 PM AST","Male","Non-white Hispanic;White","2025","STEM","Somewhat responsive","Online classes are much more difficult than in-person classes","1x","Recorded lectures;Online office hours","Okay","Yes","Toronto?","Unsure","No"
"2021/12/02 4:42:37 PM AST","Female","Non-white Hispanic","2023","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams","Poor","Unsure","","Yes, a few times","No"
"2021/12/02 4:44:40 PM AST","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","na","Prefer not to answer","Prefer not to answer"
"2021/12/02 4:45:58 PM AST","Female","Non-white Hispanic","2025","Social Sciences","Somewhat unresponsive","Unsure","2x","Recorded lectures;Take-home exams","Okay","Unsure","Toronto?","Yes, a few times","Yes"
"2021/12/02 4:47:35 PM AST","Female","Non-white Hispanic","2023","STEM","Unsure","Online classes are somewhat less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Good","Yes","","Never","Unsure"
"2021/12/02 4:51:36 PM AST","Female","Asian","2022","Humanities","Somewhat unresponsive","Online classes are about as difficult as in-person classes","Unsure","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very poor","No","Ontario","Yes, a few times","Yes"
"2021/12/02 4:53:53 PM AST","Female","Asian","2025","STEM","Very unresponsive","Online classes are somewhat more difficult than in-person classes","1.75x","Recorded lectures;Online office hours","Okay","No","","Yes, a few times","Yes"
"2021/12/02 4:56:00 PM AST","Female","White","2024","STEM","Very unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Zoom sections","Good","Yes","","Never","Yes"
