"Timestamp","What is your current graduation year?","What is your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area? Check all that apply.","How would you describe your family’s socioeconomic status?","Would you support or oppose the U.S. government banning TikTok?","When was the last time you cried?","Do you regret choosing to take a class S/NC rather than for a letter grade?","If you had to choose, would you rather raise a child starting now or never have the opportunity? (Baby now or never)","Which of the following statements applies to you? Check all that apply.","Who is the current Chief Justice of the United States Supreme Court?","Do you approve or disapprove of Brown Concert Agency’s artist selections for Spring Weekend?","On average, how many alcoholic beverages do you consume each week at Brown?"
"2023/04/11 11:48:26 AM AST","2025","Man","Black","Humanities/Arts","Upper class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","no idea","Somewhat approve","0-5 drinks"
"2023/04/11 11:52:21 AM AST","2025","Man","Asian","Life Sciences","Upper class","Unsure","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Republican guy","Somewhat approve","0-5 drinks"
"2023/04/11 11:54:45 AM AST","2023","Questioning","Asian;White","Humanities/Arts;Life Sciences","Upper-middle class","Support","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","Alito","Somewhat approve","0-5 drinks"
"2023/04/11 11:57:16 AM AST","2024","Woman","Asian","Humanities/Arts;Life Sciences","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Scalia","Somewhat approve","0-5 drinks"
"2023/04/11 11:59:40 AM AST","2024","Man","White","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","Thomas","Strongly approve","5-10 drinks"
"2023/04/11 12:05:06 PM AST","2025","Woman","Asian;White","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Unsure","Zero – I don’t drink"
"2023/04/11 12:05:13 PM AST","2023","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Upper class","Oppose","In the past year","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John G Roberts","Unsure","0-5 drinks"
"2023/04/11 12:09:15 PM AST","2024","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Clarence thomas","Somewhat approve","5-10 drinks"
"2023/04/11 12:10:22 PM AST","2023","Woman","Asian","Physical Sciences (including math, computer science)","Lower class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 12:12:04 PM AST","2023","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past year","Yes, I regret choosing to take multiple classes S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Not sure","Prefer not to answer","Zero – I don’t drink"
"2023/04/11 12:15:11 PM AST","2023","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 12:16:01 PM AST","2024","Woman","Black","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","No idea","Strongly disapprove","0-5 drinks"
"2023/04/11 12:24:09 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","0-5 drinks"
"2023/04/11 12:25:12 PM AST","2024","Non-binary","Middle Eastern or North African;White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","Roberts","Strongly approve","Zero – I don’t drink"
"2023/04/11 12:26:28 PM AST","2023.5","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 12:28:20 PM AST","2025","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Upper class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Somewhat approve","5-10 drinks"
"2023/04/11 12:30:40 PM AST","2023","Man","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 12:33:28 PM AST","2025","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Middle class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 12:35:07 PM AST","2025","Woman","White","Humanities/Arts","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","uh oh","Somewhat disapprove","0-5 drinks"
"2023/04/11 12:37:25 PM AST","2025","Man","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","Scalia","Strongly approve","0-5 drinks"
"2023/04/11 12:39:11 PM AST","2025","Woman","Asian","Humanities/Arts","Upper-middle class","Oppose","In the past month","Unsure","Unsure","Most of my close friends are the same race as me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 12:39:16 PM AST","2026","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Somewhat disapprove","5-10 drinks"
"2023/04/11 12:40:11 PM AST","2026","Man","Asian;White","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Strongly approve","10-15 drinks"
"2023/04/11 12:41:05 PM AST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Somewhat disapprove","15-20 drinks"
"2023/04/11 12:42:51 PM AST","2024","Man","White","Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 12:43:38 PM AST","2026","Woman","Hispanic;White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","5-10 drinks"
"2023/04/11 12:44:53 PM AST","2026","Woman","Asian;Black;White","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past month","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","15-20 drinks"
"2023/04/11 12:45:34 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Strongly disapprove","15-20 drinks"
"2023/04/11 12:50:30 PM AST","2026","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Stephen Roberts","Strongly approve","10-15 drinks"
"2023/04/11 12:51:16 PM AST","2026","Man","Asian;Black;White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","i dont know","Unsure","0-5 drinks"
"2023/04/11 12:53:09 PM AST","2026","Woman","Asian","Life Sciences","Upper-middle class","Prefer not to answer","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat approve","0-5 drinks"
"2023/04/11 12:53:17 PM AST","2026","Woman","Asian","Humanities/Arts;Life Sciences","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 12:54:46 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past year","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","5-10 drinks"
"2023/04/11 12:54:48 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","0-5 drinks"
"2023/04/11 12:57:47 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Lower-middle class","Support","More than 3 years ago","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Unsure","10-15 drinks"
"2023/04/11 1:04:50 PM AST","2025","Man","Asian;White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John Roberts","Strongly approve","0-5 drinks"
"2023/04/11 1:06:31 PM AST","2024","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Unsure","0-5 drinks"
"2023/04/11 1:07:08 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","Roberts","Unsure","5-10 drinks"
"2023/04/11 1:07:45 PM AST","2023","Man","Asian;Black;Hispanic;Middle Eastern or North African;Native American or Alaska Native;Native Hawaiian or Pacific Islander;White","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper class","Unsure","More than 3 years ago","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","None of these statements applies to me","who knows","Unsure","20+ drinks"
"2023/04/11 1:08:38 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","dunno","Unsure","0-5 drinks"
"2023/04/11 1:09:12 PM AST","2024","Woman","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:09:51 PM AST","2023","Man","White","Life Sciences;Physical Sciences (including math, computer science)","Middle class","Support","In the past 6 months","Unsure","I would rather raise a child starting now","None of these statements applies to me","","Unsure","Zero – I don’t drink"
"2023/04/11 1:10:08 PM AST","2025","Non-binary","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","0-5 drinks"
"2023/04/11 1:10:24 PM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Upper class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 1:10:51 PM AST","2024","Woman","White","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","idk","Strongly approve","0-5 drinks"
"2023/04/11 1:11:32 PM AST","2026.5","Man","Asian;Black;Hispanic;Middle Eastern or North African;Native American or Alaska Native;Native Hawaiian or Pacific Islander;White","Physical Sciences (including math, computer science)","Upper class","Support","More than 3 years ago","I have never chosen to take a class S/NC","Unsure","Most of my close friends have the same socioeconomic status as me","Ruth Bader Ginsburger","Unsure","20+ drinks"
"2023/04/11 1:11:40 PM AST","2023.5","Man","White","Humanities/Arts","Upper-middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","Roberts","Strongly disapprove","Zero – I don’t drink"
"2023/04/11 1:12:58 PM AST","2023.5","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Prefer not to answer","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","such a good question","Strongly approve","0-5 drinks"
"2023/04/11 1:15:20 PM AST","2023","Man","Asian","Life Sciences","Middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Strongly disapprove","5-10 drinks"
"2023/04/11 1:15:35 PM AST","2023","Woman","Asian","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","","Strongly disapprove","0-5 drinks"
"2023/04/11 1:15:45 PM AST","2024.5","Man","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts","Unsure","0-5 drinks"
"2023/04/11 1:16:16 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:16:24 PM AST","2023","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past year","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Unsure","0-5 drinks"
"2023/04/11 1:17:44 PM AST","2023","Man","Asian","Physical Sciences (including math, computer science)","Middle class","Support","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 1:19:23 PM AST","2026","Non-binary","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts (John?)","Unsure","Zero – I don’t drink"
"2023/04/11 1:19:43 PM AST","2023","Unsure","Asian;White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","unsure","Somewhat approve","0-5 drinks"
"2023/04/11 1:19:48 PM AST","2024","Man","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","5-10 drinks"
"2023/04/11 1:20:40 PM AST","2024","Man","White","Life Sciences","Upper class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Strongly approve","0-5 drinks"
"2023/04/11 1:20:41 PM AST","2024","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Upper class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:23:44 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Middle class","Unsure","Unsure","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Unsure","0-5 drinks"
"2023/04/11 1:24:14 PM AST","2024","Woman","Asian","Life Sciences","Upper-middle class","Unsure","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","idk sry :/","Strongly approve","0-5 drinks"
"2023/04/11 1:25:29 PM AST","2026","Man","White","Humanities/Arts","Middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Your mom","Strongly approve","15-20 drinks"
"2023/04/11 1:25:47 PM AST","2026","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Middle class","Oppose","In the past year","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","","Strongly approve","0-5 drinks"
"2023/04/11 1:26:24 PM AST","2023.5","Non-binary","Prefer not to answer","Physical Sciences (including math, computer science)","Lower class","Unsure","In the past week","Yes, I regret choosing to take multiple classes S/NC","Unsure","Prefer not to answer","","Unsure","Prefer not to answer"
"2023/04/11 1:28:34 PM AST","2023.5","Man","White","Humanities/Arts","Upper class","Support","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","IDK is it still roberts","Unsure","0-5 drinks"
"2023/04/11 1:28:49 PM AST","2023","Woman","White","Life Sciences","Lower-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Clarence Thomas","Strongly approve","5-10 drinks"
"2023/04/11 1:28:55 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","IDK, embarassing","Somewhat approve","0-5 drinks"
"2023/04/11 1:29:21 PM AST","2023","Woman","Asian","Life Sciences","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:31:14 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","More than a year ago","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Justice Roberts","Strongly disapprove","Zero – I don’t drink"
"2023/04/11 1:31:14 PM AST","2025","Woman","White","Humanities/Arts","Upper class","Unsure","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","15-20 drinks"
"2023/04/11 1:31:58 PM AST","2025","Man","Hispanic","Humanities/Arts;Physical Sciences (including math, computer science)","Lower class","Support","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","john roberts ","Somewhat approve","0-5 drinks"
"2023/04/11 1:32:12 PM AST","2023","Woman","White","Humanities/Arts","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 1:32:34 PM AST","2026","Man","Asian","Life Sciences","Middle class","Unsure","More than 3 years ago","I have never chosen to take a class S/NC","Unsure","None of these statements applies to me","","Unsure","Zero – I don’t drink"
"2023/04/11 1:33:01 PM AST","2025","Woman","Asian","Humanities/Arts","Prefer not to answer","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat approve","Zero – I don’t drink"
"2023/04/11 1:35:20 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Middle class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Stephen Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 1:35:24 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 1:35:28 PM AST","2025","Woman","Asian","Life Sciences","Prefer not to answer","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","Unsure","None of these statements applies to me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:36:13 PM AST","2025","Woman","Native American or Alaska Native;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper class","Support","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","lol no idea ripp","Somewhat approve","0-5 drinks"
"2023/04/11 1:36:51 PM AST","2023","Woman","Asian","Humanities/Arts;Life Sciences","Upper-middle class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Marshall","Somewhat approve","0-5 drinks"
"2023/04/11 1:36:58 PM AST","2025","Man","Asian;White","Life Sciences","Lower-middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts?","Strongly approve","0-5 drinks"
"2023/04/11 1:37:05 PM AST","2023","Man","Asian;White","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","Unsure","None of these statements applies to me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 1:37:27 PM AST","2026","Woman","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","No idea, but I'm also not American :P","Unsure","Zero – I don’t drink"
"2023/04/11 1:38:17 PM AST","2023","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Strongly approve","0-5 drinks"
"2023/04/11 1:38:42 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past year","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","no fucking clue","Strongly approve","0-5 drinks"
"2023/04/11 1:40:16 PM AST","2023","Woman","White","Humanities/Arts","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Roberts","Somewhat approve","20+ drinks"
"2023/04/11 1:40:56 PM AST","2023","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","thomas","Somewhat approve","5-10 drinks"
"2023/04/11 1:41:31 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts","Unsure","0-5 drinks"
