"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Which of the following do you consider yourself to be?","Are you currently in a relationship?","Who do you think will win the 2024 US Presidential election?","How often do you use marijuana?","Who is primarily responsible for paying your college tuition (that is not covered by financial aid)?","Have you ever used ChatGPT (or other generative AI) in violation of a course policy?","Are your parents currently married (to each other) ?","How often do you have sex?","Do you usually lock the door when you leave your dorm, suite, or house/apartment?","If you could be President of the US at some point in your life, would you want the job?","Do you think you have more sex than the average Brown student?"
"2024/10/08 11:32:02 AM AST","2025","Woman","Asian;White","Life Sciences;Social Sciences (including economics, CLPS)","Straight","Yes","Prefer not to answer","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","Unsure","No, divorced or separated","Prefer not to answer","Yes","No","No, somewhat less"
"2024/10/08 11:34:20 AM AST","2024.5","Non-binary","Asian;White","Humanities/Arts;Life Sciences","Queer","No","Unsure","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","Yes","No","No, somewhat less"
"2024/10/08 11:36:27 AM AST","2028","Woman","Black","Physical Sciences (including math, computer science)","Straight","Unsure","Unsure","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","No, divorced or separated","I have never had sex","Yes","Yes","Unsure"
"2024/10/08 11:37:19 AM AST","2025","Man","Hispanic or Latino;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Bisexual","No","Kamala Harris","Once a week","I pay part of my tuition and my parents or guardians pay part of my tuition","No","No, divorced or separated","Less than once a month","No","Yes","No, somewhat less"
"2024/10/08 11:37:51 AM AST","2025.5","Man","Hispanic or Latino;White","Prefer not to answer","Straight","No","Unsure","I have never used marijuana","Prefer not to answer","No","Prefer not to answer","Prefer not to answer","Yes","No","Yes, significantly more"
"2024/10/08 11:40:12 AM AST","2024.5","Man","White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","Yes","Yes","Once a month","Yes","No","About average"
"2024/10/08 11:40:15 AM AST","2028","Man","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","Once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","Once a month","No","No","About average"
"2024/10/08 11:41:35 AM AST","2028","Man","Asian","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","I have never had sex","No","Yes","No, significantly less"
"2024/10/08 11:42:59 AM AST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","Yes","Donald Trump","Once a week","My parents or guardians pay all of my tuition","Yes","Yes","Daily or almost daily","No","Yes","Yes, somewhat more"
"2024/10/08 11:43:01 AM AST","2025","Man","Middle Eastern or North African","Physical Sciences (including math, computer science)","Gay","Yes","Kamala Harris","2-3 times per week","My parents or guardians pay all of my tuition","Yes","Yes","2-3 times per month","No","No","Yes, somewhat more"
"2024/10/08 11:45:02 AM AST","2026","Woman","Asian;White","Life Sciences","Bisexual","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Unsure","Yes","I have never had sex","Yes","No","Unsure"
"2024/10/08 11:46:24 AM AST","2027","Man","Asian","Physical Sciences (including math, computer science)","Straight","No","Unsure","Unsure","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 11:46:44 AM AST","2027","Man","White","Physical Sciences (including math, computer science)","Straight","Unsure","Unsure","Less than once a month","My parents or guardians pay all of my tuition","Unsure","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 11:47:09 AM AST","2025","Man","Middle Eastern or North African","Social Sciences (including economics, CLPS)","Straight","No","Donald Trump","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 11:48:25 AM AST","2025","Man","Hispanic or Latino","Physical Sciences (including math, computer science)","Straight","Yes","Unsure","2-3 times per week","My tuition is fully covered by financial aid/grants/scholarships","Unsure","No, divorced or separated","4-5 times per week","Yes","No","Yes, somewhat more"
"2024/10/08 11:49:24 AM AST","2025","Woman","Asian;Hispanic or Latino","Social Sciences (including economics, CLPS)","Bisexual","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","No, divorced or separated","2-3 times per month","Yes","Yes","No, somewhat less"
"2024/10/08 11:50:50 AM AST","2027","Man","Black","Life Sciences","Gay","No","Donald Trump","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","No","No, divorced or separated","2-3 times per month","No","No","No, somewhat less"
"2024/10/08 11:51:59 AM AST","2027","Man","Black","Physical Sciences (including math, computer science)","Straight","No","Prefer not to answer","I have never used marijuana","Prefer not to answer","Yes","Other","I have never had sex","No","No","No, significantly less"
"2024/10/08 11:52:36 AM AST","2026","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Prefer not to answer","Yes","Unsure","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","2-3 times per month","Yes","No","No, somewhat less"
"2024/10/08 11:53:06 AM AST","2026","Woman","Hispanic or Latino","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Yes","Yes","Once a week","No","No","Yes, somewhat more"
"2024/10/08 11:54:12 AM AST","2028","Man","White","Life Sciences;Physical Sciences (including math, computer science)","Gay","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Unsure","Yes","2-3 times per month","Yes","No","About average"
"2024/10/08 11:54:18 AM AST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Gay","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Once a week","Yes","Yes","About average"
"2024/10/08 11:54:45 AM AST","2028","Man","Middle Eastern or North African;White","Life Sciences","Gay","No","Donald Trump","2-3 times per month","My parents or guardians pay all of my tuition","Unsure","Yes","I have never had sex","No","Yes","No, somewhat less"
"2024/10/08 11:54:55 AM AST","2028","Woman","Black","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 11:55:43 AM AST","2025","Woman","White","Humanities/Arts","Straight","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Yes","Yes","Prefer not to answer","Yes","No","Yes, somewhat more"
"2024/10/08 11:56:14 AM AST","2028","Man","Asian","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","Less than once a month","Yes","Yes","Unsure"
"2024/10/08 11:56:26 AM AST","2028","Man","Asian","Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 11:56:41 AM AST","2026","Man","Asian;White","Life Sciences;Physical Sciences (including math, computer science)","Asexual","Yes","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 11:57:13 AM AST","2027","Man","White","Physical Sciences (including math, computer science)","Straight","No","Donald Trump","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 11:57:38 AM AST","2025","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Unsure","Yes","Less than once a month","Yes","Yes","No, somewhat less"
"2024/10/08 11:57:58 AM AST","2025","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Straight","Yes","Donald Trump","Once a month","My parents or guardians pay all of my tuition","Yes","Yes","Once a week","No","No","Yes, somewhat more"
"2024/10/08 11:58:11 AM AST","2027","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 11:58:32 AM AST","2025","Woman","Asian;Black;White","Humanities/Arts;Life Sciences","Straight","No","Kamala Harris","Once a month","My parents or guardians pay all of my tuition","Yes","No, divorced or separated","Less than once a month","Yes","No","About average"
"2024/10/08 11:58:58 AM AST","2028","Woman","Black","Physical Sciences (including math, computer science)","Prefer not to answer","No","Unsure","Less than once a month","My parents or guardians pay all of my tuition","No","No, divorced or separated","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 11:59:20 AM AST","2025","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Prefer not to answer","No","Unsure","Less than once a month","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 11:59:46 AM AST","2027","Man","Asian","Physical Sciences (including math, computer science)","Gay;Queer","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 11:59:48 AM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","Once a week","My parents or guardians pay all of my tuition","Yes","Yes","2-3 times per week","No","No","Yes, somewhat more"
"2024/10/08 12:00:26 PM AST","2025","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","Yes","Donald Trump","Once a week","I pay part of my tuition and my parents or guardians pay part of my tuition","Unsure","Yes","2-3 times per week","No","Yes","Yes, somewhat more"
"2024/10/08 12:00:38 PM AST","2028","Woman","White","Life Sciences","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Unsure","No","No, somewhat less"
"2024/10/08 12:01:02 PM AST","2028","Woman","Asian;White","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","Yes","Yes","Once a month","Yes","No","No, somewhat less"
"2024/10/08 12:02:05 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","I pay all of my tuition","No","Yes","Unsure","Yes","No","No, significantly less"
"2024/10/08 12:02:06 PM AST","2026","Man;Non-binary;Questioning","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Gay;Bisexual;Queer","No","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","Unsure","Yes","Unsure","Yes","Yes","No, significantly less"
"2024/10/08 12:02:18 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Straight","No","Donald Trump","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 12:02:35 PM AST","2026","Woman","Black;Hispanic or Latino;White","Humanities/Arts;Life Sciences","Queer","No","Kamala Harris","2-3 times per month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 12:03:40 PM AST","2027","Woman","White","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","2-3 times per week","Yes","Yes","About average"
"2024/10/08 12:05:08 PM AST","2025","Woman","White","Life Sciences","Bisexual","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Once a week","Yes","No","Yes, somewhat more"
"2024/10/08 12:05:11 PM AST","2028","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS);Prefer not to answer","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","Unsure"
"2024/10/08 12:07:17 PM AST","2028","Woman","Asian","Life Sciences","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","Less than once a month","Yes","No","No, significantly less"
"2024/10/08 12:08:23 PM AST","2025","Woman","Hispanic or Latino","Life Sciences","Bisexual","No","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","I have never had sex","Yes","Yes","No, somewhat less"
"2024/10/08 12:09:34 PM AST","2028","Man","Asian","Humanities/Arts;Life Sciences","Straight","No","Donald Trump","2-3 times per week","My tuition is fully covered by financial aid/grants/scholarships","Yes","Yes","Less than once a month","No","No","Yes, somewhat more"
"2024/10/08 12:09:38 PM AST","2027","Man","Asian;Native Hawaiian or Pacific Islander;White","Humanities/Arts;Physical Sciences (including math, computer science)","Bisexual","No","Kamala Harris","Once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","Less than once a month","No","No","Yes, somewhat more"
"2024/10/08 12:10:37 PM AST","2026","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Bisexual","No","Kamala Harris","Once a week","My parents or guardians pay all of my tuition","Yes","No, divorced or separated","Less than once a month","No","Yes","No, somewhat less"
"2024/10/08 12:10:44 PM AST","2027","Man","Asian","Humanities/Arts","Prefer not to answer","No","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","No","Other","Once a month","No","No","About average"
"2024/10/08 12:10:57 PM AST","2026","Man","White","Social Sciences (including economics, CLPS)","Straight","Unsure","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","No","Yes","No, somewhat less"
"2024/10/08 12:11:04 PM AST","2026","Man","White","Social Sciences (including economics, CLPS)","Straight","Unsure","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","No","Yes","Yes, somewhat more"
"2024/10/08 12:12:16 PM AST","2026","Man","White","Humanities/Arts","Bisexual","No","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","No","Yes","2-3 times per month","Yes","Yes","Yes, somewhat more"
"2024/10/08 12:12:42 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Straight","Yes","Unsure","I have never used marijuana","Unsure","Yes","No, divorced or separated","Prefer not to answer","Yes","Yes","Unsure"
"2024/10/08 12:12:53 PM AST","2028","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 12:13:31 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Bisexual;Straight;Questioning","Yes","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","Unsure","Yes","2-3 times per month","No","No","Yes, somewhat more"
"2024/10/08 12:14:06 PM AST","2028","Man","Asian","Physical Sciences (including math, computer science)","Straight","Unsure","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Less than once a month","No","No","No, significantly less"
"2024/10/08 12:14:10 PM AST","2028","Woman","Middle Eastern or North African","Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","Unsure","Yes","No","No, somewhat less"
"2024/10/08 12:14:33 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","Prefer not to answer","My parents or guardians pay all of my tuition","No","Yes","2-3 times per month","No","Yes","Yes, somewhat more"
"2024/10/08 12:15:14 PM AST","2028","Woman","Black","Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 12:15:35 PM AST","2027","Man","Asian","Physical Sciences (including math, computer science)","Bisexual","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Prefer not to answer","Less than once a month","No","Yes","No, significantly less"
"2024/10/08 12:16:32 PM AST","2028","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Straight","Yes","Unsure","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Unsure","No","Yes","Unsure"
"2024/10/08 12:16:44 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","Yes","2-3 times per month","Yes","No","About average"
"2024/10/08 12:17:56 PM AST","2027","Woman","Hispanic or Latino","Physical Sciences (including math, computer science)","Bisexual","No","Kamala Harris","2-3 times per month","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","No, divorced or separated","2-3 times per month","No","No","No, somewhat less"
"2024/10/08 12:18:41 PM AST","2025","Man","White","Humanities/Arts","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 12:18:50 PM AST","2028","Man","Asian","Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 12:19:29 PM AST","2028","Man","White","Physical Sciences (including math, computer science)","Straight","No","Donald Trump","Less than once a month","Unsure","No","Yes","2-3 times per month","Yes","No","No, somewhat less"
"2024/10/08 12:20:13 PM AST","2028","Woman","Asian","Life Sciences","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 12:21:33 PM AST","2027","Man","Asian","Social Sciences (including economics, CLPS)","Gay","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","Yes","Once a week","No","Yes","About average"
"2024/10/08 12:22:09 PM AST","2027","Woman","Black;White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Prefer not to answer","Yes","No","No, significantly less"
"2024/10/08 12:22:11 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 12:24:05 PM AST","2026","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Bisexual;Queer","Yes","Kamala Harris","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","I have never had sex","No","No","No, somewhat less"
"2024/10/08 12:25:22 PM AST","2026","Man","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Unsure","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 12:25:49 PM AST","2028","Man","Asian","Life Sciences","Straight","Prefer not to answer","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","Yes","No, somewhat less"
"2024/10/08 12:27:22 PM AST","2028","Man","Asian","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 12:27:38 PM AST","2028","Woman","White","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","I have never had sex","Yes","Yes","No, somewhat less"
"2024/10/08 12:28:23 PM AST","2025","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Gay","No","Kamala Harris","Once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","Unsure","No, divorced or separated","Less than once a month","No","Yes","No, significantly less"
"2024/10/08 12:28:30 PM AST","2028","Man","Asian","Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","I pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 12:29:00 PM AST","2025","Woman","Black","Humanities/Arts","Straight","No","Kamala Harris","Once a month","My parents or guardians pay all of my tuition","Yes","No, divorced or separated","Prefer not to answer","Yes","No","No, somewhat less"
"2024/10/08 12:29:14 PM AST","2028","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Questioning","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","No, somewhat less"
"2024/10/08 12:29:51 PM AST","2027","Man","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Bisexual","No","Unsure","2-3 times per month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","4-5 times per week","Yes","Yes","Yes, somewhat more"
"2024/10/08 12:29:53 PM AST","2027","Non-binary","White","Humanities/Arts;Physical Sciences (including math, computer science)","Lesbian;Queer","Yes","Kamala Harris","Once a week","My parents or guardians pay all of my tuition","Unsure","Yes","Once a week","No","No","About average"
"2024/10/08 12:31:19 PM AST","2028","Woman","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Yes","Yes","I have never had sex","Yes","No","No, somewhat less"
"2024/10/08 12:31:46 PM AST","2028","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","I have never had sex","No","No","No, significantly less"
"2024/10/08 12:32:23 PM AST","2027","Woman","Black","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","Unsure","Yes","No","No, somewhat less"
"2024/10/08 12:33:07 PM AST","2027","Man","Hispanic or Latino;Native American or Alaska Native","Physical Sciences (including math, computer science)","Straight","No","Donald Trump","4-5 times per week","My parents or guardians pay all of my tuition","Prefer not to answer","Yes","Once a month","Prefer not to answer","No","About average"
"2024/10/08 12:33:18 PM AST","2027","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Yes","Yes","I have never had sex","No","Yes","No, significantly less"
"2024/10/08 12:34:41 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","Daily or almost daily","No","No","Yes, significantly more"
"2024/10/08 12:34:56 PM AST","2025","Woman","Middle Eastern or North African;White","Humanities/Arts","Lesbian","Yes","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","Yes","Yes","Once a week","Yes","No","About average"
"2024/10/08 12:35:03 PM AST","2026","Man","White","Life Sciences;Physical Sciences (including math, computer science)","Straight","No","Unsure","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","Less than once a month","No","No","No, significantly less"
"2024/10/08 12:36:04 PM AST","2027","Man","White","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Yes","No, divorced or separated","2-3 times per month","No","Yes","Yes, somewhat more"
"2024/10/08 12:36:10 PM AST","2028","Man","White","Humanities/Arts","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","Once a month","No","Yes","Yes, significantly more"
"2024/10/08 12:37:23 PM AST","2025","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 12:38:47 PM AST","2025","Non-binary","White","Humanities/Arts","Bisexual","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Once a week","Yes","No","About average"
"2024/10/08 12:38:52 PM AST","2028","Woman","Asian","Life Sciences","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","I have never had sex","No","No","No, significantly less"
"2024/10/08 12:38:55 PM AST","2027","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","No, divorced or separated","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 12:40:20 PM AST","2025","Man","Black","Social Sciences (including economics, CLPS)","Gay","Unsure","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","Yes","Yes","2-3 times per month","No","Yes","Yes, somewhat more"
"2024/10/08 12:40:29 PM AST","2027","Woman","White","Physical Sciences (including math, computer science)","Straight","Yes","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","Once a month","Yes","No","About average"
"2024/10/08 12:41:25 PM AST","2027","Man","White","Humanities/Arts","Straight","No","Kamala Harris","I have never used marijuana","Unsure","No","Yes","I have never had sex","Yes","Yes","Unsure"
